Date,SUUR0000SAH3
1999-12-01,100.00
2000-01-01,100.40
2000-02-01,100.50
2000-03-01,100.90
2000-04-01,100.80
2000-05-01,100.50
2000-06-01,100.70
2000-07-01,101.10
2000-08-01,100.60
2000-09-01,100.90
2000-10-01,100.50
2000-11-01,100.30
2000-12-01,99.70
2001-01-01,100.00
2001-02-01,99.80
2001-03-01,99.70
2001-04-01,99.80
2001-05-01,99.50
2001-06-01,99.70
2001-07-01,99.60
2001-08-01,99.60
2001-09-01,99.70
2001-10-01,99.50
2001-11-01,99.60
2001-12-01,99.30
2002-01-01,99.10
2002-02-01,99.00
2002-03-01,99.10
2002-04-01,99.30
2002-05-01,99.30
2002-06-01,99.10
2002-07-01,99.00
2002-08-01,98.60
2002-09-01,98.50
2002-10-01,98.30
2002-11-01,97.90
2002-12-01,97.50
2003-01-01,97.60
2003-02-01,97.70
2003-03-01,97.20
2003-04-01,97.30
2003-05-01,97.00
2003-06-01,96.90
2003-07-01,96.80
2003-08-01,96.40
2003-09-01,96.10
2003-10-01,96.10
2003-11-01,96.00
2003-12-01,95.90
2004-01-01,96.40
2004-02-01,96.50
2004-03-01,96.40
2004-04-01,96.50
2004-05-01,96.40
2004-06-01,96.40
2004-07-01,96.00
2004-08-01,95.70
2004-09-01,96.00
2004-10-01,96.70
2004-11-01,96.50
2004-12-01,96.30
2005-01-01,96.70
2005-02-01,96.60
2005-03-01,96.50
2005-04-01,96.70
2005-05-01,96.80
2005-06-01,96.50
2005-07-01,96.40
2005-08-01,96.20
2005-09-01,96.00
2005-10-01,96.20
2005-11-01,96.50
2005-12-01,96.30
2006-01-01,96.30
2006-02-01,96.40
2006-03-01,96.40
2006-04-01,96.50
2006-05-01,96.70
2006-06-01,96.70
2006-07-01,96.60
2006-08-01,96.60
2006-09-01,96.60
2006-10-01,96.70
2006-11-01,96.50
2006-12-01,96.10
2007-01-01,96.25
2007-02-01,96.50
2007-03-01,96.50
2007-04-01,96.36
2007-05-01,96.21
2007-06-01,95.73
2007-07-01,95.42
2007-08-01,95.20
2007-09-01,94.94
2007-10-01,94.89
2007-11-01,94.63
2007-12-01,94.35
2008-01-01,94.64
2008-02-01,94.89
2008-03-01,95.31
2008-04-01,95.29
2008-05-01,95.64
2008-06-01,95.47
2008-07-01,95.63
2008-08-01,95.76
2008-09-01,96.16
2008-10-01,96.10
2008-11-01,95.86
2008-12-01,95.96
2009-01-01,96.11
2009-02-01,96.42
2009-03-01,96.75
2009-04-01,96.61
2009-05-01,96.55
2009-06-01,96.36
2009-07-01,96.08
2009-08-01,95.54
2009-09-01,95.52
2009-10-01,95.23
2009-11-01,94.82
2009-12-01,94.67
2010-01-01,94.67
2010-02-01,94.46
2010-03-01,94.22
2010-04-01,93.82
2010-05-01,93.81
2010-06-01,93.41
2010-07-01,93.30
2010-08-01,93.02
2010-09-01,92.62
2010-10-01,92.61
2010-11-01,92.27
2010-12-01,92.02
2011-01-01,92.28
2011-02-01,92.50
2011-03-01,92.66
2011-04-01,92.71
2011-05-01,92.77
2011-06-01,92.62
2011-07-01,92.67
2011-08-01,92.66
2011-09-01,92.71
2011-10-01,92.90
2011-11-01,92.70
2011-12-01,92.57
2012-01-01,92.97
2012-02-01,93.18
2012-03-01,93.28
2012-04-01,93.43
2012-05-01,93.27
2012-06-01,93.40
2012-07-01,93.24
2012-08-01,92.85
2012-09-01,92.75
2012-10-01,92.76
2012-11-01,92.73
2012-12-01,92.43
2013-01-01,92.59
2013-02-01,92.78
2013-03-01,92.59
2013-04-01,92.41
2013-05-01,92.55
2013-06-01,92.54
2013-07-01,92.21
2013-08-01,92.08
2013-09-01,91.90
2013-10-01,91.89
2013-11-01,91.61
2013-12-01,91.36
2014-01-01,91.48
2014-02-01,91.30
2014-03-01,91.28
2014-04-01,91.22
2014-05-01,91.21
2014-06-01,91.37
2014-07-01,91.20
2014-08-01,90.91
2014-09-01,90.75
2014-10-01,91.21
2014-11-01,90.67
2014-12-01,89.96
2015-01-01,90.35
2015-02-01,90.28
2015-03-01,90.40
2015-04-01,90.79
2015-05-01,90.74
2015-06-01,90.79
2015-07-01,90.47
2015-08-01,90.12
2015-09-01,90.26
2015-10-01,90.20
2015-11-01,89.58
2015-12-01,89.43
2016-01-01,89.74
2016-02-01,89.70
2016-03-01,89.61
2016-04-01,89.33
2016-05-01,89.11
2016-06-01,89.02
2016-07-01,88.83
2016-08-01,88.46
2016-09-01,88.42
2016-10-01,88.66
2016-11-01,88.06
2016-12-01,87.90
2017-01-01,88.75
2017-02-01,88.85
2017-03-01,88.74
2017-04-01,88.53
2017-05-01,88.49
2017-06-01,88.40
2017-07-01,87.97
2017-08-01,87.68
2017-09-01,87.49
2017-10-01,87.59
2017-11-01,87.21
2017-12-01,87.22
2018-01-01,87.98
2018-02-01,88.33
2018-03-01,88.39
2018-04-01,88.78
2018-05-01,88.43
