Date,U34HNO
2004-01-01,3730000000.00
2004-02-01,4070000000.00
2004-03-01,3830000000.00
2004-04-01,3452000000.00
2004-05-01,3913000000.00
2004-06-01,4151000000.00
2004-07-01,2967000000.00
2004-08-01,3945000000.00
2004-09-01,3617000000.00
2004-10-01,2840000000.00
2004-11-01,3485000000.00
2004-12-01,4338000000.00
2005-01-01,3438000000.00
2005-02-01,3873000000.00
2005-03-01,4002000000.00
2005-04-01,3105000000.00
2005-05-01,3612000000.00
2005-06-01,4045000000.00
2005-07-01,2945000000.00
2005-08-01,4139000000.00
2005-09-01,4024000000.00
2005-10-01,3620000000.00
2005-11-01,3501000000.00
2005-12-01,4503000000.00
2006-01-01,3222000000.00
2006-02-01,3718000000.00
2006-03-01,4266000000.00
2006-04-01,3908000000.00
2006-05-01,3804000000.00
2006-06-01,4472000000.00
2006-07-01,3869000000.00
2006-08-01,4048000000.00
2006-09-01,4491000000.00
2006-10-01,4149000000.00
2006-11-01,3648000000.00
2006-12-01,4725000000.00
2007-01-01,3901000000.00
2007-02-01,4422000000.00
2007-03-01,4300000000.00
2007-04-01,3644000000.00
2007-05-01,4141000000.00
2007-06-01,4435000000.00
2007-07-01,3989000000.00
2007-08-01,4668000000.00
2007-09-01,4323000000.00
2007-10-01,4330000000.00
2007-11-01,3928000000.00
2007-12-01,4409000000.00
2008-01-01,3970000000.00
2008-02-01,4379000000.00
2008-03-01,4815000000.00
2008-04-01,3777000000.00
2008-05-01,3946000000.00
2008-06-01,4833000000.00
2008-07-01,3547000000.00
2008-08-01,4292000000.00
2008-09-01,4588000000.00
2008-10-01,3457000000.00
2008-11-01,3088000000.00
2008-12-01,3663000000.00
2009-01-01,2683000000.00
2009-02-01,2774000000.00
2009-03-01,3239000000.00
2009-04-01,2628000000.00
2009-05-01,2564000000.00
2009-06-01,3387000000.00
2009-07-01,2937000000.00
2009-08-01,3224000000.00
2009-09-01,3497000000.00
2009-10-01,2856000000.00
2009-11-01,3120000000.00
2009-12-01,3501000000.00
2010-01-01,3256000000.00
2010-02-01,3489000000.00
2010-03-01,3728000000.00
2010-04-01,3392000000.00
2010-05-01,3414000000.00
2010-06-01,3806000000.00
2010-07-01,3405000000.00
2010-08-01,3760000000.00
2010-09-01,3773000000.00
2010-10-01,3470000000.00
2010-11-01,3496000000.00
2010-12-01,3944000000.00
2011-01-01,3234000000.00
2011-02-01,3300000000.00
2011-03-01,3877000000.00
2011-04-01,3574000000.00
2011-05-01,3561000000.00
2011-06-01,3773000000.00
2011-07-01,3294000000.00
2011-08-01,3853000000.00
2011-09-01,3825000000.00
2011-10-01,3546000000.00
2011-11-01,3416000000.00
2011-12-01,3779000000.00
2012-01-01,3113000000.00
2012-02-01,3490000000.00
2012-03-01,3665000000.00
2012-04-01,3137000000.00
2012-05-01,3557000000.00
2012-06-01,3444000000.00
2012-07-01,3109000000.00
2012-08-01,3510000000.00
2012-09-01,3435000000.00
2012-10-01,3333000000.00
2012-11-01,3185000000.00
2012-12-01,3661000000.00
2013-01-01,3425000000.00
2013-02-01,3317000000.00
2013-03-01,3545000000.00
2013-04-01,3546000000.00
2013-05-01,3551000000.00
2013-06-01,3684000000.00
2013-07-01,3752000000.00
2013-08-01,3557000000.00
2013-09-01,3450000000.00
2013-10-01,3730000000.00
2013-11-01,3366000000.00
2013-12-01,3575000000.00
2014-01-01,3131000000.00
2014-02-01,3318000000.00
2014-03-01,3453000000.00
2014-04-01,3323000000.00
2014-05-01,3426000000.00
2014-06-01,3849000000.00
2014-07-01,3635000000.00
2014-08-01,3713000000.00
2014-09-01,3585000000.00
2014-10-01,3368000000.00
2014-11-01,2778000000.00
2014-12-01,3256000000.00
2015-01-01,3241000000.00
2015-02-01,3320000000.00
2015-03-01,3728000000.00
2015-04-01,3793000000.00
2015-05-01,3698000000.00
2015-06-01,4267000000.00
2015-07-01,3972000000.00
2015-08-01,3993000000.00
2015-09-01,3694000000.00
2015-10-01,3629000000.00
2015-11-01,3130000000.00
2015-12-01,3628000000.00
2016-01-01,3006000000.00
2016-02-01,3093000000.00
2016-03-01,3459000000.00
2016-04-01,3234000000.00
2016-05-01,3408000000.00
2016-06-01,3511000000.00
2016-07-01,3469000000.00
2016-08-01,3627000000.00
2016-09-01,3457000000.00
2016-10-01,3230000000.00
2016-11-01,2878000000.00
2016-12-01,3445000000.00
2017-01-01,3126000000.00
2017-02-01,3108000000.00
2017-03-01,3475000000.00
2017-04-01,3351000000.00
2017-05-01,3502000000.00
2017-06-01,3553000000.00
2017-07-01,3548000000.00
2017-08-01,3895000000.00
2017-09-01,3697000000.00
2017-10-01,3616000000.00
2017-11-01,3284000000.00
2017-12-01,3795000000.00
2018-01-01,3539000000.00
2018-02-01,3413000000.00
2018-03-01,3592000000.00
2018-04-01,3514000000.00
