Date,SUUR0000SA0L1E
1999-12-01,100.00
2000-01-01,100.30
2000-02-01,100.70
2000-03-01,101.20
2000-04-01,101.30
2000-05-01,101.20
2000-06-01,101.20
2000-07-01,101.40
2000-08-01,101.60
2000-09-01,101.90
2000-10-01,102.20
2000-11-01,102.20
2000-12-01,101.90
2001-01-01,102.20
2001-02-01,102.70
2001-03-01,103.20
2001-04-01,103.20
2001-05-01,103.10
2001-06-01,103.40
2001-07-01,103.50
2001-08-01,103.80
2001-09-01,103.90
2001-10-01,104.20
2001-11-01,104.30
2001-12-01,104.10
2002-01-01,104.30
2002-02-01,104.80
2002-03-01,105.20
2002-04-01,105.30
2002-05-01,105.30
2002-06-01,105.10
2002-07-01,105.30
2002-08-01,105.60
2002-09-01,105.90
2002-10-01,106.10
2002-11-01,106.00
2002-12-01,105.80
2003-01-01,106.00
2003-02-01,106.20
2003-03-01,106.50
2003-04-01,106.50
2003-05-01,106.50
2003-06-01,106.40
2003-07-01,106.50
2003-08-01,106.70
2003-09-01,106.80
2003-10-01,107.10
2003-11-01,106.90
2003-12-01,106.60
2004-01-01,107.00
2004-02-01,107.50
2004-03-01,108.10
2004-04-01,108.30
2004-05-01,108.30
2004-06-01,108.20
2004-07-01,108.30
2004-08-01,108.40
2004-09-01,108.80
2004-10-01,109.20
2004-11-01,109.20
2004-12-01,109.00
2005-01-01,109.30
2005-02-01,109.80
2005-03-01,110.20
2005-04-01,110.40
2005-05-01,110.30
2005-06-01,110.20
2005-07-01,110.20
2005-08-01,110.40
2005-09-01,110.70
2005-10-01,111.10
2005-11-01,111.10
2005-12-01,111.00
2006-01-01,111.20
2006-02-01,111.80
2006-03-01,112.40
2006-04-01,112.70
2006-05-01,112.70
2006-06-01,112.90
2006-07-01,113.00
2006-08-01,113.30
2006-09-01,113.60
2006-10-01,113.80
2006-11-01,113.60
2006-12-01,113.40
2007-01-01,113.76
2007-02-01,114.28
2007-03-01,114.62
2007-04-01,114.83
2007-05-01,114.78
2007-06-01,114.79
2007-07-01,114.89
2007-08-01,115.16
2007-09-01,115.47
2007-10-01,115.81
2007-11-01,115.80
2007-12-01,115.63
2008-01-01,116.01
2008-02-01,116.43
2008-03-01,116.92
2008-04-01,117.03
2008-05-01,117.09
2008-06-01,117.24
2008-07-01,117.53
2008-08-01,117.83
2008-09-01,118.06
2008-10-01,118.20
2008-11-01,117.99
2008-12-01,117.62
2009-01-01,117.95
2009-02-01,118.35
2009-03-01,118.81
2009-04-01,119.04
2009-05-01,119.02
2009-06-01,119.12
2009-07-01,119.17
2009-08-01,119.40
2009-09-01,119.69
2009-10-01,119.96
2009-11-01,119.68
2009-12-01,119.45
2010-01-01,119.48
2010-02-01,119.71
2010-03-01,119.91
2010-04-01,119.96
2010-05-01,119.95
2010-06-01,119.95
2010-07-01,119.96
2010-08-01,120.16
2010-09-01,120.33
2010-10-01,120.43
2010-11-01,120.33
2010-12-01,120.17
2011-01-01,120.41
2011-02-01,120.78
2011-03-01,121.10
2011-04-01,121.47
2011-05-01,121.63
2011-06-01,121.77
2011-07-01,121.93
2011-08-01,122.33
2011-09-01,122.64
2011-10-01,122.89
2011-11-01,122.90
2011-12-01,122.81
2012-01-01,123.11
2012-02-01,123.40
2012-03-01,123.85
2012-04-01,124.14
2012-05-01,124.29
2012-06-01,124.41
2012-07-01,124.44
2012-08-01,124.60
2012-09-01,124.91
2012-10-01,125.10
2012-11-01,125.01
2012-12-01,124.78
2013-01-01,125.07
2013-02-01,125.51
2013-03-01,125.86
2013-04-01,125.94
2013-05-01,126.02
2013-06-01,126.10
2013-07-01,126.14
2013-08-01,126.40
2013-09-01,126.67
2013-10-01,126.82
2013-11-01,126.88
2013-12-01,126.67
2014-01-01,126.86
2014-02-01,127.25
2014-03-01,127.64
2014-04-01,127.93
2014-05-01,128.19
2014-06-01,128.23
2014-07-01,128.24
2014-08-01,128.25
2014-09-01,128.49
2014-10-01,128.76
2014-11-01,128.57
2014-12-01,128.17
2015-01-01,128.44
2015-02-01,128.80
2015-03-01,129.41
2015-04-01,129.78
2015-05-01,130.03
2015-06-01,130.15
2015-07-01,130.16
2015-08-01,130.19
2015-09-01,130.44
2015-10-01,130.72
2015-11-01,130.70
2015-12-01,130.39
2016-01-01,130.76
2016-02-01,131.33
2016-03-01,131.73
2016-04-01,132.07
2016-05-01,132.36
2016-06-01,132.50
2016-07-01,132.38
2016-08-01,132.54
2016-09-01,132.74
2016-10-01,133.03
2016-11-01,132.97
2016-12-01,132.82
2017-01-01,133.34
2017-02-01,133.82
2017-03-01,133.83
2017-04-01,133.95
2017-05-01,134.05
2017-06-01,134.13
2017-07-01,134.04
2017-08-01,134.30
2017-09-01,134.54
2017-10-01,134.89
2017-11-01,134.78
2017-12-01,134.77
2018-01-01,135.33
2018-02-01,135.92
2018-03-01,136.37
2018-04-01,136.58
2018-05-01,136.80
