Date,U36ZTI
1992-01-01,2344000000.00
1992-02-01,2376000000.00
1992-03-01,2223000000.00
1992-04-01,2281000000.00
1992-05-01,2282000000.00
1992-06-01,2297000000.00
1992-07-01,2324000000.00
1992-08-01,2383000000.00
1992-09-01,2050000000.00
1992-10-01,2056000000.00
1992-11-01,2021000000.00
1992-12-01,1990000000.00
1993-01-01,2060000000.00
1993-02-01,2148000000.00
1993-03-01,2135000000.00
1993-04-01,2160000000.00
1993-05-01,2194000000.00
1993-06-01,2321000000.00
1993-07-01,2312000000.00
1993-08-01,2187000000.00
1993-09-01,1984000000.00
1993-10-01,2037000000.00
1993-11-01,2060000000.00
1993-12-01,1919000000.00
1994-01-01,2053000000.00
1994-02-01,2106000000.00
1994-03-01,2080000000.00
1994-04-01,2112000000.00
1994-05-01,2100000000.00
1994-06-01,1943000000.00
1994-07-01,1963000000.00
1994-08-01,2002000000.00
1994-09-01,1883000000.00
1994-10-01,2038000000.00
1994-11-01,2072000000.00
1994-12-01,2045000000.00
1995-01-01,2169000000.00
1995-02-01,2291000000.00
1995-03-01,2230000000.00
1995-04-01,2161000000.00
1995-05-01,2158000000.00
1995-06-01,2082000000.00
1995-07-01,2294000000.00
1995-08-01,2109000000.00
1995-09-01,2095000000.00
1995-10-01,2129000000.00
1995-11-01,2238000000.00
1995-12-01,2101000000.00
1996-01-01,2171000000.00
1996-02-01,2269000000.00
1996-03-01,2271000000.00
1996-04-01,2287000000.00
1996-05-01,2346000000.00
1996-06-01,2318000000.00
1996-07-01,2321000000.00
1996-08-01,2317000000.00
1996-09-01,2307000000.00
1996-10-01,2297000000.00
1996-11-01,2422000000.00
1996-12-01,2174000000.00
1997-01-01,2236000000.00
1997-02-01,2220000000.00
1997-03-01,2222000000.00
1997-04-01,2202000000.00
1997-05-01,2073000000.00
1997-06-01,2083000000.00
1997-07-01,2101000000.00
1997-08-01,2022000000.00
1997-09-01,2051000000.00
1997-10-01,2049000000.00
1997-11-01,2039000000.00
