Date,RTWVDSD684NMFRBDAL
1988-01-01,100.00
1988-02-01,100.25
1988-03-01,98.69
1988-04-01,97.70
1988-05-01,98.01
1988-06-01,99.18
1988-07-01,101.35
1988-08-01,102.76
1988-09-01,103.09
1988-10-01,100.63
1988-11-01,98.78
1988-12-01,98.21
1989-01-01,100.31
1989-02-01,100.63
1989-03-01,101.68
1989-04-01,102.52
1989-05-01,104.92
1989-06-01,106.40
1989-07-01,103.70
1989-08-01,103.96
1989-09-01,104.90
1989-10-01,102.77
1989-11-01,102.21
1989-12-01,100.39
1990-01-01,100.09
1990-02-01,100.66
1990-03-01,101.23
1990-04-01,100.34
1990-05-01,99.60
1990-06-01,100.19
1990-07-01,98.70
1990-08-01,97.28
1990-09-01,97.52
1990-10-01,95.79
1990-11-01,94.99
1990-12-01,95.52
1991-01-01,94.75
1991-02-01,94.21
1991-03-01,96.96
1991-04-01,98.25
1991-05-01,98.34
1991-06-01,99.29
1991-07-01,99.28
1991-08-01,98.38
1991-09-01,97.25
1991-10-01,96.57
1991-11-01,95.22
1991-12-01,94.93
1992-01-01,95.18
1992-02-01,97.08
1992-03-01,98.69
1992-04-01,98.06
1992-05-01,97.80
1992-06-01,96.75
1992-07-01,95.24
1992-08-01,94.74
1992-09-01,96.16
1992-10-01,98.11
1992-11-01,100.90
1992-12-01,100.85
1993-01-01,101.84
1993-02-01,101.57
1993-03-01,100.93
1993-04-01,100.07
1993-05-01,100.33
1993-06-01,101.40
1993-07-01,102.46
1993-08-01,103.00
1993-09-01,102.56
1993-10-01,103.56
1993-11-01,104.11
1993-12-01,104.75
1994-01-01,104.85
1994-02-01,105.78
1994-03-01,106.27
1994-04-01,106.91
1994-05-01,106.25
1994-06-01,105.90
1994-07-01,104.52
1994-08-01,104.56
1994-09-01,103.18
1994-10-01,102.48
1994-11-01,103.22
1994-12-01,105.23
1995-01-01,105.87
1995-02-01,105.10
1995-03-01,103.53
1995-04-01,100.76
1995-05-01,100.69
1995-06-01,100.97
1995-07-01,100.51
1995-08-01,102.30
