Date,CHNGNETINVENTCONTRIBNOW
2014-04-01,0.17
2014-07-01,-0.41
2014-10-01,0.21
2015-01-01,-0.05
2015-04-01,-0.29
2015-07-01,-1.98
2015-10-01,-0.66
2016-01-01,-0.61
2016-04-01,-0.79
2016-07-01,0.03
2016-10-01,0.94
2017-01-01,-1.11
2017-04-01,0.82
2017-07-01,1.01
2017-10-01,-0.42
2018-01-01,0.81
2018-04-01,0.43
