Date,UTCGVS
2010-12-01,82498000000.00
2011-01-01,62714000000.00
2011-02-01,67482000000.00
2011-03-01,85188000000.00
2011-04-01,72287000000.00
2011-05-01,74773000000.00
2011-06-01,84199000000.00
2011-07-01,70229000000.00
2011-08-01,79783000000.00
2011-09-01,85482000000.00
2011-10-01,76825000000.00
2011-11-01,75688000000.00
2011-12-01,89226000000.00
2012-01-01,70013000000.00
2012-02-01,77965000000.00
2012-03-01,93753000000.00
2012-04-01,79345000000.00
2012-05-01,84332000000.00
2012-06-01,92429000000.00
2012-07-01,76896000000.00
2012-08-01,81649000000.00
2012-09-01,87509000000.00
2012-10-01,82091000000.00
2012-11-01,82184000000.00
2012-12-01,92419000000.00
2013-01-01,71385000000.00
2013-02-01,77191000000.00
2013-03-01,94238000000.00
2013-04-01,79098000000.00
2013-05-01,86730000000.00
2013-06-01,92390000000.00
2013-07-01,77009000000.00
2013-08-01,82954000000.00
2013-09-01,89050000000.00
2013-10-01,81805000000.00
2013-11-01,81650000000.00
2013-12-01,94145000000.00
2014-01-01,71096000000.00
2014-02-01,77422000000.00
2014-03-01,94405000000.00
2014-04-01,80426000000.00
2014-05-01,82753000000.00
2014-06-01,93634000000.00
2014-07-01,78837000000.00
2014-08-01,85262000000.00
2014-09-01,94572000000.00
2014-10-01,84555000000.00
2014-11-01,78623000000.00
2014-12-01,95426000000.00
2015-01-01,70424000000.00
2015-02-01,75204000000.00
2015-03-01,93234000000.00
2015-04-01,80160000000.00
2015-05-01,80066000000.00
2015-06-01,92585000000.00
2015-07-01,77521000000.00
2015-08-01,81969000000.00
2015-09-01,90397000000.00
2015-10-01,80769000000.00
2015-11-01,78908000000.00
2015-12-01,86858000000.00
2016-01-01,66337000000.00
2016-02-01,73614000000.00
2016-03-01,87762000000.00
2016-04-01,74265000000.00
2016-05-01,78252000000.00
2016-06-01,87919000000.00
2016-07-01,71817000000.00
2016-08-01,77812000000.00
2016-09-01,87001000000.00
2016-10-01,76116000000.00
2016-11-01,75599000000.00
2016-12-01,88444000000.00
2017-01-01,67266000000.00
2017-02-01,72944000000.00
2017-03-01,91501000000.00
2017-04-01,75383000000.00
2017-05-01,82303000000.00
2017-06-01,91770000000.00
2017-07-01,76377000000.00
2017-08-01,83519000000.00
2017-09-01,92258000000.00
2017-10-01,83018000000.00
2017-11-01,84253000000.00
2017-12-01,93995000000.00
2018-01-01,74285000000.00
2018-02-01,78801000000.00
2018-03-01,97981000000.00
2018-04-01,82093000000.00
2018-05-01,88524000000.00
