Date,RTWVDMS684NMFRBDAL
1988-01-01,100.00
1988-02-01,100.20
1988-03-01,98.08
1988-04-01,96.93
1988-05-01,97.14
1988-06-01,98.22
1988-07-01,99.24
1988-08-01,99.83
1988-09-01,102.10
1988-10-01,99.77
1988-11-01,97.84
1988-12-01,97.32
1989-01-01,98.68
1989-02-01,98.88
1989-03-01,99.79
1989-04-01,99.54
1989-05-01,101.59
1989-06-01,103.02
1989-07-01,100.98
1989-08-01,102.60
1989-09-01,103.31
1989-10-01,101.68
1989-11-01,101.71
1989-12-01,100.28
1990-01-01,99.95
1990-02-01,100.27
1990-03-01,101.29
1990-04-01,100.55
1990-05-01,99.50
1990-06-01,99.87
1990-07-01,98.43
1990-08-01,97.24
1990-09-01,97.66
1990-10-01,95.79
1990-11-01,95.03
1990-12-01,95.50
1991-01-01,95.07
1991-02-01,94.38
1991-03-01,97.12
1991-04-01,98.18
1991-05-01,98.36
1991-06-01,99.42
1991-07-01,99.54
1991-08-01,98.61
1991-09-01,98.00
1991-10-01,97.64
1991-11-01,96.28
1991-12-01,95.51
1992-01-01,95.53
1992-02-01,96.61
1992-03-01,98.07
1992-04-01,97.16
1992-05-01,96.18
1992-06-01,95.27
1992-07-01,93.94
1992-08-01,93.34
1992-09-01,94.72
1992-10-01,96.96
1992-11-01,99.15
1992-12-01,98.69
1993-01-01,99.13
1993-02-01,99.06
1993-03-01,101.76
1993-04-01,102.58
1993-05-01,102.79
1993-06-01,102.83
1993-07-01,102.92
1993-08-01,102.79
1993-09-01,101.96
1993-10-01,102.23
1993-11-01,102.48
1993-12-01,102.02
1994-01-01,101.35
1994-02-01,101.42
1994-03-01,102.26
1994-04-01,103.16
1994-05-01,103.30
1994-06-01,103.05
1994-07-01,103.38
1994-08-01,103.66
1994-09-01,102.93
1994-10-01,101.66
1994-11-01,101.23
1994-12-01,102.00
1995-01-01,102.29
1995-02-01,100.67
1995-03-01,99.45
1995-04-01,95.96
1995-05-01,94.13
1995-06-01,92.90
1995-07-01,91.04
1995-08-01,91.25
1995-09-01,91.28
1995-10-01,90.80
1995-11-01,91.19
1995-12-01,91.23
1996-01-01,91.01
1996-02-01,90.70
1996-03-01,90.68
1996-04-01,90.44
1996-05-01,90.54
1996-06-01,90.63
1996-07-01,90.92
1996-08-01,91.17
1996-09-01,91.75
1996-10-01,91.98
1996-11-01,91.41
1996-12-01,91.57
1997-01-01,92.01
1997-02-01,93.03
1997-03-01,93.71
1997-04-01,94.01
1997-05-01,93.12
1997-06-01,92.93
1997-07-01,93.23
1997-08-01,94.42
1997-09-01,94.62
1997-10-01,94.98
1997-11-01,95.72
1997-12-01,97.91
1998-01-01,99.28
1998-02-01,98.91
1998-03-01,98.63
1998-04-01,98.22
1998-05-01,98.54
1998-06-01,99.78
1998-07-01,100.07
1998-08-01,101.28
1998-09-01,100.72
1998-10-01,99.36
1998-11-01,99.39
1998-12-01,98.64
1999-01-01,98.87
1999-02-01,99.51
1999-03-01,100.28
1999-04-01,99.65
1999-05-01,98.94
1999-06-01,99.81
1999-07-01,100.02
1999-08-01,99.56
1999-09-01,99.53
1999-10-01,99.19
1999-11-01,99.42
1999-12-01,99.33
2000-01-01,99.17
2000-02-01,100.24
2000-03-01,100.96
2000-04-01,101.56
2000-05-01,103.38
2000-06-01,102.33
2000-07-01,101.94
2000-08-01,102.29
2000-09-01,103.68
2000-10-01,105.13
2000-11-01,105.43
2000-12-01,103.40
2001-01-01,103.02
2001-02-01,104.11
2001-03-01,105.39
2001-04-01,105.62
2001-05-01,105.31
2001-06-01,105.78
2001-07-01,105.91
2001-08-01,104.86
2001-09-01,105.58
2001-10-01,105.87
2001-11-01,106.30
2001-12-01,105.52
2002-01-01,105.86
2002-02-01,108.24
2002-03-01,108.56
2002-04-01,106.89
2002-05-01,107.70
2002-06-01,110.17
2002-07-01,110.55
2002-08-01,111.78
2002-09-01,112.76
2002-10-01,112.95
2002-11-01,110.75
2002-12-01,109.15
2003-01-01,107.74
2003-02-01,107.87
2003-03-01,107.51
2003-04-01,106.40
2003-05-01,102.40
2003-06-01,102.06
2003-07-01,103.50
2003-08-01,104.70
2003-09-01,103.65
2003-10-01,101.91
2003-11-01,101.37
2003-12-01,99.55
2004-01-01,98.16
2004-02-01,98.91
2004-03-01,99.85
2004-04-01,100.67
2004-05-01,102.46
2004-06-01,101.68
2004-07-01,100.21
2004-08-01,99.73
2004-09-01,98.94
2004-10-01,97.29
2004-11-01,94.76
2004-12-01,93.50
2005-01-01,94.20
2005-02-01,94.39
2005-03-01,94.09
2005-04-01,95.10
2005-05-01,95.49
2005-06-01,95.73
2005-07-01,95.62
2005-08-01,94.75
2005-09-01,95.20
2005-10-01,96.05
2005-11-01,95.57
2005-12-01,94.36
2006-01-01,93.84
2006-02-01,93.62
2006-03-01,94.41
2006-04-01,94.39
2006-05-01,93.11
2006-06-01,94.53
2006-07-01,94.11
2006-08-01,92.97
2006-09-01,92.83
2006-10-01,92.59
2006-11-01,91.72
2006-12-01,91.14
2007-01-01,92.00
2007-02-01,91.69
2007-03-01,92.12
2007-04-01,90.78
2007-05-01,89.81
2007-06-01,89.13
2007-07-01,87.59
2007-08-01,88.07
2007-09-01,86.74
2007-10-01,84.33
2007-11-01,83.58
2007-12-01,84.15
2008-01-01,84.09
2008-02-01,83.05
2008-03-01,82.49
2008-04-01,82.13
2008-05-01,82.25
2008-06-01,82.66
2008-07-01,82.04
2008-08-01,82.97
2008-09-01,85.02
2008-10-01,91.92
2008-11-01,92.86
2008-12-01,92.48
2009-01-01,93.66
2009-02-01,96.41
2009-03-01,97.08
2009-04-01,94.43
2009-05-01,91.63
2009-06-01,90.81
2009-07-01,90.26
2009-08-01,88.86
2009-09-01,88.67
2009-10-01,87.41
2009-11-01,86.89
2009-12-01,86.86
2010-01-01,86.66
2010-02-01,87.22
2010-03-01,86.32
2010-04-01,85.47
2010-05-01,87.51
2010-06-01,87.62
2010-07-01,86.47
2010-08-01,85.65
2010-09-01,85.13
2010-10-01,83.15
2010-11-01,82.92
2010-12-01,83.30
2011-01-01,82.57
2011-02-01,82.12
2011-03-01,81.89
2011-04-01,80.75
2011-05-01,81.06
2011-06-01,81.15
2011-07-01,80.41
2011-08-01,81.31
2011-09-01,83.23
2011-10-01,83.95
2011-11-01,83.80
2011-12-01,84.08
2012-01-01,83.59
2012-02-01,82.33
2012-03-01,82.74
2012-04-01,82.90
2012-05-01,83.87
2012-06-01,84.76
2012-07-01,83.73
2012-08-01,83.22
2012-09-01,82.82
2012-10-01,82.63
2012-11-01,82.70
2012-12-01,81.92
2013-01-01,81.60
2013-02-01,82.07
2013-03-01,82.59
2013-04-01,82.06
2013-05-01,82.40
2013-06-01,83.61
2013-07-01,83.75
2013-08-01,83.79
2013-09-01,83.69
2013-10-01,82.88
2013-11-01,83.22
2013-12-01,83.31
2014-01-01,84.21
2014-02-01,84.35
2014-03-01,84.39
2014-04-01,83.70
2014-05-01,83.51
2014-06-01,83.53
2014-07-01,83.17
2014-08-01,83.79
2014-09-01,84.70
2014-10-01,85.51
2014-11-01,86.04
2014-12-01,87.33
2015-01-01,88.93
