Date,U25CTI
1992-01-01,2394000000.00
1992-02-01,2413000000.00
1992-03-01,2427000000.00
1992-04-01,2441000000.00
1992-05-01,2403000000.00
1992-06-01,2382000000.00
1992-07-01,2386000000.00
1992-08-01,2359000000.00
1992-09-01,2308000000.00
1992-10-01,2292000000.00
1992-11-01,2288000000.00
1992-12-01,2303000000.00
1993-01-01,2379000000.00
1993-02-01,2392000000.00
1993-03-01,2455000000.00
1993-04-01,2434000000.00
1993-05-01,2419000000.00
1993-06-01,2425000000.00
1993-07-01,2419000000.00
1993-08-01,2405000000.00
1993-09-01,2358000000.00
1993-10-01,2370000000.00
1993-11-01,2354000000.00
1993-12-01,2370000000.00
1994-01-01,2468000000.00
1994-02-01,2489000000.00
1994-03-01,2569000000.00
1994-04-01,2558000000.00
1994-05-01,2572000000.00
1994-06-01,2593000000.00
1994-07-01,2602000000.00
1994-08-01,2572000000.00
1994-09-01,2557000000.00
1994-10-01,2516000000.00
1994-11-01,2500000000.00
1994-12-01,2539000000.00
1995-01-01,2572000000.00
1995-02-01,2607000000.00
1995-03-01,2748000000.00
1995-04-01,2761000000.00
1995-05-01,2748000000.00
1995-06-01,2744000000.00
1995-07-01,2726000000.00
1995-08-01,2714000000.00
1995-09-01,2656000000.00
1995-10-01,2619000000.00
1995-11-01,2627000000.00
1995-12-01,2655000000.00
1996-01-01,2664000000.00
1996-02-01,2696000000.00
1996-03-01,2774000000.00
1996-04-01,2736000000.00
1996-05-01,2768000000.00
1996-06-01,2810000000.00
1996-07-01,2776000000.00
1996-08-01,2736000000.00
1996-09-01,2691000000.00
1996-10-01,2690000000.00
1996-11-01,2736000000.00
1996-12-01,2765000000.00
1997-01-01,2805000000.00
1997-02-01,2843000000.00
1997-03-01,2932000000.00
1997-04-01,2917000000.00
1997-05-01,2933000000.00
1997-06-01,2984000000.00
1997-07-01,2965000000.00
1997-08-01,2875000000.00
1997-09-01,2823000000.00
1997-10-01,2848000000.00
1997-11-01,2798000000.00
1997-12-01,2833000000.00
1998-01-01,2920000000.00
1998-02-01,2911000000.00
1998-03-01,2931000000.00
1998-04-01,2949000000.00
1998-05-01,2942000000.00
1998-06-01,3000000000.00
1998-07-01,2990000000.00
1998-08-01,2973000000.00
1998-09-01,2862000000.00
1998-10-01,2850000000.00
1998-11-01,2799000000.00
1998-12-01,2838000000.00
1999-01-01,2932000000.00
1999-02-01,2975000000.00
1999-03-01,3059000000.00
1999-04-01,3004000000.00
1999-05-01,2980000000.00
1999-06-01,2960000000.00
