Date,TOTALNSA
1983-04-01,1012300.00
1983-05-01,1109900.00
1983-06-01,1205400.00
1983-07-01,1051700.00
1983-08-01,993100.00
1983-09-01,980400.00
1983-10-01,1126000.00
1983-11-01,1050200.00
1983-12-01,1054000.00
1984-01-01,1056900.00
1984-02-01,1158900.00
1984-03-01,1351500.00
1984-04-01,1245800.00
1984-05-01,1451700.00
1984-06-01,1315900.00
1984-07-01,1237200.00
1984-08-01,1129600.00
1984-09-01,1053400.00
1984-10-01,1266500.00
1984-11-01,1141100.00
1984-12-01,1074800.00
1985-01-01,1196600.00
1985-02-01,1210600.00
1985-03-01,1391000.00
1985-04-01,1380300.00
1985-05-01,1498900.00
1985-06-01,1332900.00
1985-07-01,1337600.00
1985-08-01,1345800.00
1985-09-01,1463500.00
1985-10-01,1243200.00
1985-11-01,1120900.00
1985-12-01,1198800.00
1986-01-01,1213800.00
1986-02-01,1182200.00
1986-03-01,1297600.00
1986-04-01,1390100.00
1986-05-01,1530300.00
1986-06-01,1426500.00
1986-07-01,1378000.00
1986-08-01,1344100.00
1986-09-01,1733600.00
1986-10-01,1270600.00
1986-11-01,1119900.00
1986-12-01,1431100.00
1987-01-01,918900.00
1987-02-01,1148400.00
1987-03-01,1381700.00
1987-04-01,1385300.00
1987-05-01,1298500.00
1987-06-01,1419600.00
1987-07-01,1355800.00
1987-08-01,1400600.00
1987-09-01,1300500.00
1987-10-01,1193200.00
1987-11-01,1110700.00
1987-12-01,1249200.00
1988-01-01,1122500.00
1988-02-01,1308800.00
1988-03-01,1505000.00
1988-04-01,1333500.00
1988-05-01,1455400.00
1988-06-01,1483100.00
1988-07-01,1302800.00
1988-08-01,1317000.00
1988-09-01,1223200.00
1988-10-01,1249900.00
1988-11-01,1191100.00
1988-12-01,1285200.00
1989-01-01,1084200.00
1989-02-01,1127300.00
1989-03-01,1337600.00
1989-04-01,1354800.00
1989-05-01,1438400.00
1989-06-01,1329200.00
1989-07-01,1279100.00
1989-08-01,1441900.00
1989-09-01,1263800.00
1989-10-01,1116900.00
