Date,FRGEXPUSM649NCIS
1999-01-01,1.19
1999-02-01,1.26
1999-03-01,1.27
1999-04-01,1.26
1999-05-01,1.30
1999-06-01,1.27
1999-07-01,1.24
1999-08-01,1.26
1999-09-01,1.25
1999-10-01,1.29
1999-11-01,1.46
1999-12-01,1.44
2000-01-01,1.48
2000-02-01,1.41
2000-03-01,1.41
2000-04-01,1.44
2000-05-01,1.45
2000-06-01,1.47
2000-07-01,1.42
2000-08-01,1.46
2000-09-01,1.52
2000-10-01,1.49
2000-11-01,1.43
2000-12-01,1.31
2001-01-01,1.36
2001-02-01,1.28
2001-03-01,1.27
2001-04-01,1.23
2001-05-01,1.28
2001-06-01,1.23
2001-07-01,1.23
2001-08-01,1.20
2001-09-01,1.22
2001-10-01,1.25
2001-11-01,1.18
2001-12-01,1.17
2002-01-01,1.12
2002-02-01,1.16
2002-03-01,1.20
2002-04-01,1.21
2002-05-01,1.17
2002-06-01,1.20
2002-07-01,1.30
2002-08-01,1.25
2002-09-01,1.29
2002-10-01,1.30
2002-11-01,1.24
2002-12-01,1.20
2003-01-01,1.21
2003-02-01,1.21
2003-03-01,1.29
2003-04-01,1.26
2003-05-01,1.25
2003-06-01,1.31
2003-07-01,1.36
2003-08-01,1.35
2003-09-01,1.43
2003-10-01,1.39
2003-11-01,1.39
2003-12-01,1.38
2004-01-01,1.30
2004-02-01,1.38
2004-03-01,1.43
2004-04-01,1.43
2004-05-01,1.51
2004-06-01,1.62
2004-07-01,1.50
2004-08-01,1.59
2004-09-01,1.69
2004-10-01,1.67
2004-11-01,1.63
2004-12-01,1.65
2005-01-01,1.54
2005-02-01,1.60
2005-03-01,1.63
2005-04-01,1.65
2005-05-01,1.71
2005-06-01,1.77
2005-07-01,1.69
2005-08-01,1.75
2005-09-01,1.85
2005-10-01,1.88
2005-11-01,1.92
2005-12-01,1.94
2006-01-01,1.93
2006-02-01,1.96
2006-03-01,1.96
2006-04-01,1.98
2006-05-01,2.03
2006-06-01,2.19
2006-07-01,2.05
2006-08-01,2.10
2006-09-01,2.11
2006-10-01,2.00
2006-11-01,1.91
2006-12-01,1.83
2007-01-01,1.81
2007-02-01,1.83
2007-03-01,1.95
2007-04-01,1.93
2007-05-01,2.00
2007-06-01,2.06
2007-07-01,1.90
2007-08-01,1.98
2007-09-01,2.05
2007-10-01,2.00
2007-11-01,2.02
2007-12-01,1.93
2008-01-01,1.84
2008-02-01,1.88
2008-03-01,1.94
2008-04-01,1.93
2008-05-01,2.02
2008-06-01,2.11
2008-07-01,2.09
2008-08-01,2.02
2008-09-01,2.02
2008-10-01,1.97
2008-11-01,1.93
2008-12-01,1.62
2009-01-01,1.42
2009-02-01,1.51
2009-03-01,1.48
2009-04-01,1.40
2009-05-01,1.43
2009-06-01,1.49
2009-07-01,1.49
2009-08-01,1.48
2009-09-01,1.56
2009-10-01,1.52
2009-11-01,1.60
2009-12-01,1.53
2010-01-01,1.46
2010-02-01,1.55
2010-03-01,1.66
2010-04-01,1.69
2010-05-01,1.78
2010-06-01,1.92
2010-07-01,1.83
2010-08-01,1.97
2010-09-01,2.03
2010-10-01,1.98
2010-11-01,1.99
2010-12-01,1.91
2011-01-01,1.86
2011-02-01,2.09
2011-03-01,2.22
2011-04-01,2.28
2011-05-01,2.32
2011-06-01,2.42
2011-07-01,2.37
2011-08-01,2.28
2011-09-01,2.34
2011-10-01,2.30
2011-11-01,2.27
2011-12-01,2.27
2012-01-01,2.27
2012-02-01,2.30
2012-03-01,2.32
2012-04-01,2.40
2012-05-01,2.45
2012-06-01,2.44
2012-07-01,2.39
2012-08-01,2.37
2012-09-01,2.45
2012-10-01,2.49
2012-11-01,2.34
2012-12-01,2.36
2013-01-01,2.23
2013-02-01,2.27
2013-03-01,2.42
2013-04-01,2.38
2013-05-01,2.38
2013-06-01,2.46
2013-07-01,2.48
2013-08-01,2.45
2013-09-01,2.58
2013-10-01,2.51
2013-11-01,2.52
2013-12-01,2.39
2014-01-01,2.27
2014-02-01,2.42
2014-03-01,2.55
2014-04-01,2.62
2014-05-01,2.65
2014-06-01,2.76
2014-07-01,2.65
2014-08-01,2.64
2014-09-01,2.67
2014-10-01,2.67
2014-11-01,2.65
2014-12-01,2.47
2015-01-01,2.33
2015-02-01,2.43
2015-03-01,2.46
2015-04-01,2.50
2015-05-01,2.54
2015-06-01,2.60
2015-07-01,2.48
2015-08-01,2.43
2015-09-01,2.49
2015-10-01,2.44
2015-11-01,2.41
2015-12-01,2.35
2016-01-01,2.17
2016-02-01,2.31
2016-03-01,2.29
2016-04-01,2.29
2016-05-01,2.28
2016-06-01,2.37
2016-07-01,2.36
2016-08-01,2.28
2016-09-01,2.40
2016-10-01,2.34
2016-11-01,2.30
2016-12-01,2.27
2017-01-01,2.27
2017-02-01,2.38
2017-03-01,2.36
2017-04-01,2.43
2017-05-01,2.45
2017-06-01,2.50
2017-07-01,2.46
2017-08-01,2.50
2017-09-01,2.51
2017-10-01,2.61
2017-11-01,2.63
2017-12-01,2.64
2018-01-01,2.59
2018-02-01,2.72
2018-03-01,2.72
2018-04-01,2.74
2018-05-01,2.88
