Date,IR3TIB01USM156N
1964-06-01,3.86
1964-07-01,3.87
1964-08-01,3.85
1964-09-01,3.87
1964-10-01,3.94
1964-11-01,3.99
1964-12-01,4.14
1965-01-01,4.13
1965-02-01,4.19
1965-03-01,4.27
1965-04-01,4.28
1965-05-01,4.32
1965-06-01,4.31
1965-07-01,4.29
1965-08-01,4.30
1965-09-01,4.34
1965-10-01,4.46
1965-11-01,4.49
1965-12-01,4.75
1966-01-01,4.95
1966-02-01,5.05
1966-03-01,5.19
1966-04-01,5.26
1966-05-01,5.38
1966-06-01,5.50
1966-07-01,5.62
1966-08-01,5.72
1966-09-01,5.86
1966-10-01,5.83
1966-11-01,5.79
1966-12-01,5.65
1967-01-01,5.40
1967-02-01,5.18
1967-03-01,5.01
1967-04-01,4.43
1967-05-01,4.49
1967-06-01,4.66
1967-07-01,5.00
1967-08-01,4.93
1967-09-01,4.91
1967-10-01,5.22
1967-11-01,5.40
1967-12-01,5.62
1968-01-01,5.48
1968-02-01,5.33
1968-03-01,5.58
1968-04-01,5.78
1968-05-01,6.14
1968-06-01,6.12
1968-07-01,6.03
1968-08-01,5.85
1968-09-01,5.78
1968-10-01,5.90
1968-11-01,6.05
1968-12-01,6.27
1969-01-01,6.50
1969-02-01,6.52
1969-03-01,6.65
1969-04-01,6.84
1969-05-01,7.28
1969-06-01,8.01
1969-07-01,8.69
1969-08-01,8.38
1969-09-01,8.47
1969-10-01,8.56
1969-11-01,8.46
1969-12-01,8.77
1970-01-01,8.91
1970-02-01,8.58
1970-03-01,8.08
1970-04-01,7.51
1970-05-01,8.08
1970-06-01,8.07
1970-07-01,8.01
1970-08-01,7.72
1970-09-01,7.30
1970-10-01,6.76
1970-11-01,6.08
1970-12-01,5.67
1971-01-01,5.09
1971-02-01,4.38
1971-03-01,3.85
1971-04-01,4.45
1971-05-01,4.98
1971-06-01,5.40
1971-07-01,5.75
1971-08-01,5.74
1971-09-01,5.63
1971-10-01,5.27
1971-11-01,4.87
1971-12-01,4.65
1972-01-01,3.95
1972-02-01,3.61
1972-03-01,4.08
1972-04-01,4.60
1972-05-01,4.41
1972-06-01,4.64
1972-07-01,4.82
1972-08-01,4.85
1972-09-01,5.13
1972-10-01,5.25
1972-11-01,5.22
1972-12-01,5.43
1973-01-01,5.81
1973-02-01,6.34
1973-03-01,7.05
1973-04-01,7.31
1973-05-01,7.55
1973-06-01,8.16
1973-07-01,9.70
1973-08-01,10.77
1973-09-01,10.59
1973-10-01,9.20
1973-11-01,9.24
1973-12-01,9.27
1974-01-01,9.00
1974-02-01,8.08
1974-03-01,8.84
1974-04-01,10.25
1974-05-01,11.20
1974-06-01,11.38
1974-07-01,12.25
1974-08-01,12.23
1974-09-01,11.60
1974-10-01,9.78
1974-11-01,9.09
1974-12-01,9.23
1975-01-01,7.48
1975-02-01,6.41
1975-03-01,6.18
1975-04-01,6.26
1975-05-01,5.79
1975-06-01,5.82
1975-07-01,6.55
1975-08-01,6.87
1975-09-01,7.03
1975-10-01,6.56
1975-11-01,6.26
1975-12-01,6.03
1976-01-01,5.14
1976-02-01,5.18
1976-03-01,5.34
1976-04-01,5.12
1976-05-01,5.56
1976-06-01,5.84
1976-07-01,5.52
1976-08-01,5.39
1976-09-01,5.33
1976-10-01,5.12
1976-11-01,5.01
1976-12-01,4.67
1977-01-01,4.83
1977-02-01,4.83
1977-03-01,4.84
1977-04-01,4.80
1977-05-01,5.36
1977-06-01,5.42
1977-07-01,5.46
1977-08-01,5.90
1977-09-01,6.19
1977-10-01,6.67
1977-11-01,6.68
1977-12-01,6.71
1978-01-01,6.94
1978-02-01,6.90
1978-03-01,6.86
1978-04-01,7.03
1978-05-01,7.40
1978-06-01,7.83
1978-07-01,8.12
1978-08-01,8.06
1978-09-01,8.64
1978-10-01,9.44
1978-11-01,10.72
1978-12-01,10.72
1979-01-01,10.51
1979-02-01,10.19
1979-03-01,10.13
1979-04-01,10.06
1979-05-01,10.16
1979-06-01,9.95
1979-07-01,10.11
1979-08-01,10.71
1979-09-01,11.89
1979-10-01,13.66
1979-11-01,13.90
1979-12-01,13.43
1980-01-01,13.39
1980-02-01,14.30
1980-03-01,17.57
1980-04-01,16.14
1980-05-01,9.79
1980-06-01,8.49
1980-07-01,8.65
1980-08-01,9.91
1980-09-01,11.29
1980-10-01,12.94
1980-11-01,15.68
1980-12-01,18.65
1981-01-01,17.19
1981-02-01,16.14
1981-03-01,14.43
1981-04-01,15.08
1981-05-01,18.27
1981-06-01,16.90
1981-07-01,17.76
1981-08-01,17.96
1981-09-01,16.84
1981-10-01,15.39
1981-11-01,12.48
1981-12-01,12.49
1982-01-01,13.51
1982-02-01,15.00
1982-03-01,14.21
1982-04-01,14.44
1982-05-01,13.80
1982-06-01,14.46
1982-07-01,13.44
1982-08-01,10.61
1982-09-01,10.66
1982-10-01,9.51
1982-11-01,8.95
1982-12-01,8.66
1983-01-01,8.36
1983-02-01,8.54
1983-03-01,8.69
1983-04-01,8.63
1983-05-01,8.49
1983-06-01,9.20
1983-07-01,9.50
1983-08-01,9.77
1983-09-01,9.39
1983-10-01,9.18
1983-11-01,9.36
1983-12-01,9.69
1984-01-01,9.42
1984-02-01,9.54
1984-03-01,10.08
1984-04-01,10.41
1984-05-01,11.11
1984-06-01,11.34
1984-07-01,11.56
1984-08-01,11.47
1984-09-01,11.29
1984-10-01,10.38
1984-11-01,9.18
1984-12-01,8.60
1985-01-01,8.14
1985-02-01,8.69
1985-03-01,9.02
1985-04-01,8.49
1985-05-01,7.92
1985-06-01,7.44
1985-07-01,7.64
1985-08-01,7.81
1985-09-01,7.93
1985-10-01,7.88
1985-11-01,7.81
1985-12-01,7.80
1986-01-01,7.82
1986-02-01,7.69
1986-03-01,7.24
1986-04-01,6.60
1986-05-01,6.65
1986-06-01,6.73
1986-07-01,6.37
1986-08-01,5.92
1986-09-01,5.71
1986-10-01,5.69
1986-11-01,5.76
1986-12-01,6.04
1987-01-01,5.87
1987-02-01,6.10
1987-03-01,6.17
1987-04-01,6.52
1987-05-01,6.99
1987-06-01,6.94
1987-07-01,6.70
1987-08-01,6.75
1987-09-01,7.37
1987-10-01,8.02
1987-11-01,7.24
1987-12-01,7.66
1988-01-01,6.92
1988-02-01,6.60
1988-03-01,6.63
1988-04-01,6.92
1988-05-01,7.24
1988-06-01,7.51
1988-07-01,7.94
1988-08-01,8.35
1988-09-01,8.23
1988-10-01,8.36
1988-11-01,8.78
1988-12-01,9.25
1989-01-01,9.20
1989-02-01,9.51
1989-03-01,10.09
1989-04-01,9.94
1989-05-01,9.59
1989-06-01,9.20
1989-07-01,8.76
1989-08-01,8.64
1989-09-01,8.78
1989-10-01,8.60
1989-11-01,8.39
1989-12-01,8.32
1990-01-01,8.16
1990-02-01,8.22
1990-03-01,8.35
1990-04-01,8.42
1990-05-01,8.35
1990-06-01,8.23
1990-07-01,8.10
1990-08-01,7.97
1990-09-01,8.06
1990-10-01,8.06
1990-11-01,8.03
1990-12-01,7.82
1991-01-01,7.17
1991-02-01,6.52
1991-03-01,6.45
1991-04-01,6.06
1991-05-01,5.91
1991-06-01,6.07
1991-07-01,5.98
1991-08-01,5.65
1991-09-01,5.47
1991-10-01,5.33
1991-11-01,4.94
1991-12-01,4.47
1992-01-01,4.05
1992-02-01,4.07
1992-03-01,4.25
1992-04-01,4.00
1992-05-01,3.82
1992-06-01,3.86
1992-07-01,3.37
1992-08-01,3.31
1992-09-01,3.13
1992-10-01,3.26
1992-11-01,3.58
1992-12-01,3.48
1993-01-01,3.19
1993-02-01,3.12
1993-03-01,3.11
1993-04-01,3.09
1993-05-01,3.10
1993-06-01,3.21
1993-07-01,3.16
1993-08-01,3.14
1993-09-01,3.12
1993-10-01,3.24
1993-11-01,3.35
1993-12-01,3.26
1994-01-01,3.15
1994-02-01,3.43
