Date,TABSNNCB
1975-01-01,2752146000000.00
1975-04-01,2820130000000.00
1975-07-01,2858329000000.00
1975-10-01,2906076000000.00
1976-01-01,2983532000000.00
1976-04-01,3076113000000.00
1976-07-01,3156284000000.00
1976-10-01,3218357000000.00
1977-01-01,3306916000000.00
1977-04-01,3385178000000.00
1977-07-01,3480815000000.00
1977-10-01,3583483000000.00
1978-01-01,3687885000000.00
1978-04-01,3806243000000.00
1978-07-01,3933169000000.00
1978-10-01,4078823000000.00
1979-01-01,4234112000000.00
1979-04-01,4385447000000.00
1979-07-01,4570358000000.00
1979-10-01,4718660000000.00
1980-01-01,4869956000000.00
1980-04-01,5001196000000.00
1980-07-01,5200925000000.00
1980-10-01,5371491000000.00
1981-01-01,5625618000000.00
1981-04-01,5770281000000.00
1981-07-01,5898804000000.00
1981-10-01,6043687000000.00
1982-01-01,6175641000000.00
1982-04-01,6238632000000.00
1982-07-01,6336835000000.00
1982-10-01,6389338000000.00
1983-01-01,6480815000000.00
1983-04-01,6557357000000.00
1983-07-01,6625832000000.00
1983-10-01,6721378000000.00
1984-01-01,6858688000000.00
1984-04-01,7021307000000.00
1984-07-01,7195633000000.00
1984-10-01,7298303000000.00
1985-01-01,7404326000000.00
1985-04-01,7502155000000.00
1985-07-01,7607688000000.00
1985-10-01,7802957000000.00
1986-01-01,7841709000000.00
1986-04-01,7929728000000.00
1986-07-01,8054977000000.00
1986-10-01,8153537000000.00
1987-01-01,8305482000000.00
1987-04-01,8413079000000.00
1987-07-01,8532835000000.00
1987-10-01,8675752000000.00
1988-01-01,8844357000000.00
1988-04-01,8994475000000.00
1988-07-01,9117953000000.00
1988-10-01,9432664000000.00
1989-01-01,9838865000000.00
1989-04-01,9902857000000.00
1989-07-01,9949309000000.00
1989-10-01,9975893000000.00
1990-01-01,10004603000000.00
1990-04-01,10037602000000.00
1990-07-01,10150457000000.00
1990-10-01,10238063000000.00
1991-01-01,10285092000000.00
1991-04-01,10302676000000.00
1991-07-01,10277288000000.00
1991-10-01,10208890000000.00
1992-01-01,10285817000000.00
1992-04-01,10263893000000.00
1992-07-01,10233402000000.00
1992-10-01,10219927000000.00
1993-01-01,10325027000000.00
1993-04-01,10432628000000.00
1993-07-01,10539181000000.00
1993-10-01,10700192000000.00
1994-01-01,10817898000000.00
1994-04-01,10985106000000.00
1994-07-01,11136327000000.00
1994-10-01,11371590000000.00
1995-01-01,11532341000000.00
1995-04-01,11742362000000.00
1995-07-01,11967620000000.00
1995-10-01,12226522000000.00
1996-01-01,12435459000000.00
1996-04-01,12596011000000.00
1996-07-01,12730848000000.00
1996-10-01,12986510000000.00
1997-01-01,13487638000000.00
1997-04-01,13588145000000.00
1997-07-01,13934845000000.00
1997-10-01,14337123000000.00
1998-01-01,14874475000000.00
1998-04-01,15046379000000.00
1998-07-01,15297768000000.00
1998-10-01,16048897000000.00
1999-01-01,16397496000000.00
1999-04-01,16741143000000.00
1999-07-01,17176344000000.00
1999-10-01,17860720000000.00
2000-01-01,18160960000000.00
2000-04-01,18559083000000.00
2000-07-01,19498470000000.00
2000-10-01,20513631000000.00
2001-01-01,20517864000000.00
2001-04-01,20640183000000.00
2001-07-01,20676955000000.00
2001-10-01,20620072000000.00
2002-01-01,20714499000000.00
2002-04-01,20735820000000.00
2002-07-01,20788109000000.00
2002-10-01,21033528000000.00
2003-01-01,21326619000000.00
2003-04-01,21436140000000.00
2003-07-01,21447917000000.00
2003-10-01,21523285000000.00
2004-01-01,22036417000000.00
2004-04-01,22739483000000.00
2004-07-01,23414804000000.00
2004-10-01,23943472000000.00
2005-01-01,24302178000000.00
2005-04-01,24903169000000.00
2005-07-01,25458971000000.00
2005-10-01,26157746000000.00
2006-01-01,26663260000000.00
2006-04-01,27349273000000.00
2006-07-01,27960008000000.00
2006-10-01,28354882000000.00
2007-01-01,29020030000000.00
2007-04-01,29895100000000.00
2007-07-01,30555348000000.00
2007-10-01,31040942000000.00
2008-01-01,30479430000000.00
2008-04-01,30081323000000.00
2008-07-01,30218939000000.00
2008-10-01,29355033000000.00
2009-01-01,28780240000000.00
2009-04-01,27750917000000.00
2009-07-01,27124050000000.00
2009-10-01,27337061000000.00
2010-01-01,27237237000000.00
2010-04-01,27976732000000.00
2010-07-01,28278729000000.00
2010-10-01,28746073000000.00
2011-01-01,29150929000000.00
2011-04-01,29427496000000.00
2011-07-01,29540926000000.00
2011-10-01,30084473000000.00
2012-01-01,30388933000000.00
2012-04-01,30670420000000.00
2012-07-01,31194653000000.00
2012-10-01,31425815000000.00
2013-01-01,31904282000000.00
2013-04-01,32670977000000.00
2013-07-01,33479228000000.00
2013-10-01,34142612000000.00
2014-01-01,34388414000000.00
2014-04-01,35059231000000.00
2014-07-01,35572534000000.00
2014-10-01,36383824000000.00
2015-01-01,37442112000000.00
2015-04-01,38025120000000.00
2015-07-01,38640848000000.00
2015-10-01,39062670000000.00
2016-01-01,39017956000000.00
2016-04-01,39815820000000.00
2016-07-01,40997624000000.00
2016-10-01,41618205000000.00
2017-01-01,41738354000000.00
2017-04-01,42599451000000.00
2017-07-01,43242473000000.00
2017-10-01,44027747000000.00
2018-01-01,44111506000000.00
