Date,TABSNNCB
1945-10-01,286322000000.00
1946-10-01,312351000000.00
1947-10-01,362902000000.00
1948-10-01,396156000000.00
1949-10-01,405605000000.00
1950-10-01,452351000000.00
1951-10-01,500818000000.00
1952-01-01,509656000000.00
1952-04-01,511769000000.00
1952-07-01,517537000000.00
1952-10-01,524443000000.00
1953-01-01,526934000000.00
1953-04-01,533849000000.00
1953-07-01,544360000000.00
1953-10-01,545661000000.00
1954-01-01,544327000000.00
1954-04-01,546463000000.00
1954-07-01,552917000000.00
1954-10-01,560184000000.00
1955-01-01,564091000000.00
1955-04-01,574930000000.00
1955-07-01,594521000000.00
1955-10-01,615620000000.00
1956-01-01,629169000000.00
1956-04-01,637296000000.00
1956-07-01,656827000000.00
1956-10-01,672577000000.00
1957-01-01,681273000000.00
1957-04-01,689633000000.00
1957-07-01,701559000000.00
1957-10-01,709225000000.00
1958-01-01,707474000000.00
1958-04-01,711211000000.00
1958-07-01,721778000000.00
1958-10-01,733083000000.00
1959-01-01,740460000000.00
1959-04-01,753172000000.00
1959-07-01,762822000000.00
1959-10-01,772959000000.00
1960-01-01,776388000000.00
1960-04-01,780605000000.00
1960-07-01,787190000000.00
1960-10-01,790406000000.00
1961-01-01,790213000000.00
1961-04-01,800245000000.00
1961-07-01,809626000000.00
1961-10-01,819941000000.00
1962-01-01,825755000000.00
1962-04-01,834230000000.00
1962-07-01,845007000000.00
1962-10-01,854759000000.00
1963-01-01,859923000000.00
1963-04-01,870284000000.00
1963-07-01,881623000000.00
1963-10-01,893607000000.00
1964-01-01,899647000000.00
1964-04-01,915367000000.00
1964-07-01,929563000000.00
1964-10-01,945102000000.00
1965-01-01,958876000000.00
1965-04-01,975878000000.00
1965-07-01,993387000000.00
1965-10-01,1024000000000.00
1966-01-01,1037425000000.00
1966-04-01,1065987000000.00
1966-07-01,1084966000000.00
1966-10-01,1109880000000.00
1967-01-01,1122258000000.00
1967-04-01,1137718000000.00
1967-07-01,1160808000000.00
1967-10-01,1193305000000.00
1968-01-01,1217180000000.00
1968-04-01,1243145000000.00
1968-07-01,1268364000000.00
1968-10-01,1308179000000.00
1969-01-01,1339082000000.00
1969-04-01,1371959000000.00
1969-07-01,1406174000000.00
1969-10-01,1445940000000.00
1970-01-01,1472983000000.00
1970-04-01,1514424000000.00
1970-07-01,1533429000000.00
1970-10-01,1566503000000.00
1971-01-01,1601534000000.00
1971-04-01,1637623000000.00
1971-07-01,1674893000000.00
1971-10-01,1713766000000.00
1972-01-01,1758188000000.00
1972-04-01,1793657000000.00
1972-07-01,1832564000000.00
1972-10-01,1897040000000.00
1973-01-01,1951196000000.00
1973-04-01,2017967000000.00
1973-07-01,2086449000000.00
1973-10-01,2168207000000.00
1974-01-01,2241104000000.00
1974-04-01,2340852000000.00
1974-07-01,2460120000000.00
1974-10-01,2559238000000.00
