Date,UDXDTI
1992-01-01,209206000000.00
1992-02-01,211190000000.00
1992-03-01,210819000000.00
1992-04-01,212072000000.00
1992-05-01,212542000000.00
1992-06-01,210076000000.00
1992-07-01,211121000000.00
1992-08-01,213636000000.00
1992-09-01,211249000000.00
1992-10-01,210497000000.00
1992-11-01,210261000000.00
1992-12-01,204722000000.00
1993-01-01,206602000000.00
1993-02-01,209981000000.00
1993-03-01,210290000000.00
1993-04-01,212529000000.00
1993-05-01,213376000000.00
1993-06-01,211011000000.00
1993-07-01,212727000000.00
1993-08-01,214022000000.00
1993-09-01,211916000000.00
1993-10-01,212529000000.00
1993-11-01,212841000000.00
1993-12-01,207938000000.00
1994-01-01,213354000000.00
1994-02-01,216570000000.00
1994-03-01,215903000000.00
1994-04-01,217849000000.00
1994-05-01,221126000000.00
1994-06-01,219379000000.00
1994-07-01,223513000000.00
1994-08-01,226327000000.00
1994-09-01,224102000000.00
1994-10-01,225589000000.00
1994-11-01,227647000000.00
1994-12-01,223886000000.00
1995-01-01,230542000000.00
1995-02-01,234951000000.00
1995-03-01,235089000000.00
1995-04-01,238946000000.00
1995-05-01,242252000000.00
1995-06-01,239384000000.00
1995-07-01,243354000000.00
1995-08-01,245497000000.00
1995-09-01,243034000000.00
1995-10-01,245393000000.00
1995-11-01,246184000000.00
1995-12-01,239963000000.00
1996-01-01,248115000000.00
1996-02-01,251381000000.00
1996-03-01,248778000000.00
1996-04-01,250591000000.00
1996-05-01,251918000000.00
1996-06-01,247490000000.00
1996-07-01,250950000000.00
1996-08-01,253144000000.00
1996-09-01,250413000000.00
1996-10-01,251886000000.00
1996-11-01,253160000000.00
1996-12-01,245766000000.00
1997-01-01,251603000000.00
1997-02-01,256088000000.00
1997-03-01,253698000000.00
1997-04-01,257379000000.00
1997-05-01,260030000000.00
1997-06-01,256368000000.00
1997-07-01,261023000000.00
1997-08-01,263526000000.00
1997-09-01,259137000000.00
1997-10-01,261943000000.00
1997-11-01,262740000000.00
1997-12-01,255121000000.00
1998-01-01,261941000000.00
1998-02-01,267138000000.00
1998-03-01,264667000000.00
1998-04-01,268403000000.00
1998-05-01,270479000000.00
1998-06-01,267017000000.00
1998-07-01,269832000000.00
1998-08-01,272239000000.00
1998-09-01,268829000000.00
1998-10-01,271194000000.00
1998-11-01,271818000000.00
1998-12-01,260857000000.00
1999-01-01,265596000000.00
1999-02-01,269158000000.00
1999-03-01,267352000000.00
1999-04-01,268822000000.00
1999-05-01,270169000000.00
1999-06-01,265458000000.00
1999-07-01,270009000000.00
1999-08-01,270665000000.00
1999-09-01,267600000000.00
1999-10-01,270086000000.00
1999-11-01,272994000000.00
1999-12-01,264761000000.00
2000-01-01,269911000000.00
2000-02-01,275484000000.00
2000-03-01,273081000000.00
2000-04-01,277373000000.00
2000-05-01,278349000000.00
2000-06-01,275154000000.00
2000-07-01,281010000000.00
2000-08-01,284032000000.00
2000-09-01,279069000000.00
2000-10-01,283629000000.00
2000-11-01,286145000000.00
2000-12-01,277628000000.00
2001-01-01,285077000000.00
2001-02-01,287474000000.00
2001-03-01,279989000000.00
2001-04-01,280922000000.00
2001-05-01,279444000000.00
2001-06-01,272030000000.00
2001-07-01,271841000000.00
2001-08-01,269838000000.00
2001-09-01,261899000000.00
2001-10-01,261040000000.00
2001-11-01,256995000000.00
2001-12-01,243510000000.00
2002-01-01,247783000000.00
2002-02-01,249122000000.00
2002-03-01,243343000000.00
2002-04-01,244727000000.00
2002-05-01,244645000000.00
2002-06-01,240693000000.00
2002-07-01,243722000000.00
2002-08-01,243913000000.00
2002-09-01,240595000000.00
2002-10-01,242289000000.00
2002-11-01,241885000000.00
2002-12-01,236150000000.00
2003-01-01,240891000000.00
2003-02-01,245413000000.00
2003-03-01,240156000000.00
2003-04-01,240959000000.00
2003-05-01,240984000000.00
2003-06-01,233595000000.00
2003-07-01,234392000000.00
2003-08-01,233283000000.00
2003-09-01,228151000000.00
2003-10-01,229862000000.00
2003-11-01,228188000000.00
2003-12-01,221164000000.00
2004-01-01,226793000000.00
2004-02-01,230145000000.00
2004-03-01,228223000000.00
2004-04-01,231209000000.00
2004-05-01,233285000000.00
2004-06-01,231757000000.00
2004-07-01,237035000000.00
2004-08-01,239576000000.00
2004-09-01,236971000000.00
2004-10-01,240509000000.00
2004-11-01,242975000000.00
2004-12-01,235472000000.00
2005-01-01,245991000000.00
2005-02-01,252331000000.00
2005-03-01,251729000000.00
2005-04-01,254753000000.00
2005-05-01,256957000000.00
2005-06-01,252720000000.00
2005-07-01,258560000000.00
2005-08-01,259532000000.00
2005-09-01,256542000000.00
2005-10-01,260216000000.00
2005-11-01,262744000000.00
2005-12-01,255712000000.00
2006-01-01,265758000000.00
2006-02-01,269298000000.00
2006-03-01,268534000000.00
2006-04-01,274676000000.00
2006-05-01,278002000000.00
2006-06-01,276832000000.00
2006-07-01,284843000000.00
2006-08-01,287581000000.00
2006-09-01,287574000000.00
2006-10-01,293096000000.00
2006-11-01,294578000000.00
2006-12-01,287692000000.00
2007-01-01,298230000000.00
2007-02-01,302942000000.00
2007-03-01,299850000000.00
2007-04-01,303523000000.00
2007-05-01,305561000000.00
2007-06-01,301228000000.00
2007-07-01,305237000000.00
2007-08-01,306136000000.00
2007-09-01,304085000000.00
2007-10-01,307565000000.00
2007-11-01,309501000000.00
2007-12-01,302779000000.00
2008-01-01,311494000000.00
2008-02-01,314237000000.00
2008-03-01,312261000000.00
2008-04-01,314915000000.00
2008-05-01,315901000000.00
2008-06-01,311257000000.00
2008-07-01,316749000000.00
2008-08-01,318356000000.00
2008-09-01,313452000000.00
2008-10-01,314421000000.00
2008-11-01,312996000000.00
2008-12-01,300772000000.00
2009-01-01,305588000000.00
2009-02-01,304337000000.00
2009-03-01,293623000000.00
2009-04-01,291865000000.00
2009-05-01,288339000000.00
2009-06-01,278028000000.00
2009-07-01,278280000000.00
2009-08-01,274853000000.00
2009-09-01,269532000000.00
2009-10-01,270790000000.00
2009-11-01,271694000000.00
2009-12-01,262823000000.00
2010-01-01,270044000000.00
2010-02-01,274335000000.00
2010-03-01,272254000000.00
2010-04-01,277458000000.00
2010-05-01,281230000000.00
2010-06-01,280799000000.00
2010-07-01,285703000000.00
2010-08-01,288128000000.00
2010-09-01,287064000000.00
2010-10-01,291234000000.00
2010-11-01,294305000000.00
2010-12-01,287279000000.00
2011-01-01,298484000000.00
2011-02-01,304937000000.00
2011-03-01,305932000000.00
2011-04-01,312950000000.00
2011-05-01,318630000000.00
2011-06-01,315876000000.00
2011-07-01,322891000000.00
2011-08-01,326014000000.00
2011-09-01,321309000000.00
2011-10-01,324760000000.00
2011-11-01,326738000000.00
2011-12-01,317557000000.00
2012-01-01,328057000000.00
2012-02-01,332258000000.00
2012-03-01,331362000000.00
2012-04-01,335681000000.00
2012-05-01,338945000000.00
2012-06-01,334602000000.00
2012-07-01,340865000000.00
2012-08-01,343221000000.00
2012-09-01,339471000000.00
2012-10-01,342942000000.00
2012-11-01,342874000000.00
2012-12-01,332220000000.00
2013-01-01,341714000000.00
2013-02-01,344780000000.00
2013-03-01,340002000000.00
2013-04-01,344080000000.00
2013-05-01,344015000000.00
2013-06-01,338494000000.00
2013-07-01,343671000000.00
2013-08-01,345240000000.00
2013-09-01,342179000000.00
2013-10-01,344822000000.00
2013-11-01,345112000000.00
2013-12-01,336129000000.00
2014-01-01,346976000000.00
2014-02-01,352873000000.00
2014-03-01,350160000000.00
2014-04-01,354570000000.00
2014-05-01,359172000000.00
2014-06-01,354136000000.00
2014-07-01,361196000000.00
2014-08-01,363280000000.00
2014-09-01,360454000000.00
2014-10-01,361829000000.00
2014-11-01,363292000000.00
2014-12-01,353444000000.00
2015-01-01,365895000000.00
2015-02-01,369854000000.00
2015-03-01,366550000000.00
2015-04-01,369405000000.00
2015-05-01,369538000000.00
2015-06-01,365403000000.00
2015-07-01,370322000000.00
2015-08-01,369454000000.00
2015-09-01,363557000000.00
2015-10-01,365021000000.00
2015-11-01,364238000000.00
2015-12-01,355455000000.00
2016-01-01,362182000000.00
2016-02-01,364070000000.00
2016-03-01,359385000000.00
2016-04-01,360453000000.00
2016-05-01,359703000000.00
2016-06-01,352597000000.00
2016-07-01,357830000000.00
2016-08-01,359000000000.00
2016-09-01,353734000000.00
2016-10-01,354107000000.00
2016-11-01,354862000000.00
2016-12-01,344216000000.00
2017-01-01,353684000000.00
2017-02-01,357660000000.00
2017-03-01,355199000000.00
2017-04-01,358553000000.00
2017-05-01,360418000000.00
2017-06-01,356241000000.00
2017-07-01,363008000000.00
2017-08-01,365017000000.00
2017-09-01,364630000000.00
2017-10-01,366747000000.00
2017-11-01,367554000000.00
2017-12-01,359417000000.00
2018-01-01,370700000000.00
2018-02-01,376454000000.00
2018-03-01,372952000000.00
2018-04-01,377430000000.00
2018-05-01,379400000000.00
