Date,U35SNO
2011-01-01,8895000000.00
2011-02-01,9510000000.00
2011-03-01,10753000000.00
2011-04-01,9108000000.00
2011-05-01,10018000000.00
2011-06-01,10749000000.00
2011-07-01,9253000000.00
2011-08-01,10679000000.00
2011-09-01,10954000000.00
2011-10-01,10174000000.00
2011-11-01,9845000000.00
2011-12-01,9957000000.00
2012-01-01,9952000000.00
2012-02-01,10204000000.00
2012-03-01,11327000000.00
2012-04-01,10101000000.00
2012-05-01,11295000000.00
2012-06-01,10976000000.00
2012-07-01,9547000000.00
2012-08-01,10744000000.00
2012-09-01,10199000000.00
2012-10-01,10646000000.00
2012-11-01,10543000000.00
2012-12-01,9580000000.00
2013-01-01,9507000000.00
2013-02-01,9785000000.00
2013-03-01,10606000000.00
2013-04-01,9755000000.00
2013-05-01,11230000000.00
2013-06-01,11011000000.00
2013-07-01,9275000000.00
2013-08-01,10376000000.00
2013-09-01,10747000000.00
2013-10-01,10562000000.00
2013-11-01,9055000000.00
2013-12-01,9837000000.00
2014-01-01,9802000000.00
2014-02-01,9629000000.00
2014-03-01,11145000000.00
2014-04-01,10389000000.00
2014-05-01,10618000000.00
2014-06-01,11895000000.00
2014-07-01,10040000000.00
2014-08-01,10885000000.00
2014-09-01,11731000000.00
2014-10-01,11177000000.00
2014-11-01,10143000000.00
2014-12-01,10859000000.00
2015-01-01,9636000000.00
2015-02-01,9965000000.00
2015-03-01,11248000000.00
2015-04-01,10358000000.00
2015-05-01,10066000000.00
2015-06-01,11359000000.00
2015-07-01,9854000000.00
2015-08-01,10541000000.00
2015-09-01,10898000000.00
2015-10-01,10274000000.00
2015-11-01,9878000000.00
2015-12-01,10409000000.00
2016-01-01,9614000000.00
2016-02-01,9990000000.00
2016-03-01,10729000000.00
2016-04-01,9683000000.00
2016-05-01,10085000000.00
2016-06-01,11044000000.00
2016-07-01,9588000000.00
2016-08-01,10851000000.00
2016-09-01,11132000000.00
2016-10-01,10579000000.00
2016-11-01,10298000000.00
2016-12-01,10772000000.00
2017-01-01,9896000000.00
2017-02-01,10166000000.00
2017-03-01,11666000000.00
2017-04-01,10088000000.00
2017-05-01,10910000000.00
2017-06-01,11481000000.00
2017-07-01,9520000000.00
2017-08-01,11157000000.00
2017-09-01,11284000000.00
2017-10-01,11250000000.00
2017-11-01,10650000000.00
2017-12-01,10633000000.00
2018-01-01,10059000000.00
2018-02-01,10429000000.00
2018-03-01,12023000000.00
2018-04-01,11282000000.00
2018-05-01,11586000000.00
