Date,RTWVDPA684NMFRBDAL
1988-01-01,100.00
1988-02-01,100.01
1988-03-01,98.44
1988-04-01,97.51
1988-05-01,97.56
1988-06-01,98.31
1988-07-01,99.80
1988-08-01,100.65
1988-09-01,100.94
1988-10-01,98.85
1988-11-01,96.89
1988-12-01,96.07
1989-01-01,97.39
1989-02-01,97.60
1989-03-01,99.33
1989-04-01,99.13
1989-05-01,101.00
1989-06-01,102.46
1989-07-01,100.40
1989-08-01,100.93
1989-09-01,101.63
1989-10-01,100.22
1989-11-01,100.02
1989-12-01,98.76
1990-01-01,98.64
1990-02-01,99.03
1990-03-01,99.68
1990-04-01,98.83
1990-05-01,98.20
1990-06-01,98.55
1990-07-01,97.29
1990-08-01,96.07
1990-09-01,96.36
1990-10-01,95.19
1990-11-01,94.81
1990-12-01,95.16
1991-01-01,94.42
1991-02-01,93.81
1991-03-01,96.42
1991-04-01,97.32
1991-05-01,97.50
1991-06-01,98.45
1991-07-01,98.46
1991-08-01,97.57
1991-09-01,96.61
1991-10-01,95.94
1991-11-01,94.67
1991-12-01,94.22
1992-01-01,94.22
1992-02-01,95.54
1992-03-01,96.96
1992-04-01,96.35
1992-05-01,95.88
1992-06-01,95.04
1992-07-01,93.69
1992-08-01,93.11
1992-09-01,94.16
1992-10-01,96.37
1992-11-01,99.11
1992-12-01,99.03
1993-01-01,99.80
1993-02-01,99.83
1993-03-01,99.43
1993-04-01,98.43
1993-05-01,98.51
1993-06-01,99.36
1993-07-01,100.19
1993-08-01,100.68
1993-09-01,100.28
1993-10-01,100.99
1993-11-01,101.44
1993-12-01,101.63
1994-01-01,102.11
1994-02-01,102.60
1994-03-01,103.15
1994-04-01,103.53
1994-05-01,102.78
1994-06-01,102.20
1994-07-01,101.28
1994-08-01,100.95
1994-09-01,99.77
1994-10-01,99.15
1994-11-01,99.48
1994-12-01,101.41
1995-01-01,103.05
1995-02-01,102.37
1995-03-01,101.83
1995-04-01,99.03
1995-05-01,98.35
1995-06-01,98.72
1995-07-01,98.05
1995-08-01,99.38
1995-09-01,99.96
1995-10-01,99.87
1995-11-01,100.62
1995-12-01,101.11
1996-01-01,101.70
1996-02-01,101.74
1996-03-01,101.68
1996-04-01,101.61
1996-05-01,101.89
1996-06-01,101.88
1996-07-01,101.90
1996-08-01,101.56
1996-09-01,101.86
1996-10-01,101.88
1996-11-01,101.11
1996-12-01,102.00
1997-01-01,102.40
1997-02-01,103.72
1997-03-01,104.79
1997-04-01,105.46
1997-05-01,104.32
1997-06-01,104.26
1997-07-01,105.06
1997-08-01,106.67
1997-09-01,106.94
1997-10-01,107.32
1997-11-01,108.90
1997-12-01,112.03
1998-01-01,114.15
1998-02-01,112.82
1998-03-01,111.95
1998-04-01,112.03
1998-05-01,112.58
1998-06-01,114.53
1998-07-01,115.27
1998-08-01,117.52
1998-09-01,116.04
1998-10-01,114.39
1998-11-01,114.27
1998-12-01,113.79
1999-01-01,113.74
1999-02-01,114.61
1999-03-01,116.03
1999-04-01,115.17
1999-05-01,114.22
1999-06-01,115.08
1999-07-01,115.81
1999-08-01,115.12
1999-09-01,114.66
1999-10-01,114.29
1999-11-01,114.61
1999-12-01,114.61
2000-01-01,114.03
2000-02-01,115.36
2000-03-01,116.37
2000-04-01,117.13
2000-05-01,119.68
2000-06-01,118.36
2000-07-01,118.52
2000-08-01,119.27
2000-09-01,120.82
2000-10-01,122.69
2000-11-01,123.82
2000-12-01,121.89
2001-01-01,121.81
2001-02-01,123.06
2001-03-01,125.11
2001-04-01,125.57
2001-05-01,125.28
2001-06-01,125.89
2001-07-01,126.06
2001-08-01,124.43
2001-09-01,125.41
2001-10-01,125.92
2001-11-01,126.96
2001-12-01,126.06
2002-01-01,127.41
2002-02-01,127.84
2002-03-01,127.30
2002-04-01,126.76
2002-05-01,124.67
2002-06-01,123.01
2002-07-01,121.68
2002-08-01,123.26
2002-09-01,123.94
2002-10-01,124.56
2002-11-01,123.15
2002-12-01,121.99
2003-01-01,120.12
2003-02-01,119.76
2003-03-01,119.04
2003-04-01,117.89
2003-05-01,112.97
2003-06-01,111.91
2003-07-01,113.54
2003-08-01,114.96
2003-09-01,113.49
2003-10-01,110.61
2003-11-01,109.66
2003-12-01,107.98
2004-01-01,106.52
2004-02-01,107.73
2004-03-01,109.00
2004-04-01,109.95
2004-05-01,112.31
2004-06-01,111.27
2004-07-01,109.44
2004-08-01,109.30
2004-09-01,108.48
2004-10-01,106.56
2004-11-01,103.12
2004-12-01,102.21
2005-01-01,103.19
2005-02-01,103.74
2005-03-01,103.07
2005-04-01,104.61
2005-05-01,105.36
2005-06-01,105.99
2005-07-01,106.12
2005-08-01,104.78
2005-09-01,104.88
2005-10-01,106.11
2005-11-01,106.15
2005-12-01,104.66
2006-01-01,103.89
2006-02-01,103.99
2006-03-01,104.64
2006-04-01,104.11
2006-05-01,101.77
2006-06-01,103.08
2006-07-01,103.32
2006-08-01,102.32
2006-09-01,102.31
2006-10-01,102.47
2006-11-01,101.55
2006-12-01,101.11
2007-01-01,102.65
2007-02-01,102.36
2007-03-01,102.49
2007-04-01,100.77
2007-05-01,99.64
2007-06-01,98.93
2007-07-01,97.17
2007-08-01,97.57
2007-09-01,95.91
2007-10-01,93.08
2007-11-01,92.00
2007-12-01,93.28
2008-01-01,93.38
2008-02-01,92.31
2008-03-01,91.26
2008-04-01,91.12
2008-05-01,91.26
2008-06-01,92.12
2008-07-01,91.48
2008-08-01,94.03
2008-09-01,96.36
2008-10-01,104.58
2008-11-01,105.94
2008-12-01,104.57
2009-01-01,105.36
2009-02-01,107.80
2009-03-01,108.77
2009-04-01,105.64
2009-05-01,101.41
2009-06-01,100.12
2009-07-01,99.50
2009-08-01,97.57
2009-09-01,96.93
2009-10-01,95.25
2009-11-01,94.72
2009-12-01,94.86
2010-01-01,94.86
2010-02-01,96.12
2010-03-01,95.17
2010-04-01,94.29
2010-05-01,97.42
2010-06-01,97.92
2010-07-01,96.21
2010-08-01,95.38
2010-09-01,94.49
2010-10-01,91.77
2010-11-01,91.84
2010-12-01,92.35
2011-01-01,91.36
2011-02-01,90.59
2011-03-01,90.03
2011-04-01,88.54
2011-05-01,88.94
2011-06-01,89.07
2011-07-01,88.01
2011-08-01,88.90
2011-09-01,91.68
2011-10-01,92.58
2011-11-01,92.86
2011-12-01,93.53
2012-01-01,93.05
2012-02-01,91.17
2012-03-01,91.89
2012-04-01,92.12
2012-05-01,93.92
2012-06-01,95.53
2012-07-01,94.52
2012-08-01,93.54
2012-09-01,92.46
2012-10-01,92.37
2012-11-01,92.78
2012-12-01,91.77
2013-01-01,91.65
2013-02-01,92.44
2013-03-01,93.71
2013-04-01,93.14
2013-05-01,93.62
2013-06-01,94.71
2013-07-01,95.11
2013-08-01,94.91
2013-09-01,94.62
2013-10-01,93.60
2013-11-01,94.32
2013-12-01,94.58
2014-01-01,96.12
2014-02-01,96.29
2014-03-01,96.33
2014-04-01,95.49
2014-05-01,95.12
2014-06-01,95.19
2014-07-01,94.64
2014-08-01,95.67
2014-09-01,97.15
2014-10-01,98.50
2014-11-01,99.62
2014-12-01,101.37
2015-01-01,104.25
2015-02-01,106.02
2015-03-01,108.57
2015-04-01,107.60
2015-05-01,106.57
2015-06-01,107.74
2015-07-01,110.01
2015-08-01,111.72
2015-09-01,112.81
2015-10-01,111.61
2015-11-01,113.18
2015-12-01,114.43
2016-01-01,117.51
2016-02-01,115.68
2016-03-01,112.96
2016-04-01,110.82
2016-05-01,112.09
2016-06-01,112.58
2016-07-01,113.13
2016-08-01,112.20
2016-09-01,113.31
2016-10-01,114.65
2016-11-01,116.86
2016-12-01,118.09
2017-01-01,117.80
2017-02-01,116.16
2017-03-01,116.05
2017-04-01,115.27
2017-05-01,115.20
2017-06-01,113.60
2017-07-01,110.73
2017-08-01,109.65
2017-09-01,108.81
2017-10-01,110.86
2017-11-01,111.28
2017-12-01,110.79
2018-01-01,108.65
2018-02-01,108.22
2018-03-01,109.33
