Date,TLPSCON
2002-01-01,647000000.00
2002-02-01,652000000.00
2002-03-01,634000000.00
2002-04-01,652000000.00
2002-05-01,672000000.00
2002-06-01,704000000.00
2002-07-01,627000000.00
2002-08-01,661000000.00
2002-09-01,702000000.00
2002-10-01,632000000.00
2002-11-01,649000000.00
2002-12-01,595000000.00
2003-01-01,531000000.00
2003-02-01,514000000.00
2003-03-01,539000000.00
2003-04-01,564000000.00
2003-05-01,582000000.00
2003-06-01,596000000.00
2003-07-01,625000000.00
2003-08-01,644000000.00
2003-09-01,674000000.00
2003-10-01,680000000.00
2003-11-01,631000000.00
2003-12-01,581000000.00
2004-01-01,540000000.00
2004-02-01,499000000.00
2004-03-01,555000000.00
2004-04-01,588000000.00
2004-05-01,594000000.00
2004-06-01,591000000.00
2004-07-01,602000000.00
2004-08-01,649000000.00
2004-09-01,674000000.00
2004-10-01,566000000.00
2004-11-01,608000000.00
2004-12-01,554000000.00
2005-01-01,520000000.00
2005-02-01,504000000.00
2005-03-01,515000000.00
2005-04-01,543000000.00
2005-05-01,569000000.00
2005-06-01,654000000.00
2005-07-01,628000000.00
2005-08-01,664000000.00
2005-09-01,760000000.00
2005-10-01,684000000.00
2005-11-01,676000000.00
2005-12-01,596000000.00
2006-01-01,566000000.00
2006-02-01,566000000.00
2006-03-01,592000000.00
2006-04-01,629000000.00
2006-05-01,633000000.00
2006-06-01,647000000.00
2006-07-01,638000000.00
2006-08-01,640000000.00
2006-09-01,722000000.00
2006-10-01,719000000.00
2006-11-01,724000000.00
2006-12-01,692000000.00
2007-01-01,675000000.00
2007-02-01,635000000.00
2007-03-01,707000000.00
2007-04-01,759000000.00
2007-05-01,791000000.00
2007-06-01,851000000.00
2007-07-01,866000000.00
2007-08-01,903000000.00
2007-09-01,1065000000.00
2007-10-01,965000000.00
2007-11-01,1036000000.00
2007-12-01,950000000.00
2008-01-01,927000000.00
2008-02-01,905000000.00
2008-03-01,975000000.00
2008-04-01,992000000.00
2008-05-01,1043000000.00
2008-06-01,1045000000.00
2008-07-01,1101000000.00
2008-08-01,1109000000.00
2008-09-01,1252000000.00
2008-10-01,1180000000.00
2008-11-01,1276000000.00
2008-12-01,1280000000.00
2009-01-01,1080000000.00
2009-02-01,1081000000.00
2009-03-01,1114000000.00
2009-04-01,1170000000.00
2009-05-01,1203000000.00
2009-06-01,1266000000.00
2009-07-01,1207000000.00
2009-08-01,1139000000.00
2009-09-01,1280000000.00
2009-10-01,1088000000.00
2009-11-01,1098000000.00
2009-12-01,1063000000.00
2010-01-01,920000000.00
2010-02-01,897000000.00
2010-03-01,971000000.00
2010-04-01,997000000.00
2010-05-01,971000000.00
2010-06-01,982000000.00
2010-07-01,906000000.00
2010-08-01,927000000.00
2010-09-01,1046000000.00
2010-10-01,869000000.00
2010-11-01,875000000.00
2010-12-01,793000000.00
2011-01-01,746000000.00
2011-02-01,740000000.00
2011-03-01,797000000.00
2011-04-01,826000000.00
2011-05-01,854000000.00
2011-06-01,939000000.00
2011-07-01,861000000.00
2011-08-01,976000000.00
2011-09-01,1017000000.00
2011-10-01,853000000.00
2011-11-01,908000000.00
2011-12-01,892000000.00
2012-01-01,826000000.00
2012-02-01,830000000.00
2012-03-01,846000000.00
2012-04-01,859000000.00
2012-05-01,894000000.00
2012-06-01,896000000.00
2012-07-01,900000000.00
2012-08-01,930000000.00
2012-09-01,966000000.00
2012-10-01,851000000.00
2012-11-01,836000000.00
2012-12-01,798000000.00
2013-01-01,721000000.00
2013-02-01,721000000.00
2013-03-01,722000000.00
2013-04-01,800000000.00
2013-05-01,856000000.00
2013-06-01,818000000.00
2013-07-01,735000000.00
2013-08-01,801000000.00
2013-09-01,921000000.00
2013-10-01,813000000.00
2013-11-01,835000000.00
2013-12-01,764000000.00
2014-01-01,757000000.00
2014-02-01,674000000.00
2014-03-01,735000000.00
2014-04-01,765000000.00
2014-05-01,784000000.00
2014-06-01,803000000.00
2014-07-01,823000000.00
2014-08-01,802000000.00
2014-09-01,913000000.00
2014-10-01,851000000.00
2014-11-01,784000000.00
2014-12-01,747000000.00
2015-01-01,650000000.00
2015-02-01,622000000.00
2015-03-01,680000000.00
2015-04-01,689000000.00
2015-05-01,672000000.00
2015-06-01,744000000.00
2015-07-01,709000000.00
2015-08-01,737000000.00
2015-09-01,844000000.00
2015-10-01,766000000.00
2015-11-01,694000000.00
2015-12-01,677000000.00
2016-01-01,622000000.00
2016-02-01,607000000.00
2016-03-01,614000000.00
2016-04-01,637000000.00
2016-05-01,665000000.00
2016-06-01,695000000.00
2016-07-01,640000000.00
2016-08-01,669000000.00
2016-09-01,748000000.00
2016-10-01,695000000.00
2016-11-01,685000000.00
2016-12-01,708000000.00
2017-01-01,568000000.00
2017-02-01,585000000.00
2017-03-01,649000000.00
2017-04-01,642000000.00
2017-05-01,676000000.00
2017-06-01,669000000.00
2017-07-01,639000000.00
2017-08-01,729000000.00
2017-09-01,806000000.00
2017-10-01,754000000.00
2017-11-01,733000000.00
2017-12-01,761000000.00
2018-01-01,726000000.00
2018-02-01,706000000.00
2018-03-01,742000000.00
2018-04-01,752000000.00
