Date,U34EVS
1992-01-01,508000000.00
1992-02-01,535000000.00
1992-03-01,625000000.00
1992-04-01,543000000.00
1992-05-01,534000000.00
1992-06-01,610000000.00
1992-07-01,519000000.00
1992-08-01,543000000.00
1992-09-01,557000000.00
1992-10-01,504000000.00
1992-11-01,467000000.00
1992-12-01,615000000.00
1993-01-01,391000000.00
1993-02-01,465000000.00
1993-03-01,483000000.00
1993-04-01,423000000.00
1993-05-01,472000000.00
1993-06-01,484000000.00
1993-07-01,407000000.00
1993-08-01,483000000.00
1993-09-01,403000000.00
1993-10-01,401000000.00
1993-11-01,384000000.00
1993-12-01,475000000.00
1994-01-01,300000000.00
1994-02-01,353000000.00
1994-03-01,397000000.00
1994-04-01,313000000.00
1994-05-01,362000000.00
1994-06-01,388000000.00
1994-07-01,327000000.00
1994-08-01,329000000.00
1994-09-01,395000000.00
1994-10-01,329000000.00
1994-11-01,354000000.00
1994-12-01,425000000.00
1995-01-01,274000000.00
1995-02-01,264000000.00
1995-03-01,376000000.00
1995-04-01,327000000.00
1995-05-01,353000000.00
1995-06-01,379000000.00
1995-07-01,256000000.00
1995-08-01,309000000.00
1995-09-01,464000000.00
1995-10-01,286000000.00
1995-11-01,306000000.00
1995-12-01,474000000.00
1996-01-01,327000000.00
1996-02-01,299000000.00
1996-03-01,456000000.00
1996-04-01,293000000.00
1996-05-01,309000000.00
1996-06-01,389000000.00
1996-07-01,304000000.00
1996-08-01,300000000.00
1996-09-01,415000000.00
1996-10-01,301000000.00
1996-11-01,412000000.00
1996-12-01,539000000.00
1997-01-01,251000000.00
1997-02-01,355000000.00
1997-03-01,328000000.00
1997-04-01,278000000.00
1997-05-01,309000000.00
1997-06-01,512000000.00
1997-07-01,251000000.00
1997-08-01,367000000.00
1997-09-01,334000000.00
1997-10-01,239000000.00
1997-11-01,273000000.00
1997-12-01,298000000.00
1998-01-01,221000000.00
1998-02-01,253000000.00
1998-03-01,332000000.00
1998-04-01,243000000.00
1998-05-01,260000000.00
1998-06-01,266000000.00
1998-07-01,254000000.00
1998-08-01,233000000.00
1998-09-01,302000000.00
1998-10-01,236000000.00
1998-11-01,323000000.00
1998-12-01,272000000.00
1999-01-01,235000000.00
1999-02-01,226000000.00
1999-03-01,282000000.00
1999-04-01,239000000.00
1999-05-01,263000000.00
1999-06-01,247000000.00
1999-07-01,233000000.00
1999-08-01,241000000.00
1999-09-01,283000000.00
1999-10-01,223000000.00
1999-11-01,237000000.00
1999-12-01,269000000.00
2000-01-01,213000000.00
2000-02-01,234000000.00
2000-03-01,287000000.00
2000-04-01,270000000.00
2000-05-01,254000000.00
2000-06-01,281000000.00
2000-07-01,258000000.00
2000-08-01,275000000.00
2000-09-01,311000000.00
2000-10-01,296000000.00
2000-11-01,279000000.00
2000-12-01,309000000.00
2001-01-01,304000000.00
2001-02-01,325000000.00
2001-03-01,343000000.00
2001-04-01,329000000.00
2001-05-01,387000000.00
2001-06-01,346000000.00
2001-07-01,290000000.00
2001-08-01,370000000.00
2001-09-01,369000000.00
2001-10-01,306000000.00
2001-11-01,313000000.00
2001-12-01,364000000.00
2002-01-01,306000000.00
2002-02-01,315000000.00
2002-03-01,328000000.00
2002-04-01,285000000.00
2002-05-01,329000000.00
2002-06-01,310000000.00
2002-07-01,273000000.00
2002-08-01,289000000.00
2002-09-01,303000000.00
2002-10-01,289000000.00
2002-11-01,308000000.00
2002-12-01,293000000.00
2003-01-01,271000000.00
2003-02-01,287000000.00
2003-03-01,347000000.00
2003-04-01,331000000.00
2003-05-01,352000000.00
2003-06-01,319000000.00
2003-07-01,295000000.00
2003-08-01,335000000.00
2003-09-01,348000000.00
2003-10-01,331000000.00
2003-11-01,304000000.00
2003-12-01,338000000.00
2004-01-01,381000000.00
2004-02-01,341000000.00
2004-03-01,366000000.00
2004-04-01,326000000.00
2004-05-01,377000000.00
2004-06-01,378000000.00
2004-07-01,316000000.00
2004-08-01,354000000.00
2004-09-01,376000000.00
2004-10-01,472000000.00
2004-11-01,273000000.00
2004-12-01,516000000.00
2005-01-01,282000000.00
2005-02-01,437000000.00
2005-03-01,438000000.00
2005-04-01,344000000.00
2005-05-01,338000000.00
2005-06-01,339000000.00
2005-07-01,312000000.00
2005-08-01,365000000.00
2005-09-01,354000000.00
2005-10-01,362000000.00
2005-11-01,400000000.00
2005-12-01,493000000.00
2006-01-01,507000000.00
2006-02-01,302000000.00
2006-03-01,462000000.00
2006-04-01,624000000.00
2006-05-01,491000000.00
2006-06-01,537000000.00
2006-07-01,398000000.00
2006-08-01,541000000.00
2006-09-01,578000000.00
2006-10-01,515000000.00
2006-11-01,550000000.00
2006-12-01,570000000.00
2007-01-01,431000000.00
2007-02-01,482000000.00
2007-03-01,548000000.00
2007-04-01,488000000.00
2007-05-01,573000000.00
2007-06-01,455000000.00
2007-07-01,434000000.00
2007-08-01,505000000.00
2007-09-01,513000000.00
2007-10-01,408000000.00
2007-11-01,521000000.00
2007-12-01,461000000.00
2008-01-01,420000000.00
2008-02-01,519000000.00
2008-03-01,591000000.00
2008-04-01,491000000.00
2008-05-01,503000000.00
2008-06-01,486000000.00
2008-07-01,491000000.00
2008-08-01,481000000.00
2008-09-01,571000000.00
2008-10-01,542000000.00
2008-11-01,627000000.00
2008-12-01,464000000.00
2009-01-01,564000000.00
2009-02-01,555000000.00
2009-03-01,536000000.00
2009-04-01,527000000.00
2009-05-01,515000000.00
2009-06-01,566000000.00
2009-07-01,544000000.00
2009-08-01,573000000.00
2009-09-01,543000000.00
2009-10-01,558000000.00
2009-11-01,534000000.00
2009-12-01,427000000.00
2010-01-01,412000000.00
2010-02-01,453000000.00
2010-03-01,483000000.00
2010-04-01,570000000.00
2010-05-01,505000000.00
2010-06-01,476000000.00
2010-07-01,530000000.00
2010-08-01,470000000.00
2010-09-01,575000000.00
2010-10-01,498000000.00
2010-11-01,532000000.00
2010-12-01,521000000.00
2011-01-01,473000000.00
2011-02-01,506000000.00
2011-03-01,562000000.00
2011-04-01,533000000.00
2011-05-01,543000000.00
2011-06-01,594000000.00
2011-07-01,537000000.00
2011-08-01,563000000.00
