Date,CUUR0000SETA02
1952-12-01,28.40
1953-01-01,28.60
1953-02-01,28.20
1953-03-01,27.80
1953-04-01,27.70
1953-05-01,27.20
1953-06-01,26.80
1953-07-01,26.60
1953-08-01,26.40
1953-09-01,26.00
1953-10-01,25.70
1953-11-01,25.10
1953-12-01,24.70
1954-01-01,24.10
1954-02-01,23.10
1954-03-01,22.70
1954-04-01,22.50
1954-05-01,22.50
1954-06-01,22.80
1954-07-01,22.60
1954-08-01,22.80
1954-09-01,22.80
1954-10-01,22.70
1954-11-01,22.40
1954-12-01,21.90
1955-01-01,22.30
1955-02-01,22.00
1955-03-01,21.90
1955-04-01,20.90
1955-05-01,21.40
1955-06-01,21.70
1955-07-01,21.50
1955-08-01,21.50
1955-09-01,21.60
1955-10-01,21.30
1955-11-01,21.10
1955-12-01,20.50
1956-01-01,20.00
1956-02-01,20.10
1956-03-01,19.60
1956-04-01,19.70
1956-05-01,20.40
1956-06-01,20.10
1956-07-01,20.50
1956-08-01,21.10
1956-09-01,21.30
1956-10-01,21.80
1956-11-01,21.80
1956-12-01,21.80
1957-01-01,22.10
1957-02-01,21.80
1957-03-01,22.60
1957-04-01,22.80
1957-05-01,23.00
1957-06-01,23.20
1957-07-01,23.30
1957-08-01,23.70
1957-09-01,23.90
1957-10-01,24.00
1957-11-01,23.90
1957-12-01,23.50
1958-01-01,22.90
1958-02-01,22.80
1958-03-01,22.70
1958-04-01,22.90
1958-05-01,23.20
1958-06-01,23.40
1958-07-01,24.00
1958-08-01,24.50
1958-09-01,25.30
1958-10-01,25.40
1958-11-01,25.40
1958-12-01,25.60
1959-01-01,25.50
1959-02-01,25.50
1959-03-01,25.90
1959-04-01,26.30
1959-05-01,26.40
1959-06-01,26.80
1959-07-01,27.50
1959-08-01,27.80
1959-09-01,28.10
1959-10-01,27.50
1959-11-01,27.20
1959-12-01,27.20
1960-01-01,26.70
1960-02-01,27.10
1960-03-01,26.00
1960-04-01,25.20
1960-05-01,25.20
1960-06-01,25.30
1960-07-01,24.90
1960-08-01,25.00
1960-09-01,24.20
1960-10-01,24.00
1960-11-01,23.40
1960-12-01,23.70
1961-01-01,23.10
1961-02-01,24.00
1961-03-01,23.50
1961-04-01,25.10
1961-05-01,25.60
1961-06-01,26.40
1961-07-01,26.80
1961-08-01,27.50
1961-09-01,27.70
1961-10-01,27.80
1961-11-01,27.70
1961-12-01,27.00
1962-01-01,26.70
1962-02-01,26.50
1962-03-01,26.80
1962-04-01,27.90
1962-05-01,28.40
1962-06-01,28.90
1962-07-01,28.90
1962-08-01,29.30
1962-09-01,29.70
1962-10-01,29.40
1962-11-01,29.40
1962-12-01,28.70
1963-01-01,26.70
1963-02-01,27.30
1963-03-01,27.90
1963-04-01,28.40
1963-05-01,28.50
1963-06-01,29.00
1963-07-01,29.10
1963-08-01,29.30
1963-09-01,29.60
1963-10-01,29.60
1963-11-01,29.80
1963-12-01,29.60
1964-01-01,29.50
1964-02-01,29.30
1964-03-01,29.50
1964-04-01,29.80
1964-05-01,30.00
1964-06-01,30.20
1964-07-01,30.20
1964-08-01,30.10
1964-09-01,30.00
1964-10-01,30.00
1964-11-01,30.30
1964-12-01,30.50
1965-01-01,30.50
1965-02-01,30.00
1965-03-01,30.00
1965-04-01,29.70
1965-05-01,29.90
1965-06-01,30.20
1965-07-01,30.30
1965-08-01,29.60
1965-09-01,29.30
1965-10-01,29.40
1965-11-01,29.30
1965-12-01,29.10
1966-01-01,28.30
1966-02-01,28.10
1966-03-01,28.40
1966-04-01,28.90
1966-05-01,29.00
1966-06-01,29.10
1966-07-01,29.60
1966-08-01,30.10
1966-09-01,29.60
1966-10-01,29.80
1966-11-01,29.40
1966-12-01,28.10
1967-01-01,27.80
1967-02-01,28.10
1967-03-01,28.60
1967-04-01,29.30
1967-05-01,29.90
1967-06-01,30.20
1967-07-01,30.80
1967-08-01,30.80
1967-09-01,31.10
1967-10-01,31.10
1967-11-01,31.00
1967-12-01,30.80
1968-01-01,31.00
1968-02-01,30.50
1968-04-01,31.10
1968-05-01,31.20
1968-09-01,31.20
1968-12-01,29.30
1969-01-01,28.50
1969-02-01,30.20
1969-03-01,32.20
1969-04-01,32.30
1969-05-01,31.30
1969-06-01,31.60
1969-07-01,31.30
1969-08-01,30.90
1969-09-01,29.90
1969-10-01,31.00
1969-11-01,30.80
1969-12-01,30.50
1970-01-01,29.70
1970-02-01,29.00
1970-03-01,29.00
1970-04-01,29.90
1970-05-01,31.40
1970-06-01,32.50
1970-07-01,32.50
1970-08-01,31.80
1970-09-01,31.40
1970-10-01,32.10
1970-11-01,32.60
1970-12-01,32.80
1971-01-01,32.00
1971-02-01,31.60
1971-03-01,32.00
1971-04-01,32.90
1971-05-01,33.80
1971-06-01,34.20
1971-07-01,34.00
1971-08-01,33.70
1971-09-01,33.40
1971-10-01,33.40
1971-11-01,33.00
1971-12-01,32.10
1972-01-01,31.50
1972-02-01,30.80
1972-03-01,31.10
1972-04-01,31.90
1972-05-01,32.90
1972-06-01,33.50
1972-07-01,33.70
1972-08-01,33.70
1972-09-01,34.00
1972-10-01,34.50
1972-11-01,34.70
1972-12-01,34.40
1973-01-01,33.80
1973-02-01,33.70
1973-03-01,34.00
1973-04-01,35.10
1973-05-01,36.10
1973-06-01,36.60
1973-07-01,36.70
1973-08-01,36.30
1973-09-01,36.00
1973-10-01,35.50
1973-11-01,34.80
1973-12-01,33.70
1974-01-01,32.00
1974-02-01,30.80
1974-03-01,30.60
1974-04-01,32.00
1974-05-01,34.30
1974-06-01,36.60
1974-07-01,38.30
1974-08-01,39.50
1974-09-01,40.70
1974-10-01,41.70
1974-11-01,42.40
1974-12-01,41.40
1975-01-01,40.40
1975-02-01,40.00
1975-03-01,40.50
1975-04-01,41.40
1975-05-01,42.60
1975-06-01,44.20
1975-07-01,45.90
1975-08-01,46.70
1975-09-01,46.90
1975-10-01,46.90
1975-11-01,46.00
1975-12-01,44.80
1976-01-01,43.30
1976-02-01,43.40
1976-03-01,45.20
1976-04-01,47.70
1976-05-01,50.20
1976-06-01,51.90
1976-07-01,53.20
1976-08-01,53.80
1976-09-01,53.90
1976-10-01,53.90
1976-11-01,53.60
1976-12-01,53.30
1977-01-01,53.20
1977-02-01,53.60
1977-03-01,54.70
1977-04-01,56.20
1977-05-01,57.30
1977-06-01,57.60
1977-07-01,57.10
1977-08-01,55.80
1977-09-01,54.60
1977-10-01,53.30
1977-11-01,52.40
1977-12-01,51.10
1978-01-01,50.80
1978-02-01,50.90
1978-03-01,51.60
1978-04-01,53.10
1978-05-01,55.30
1978-06-01,57.30
1978-07-01,58.70
1978-08-01,58.90
1978-09-01,58.70
1978-10-01,58.50
1978-11-01,58.30
1978-12-01,58.10
1979-01-01,58.00
1979-02-01,57.90
1979-03-01,58.50
1979-04-01,59.90
1979-05-01,61.50
1979-06-01,62.60
1979-07-01,62.60
1979-08-01,62.00
1979-09-01,60.80
1979-10-01,59.90
1979-11-01,59.40
1979-12-01,59.40
1980-01-01,59.10
1980-02-01,58.50
1980-03-01,58.50
1980-04-01,58.90
1980-05-01,59.70
1980-06-01,60.10
1980-07-01,60.90
1980-08-01,61.80
1980-09-01,64.30
1980-10-01,66.70
1980-11-01,69.10
1980-12-01,70.20
1981-01-01,70.10
1981-02-01,70.20
1981-03-01,70.50
1981-04-01,71.60
1981-05-01,73.40
1981-06-01,75.70
1981-07-01,77.90
1981-08-01,79.90
1981-09-01,81.70
1981-10-01,83.30
1981-11-01,84.30
1981-12-01,84.40
1982-01-01,84.00
1982-02-01,83.80
1982-03-01,84.10
1982-04-01,85.40
1982-05-01,87.30
1982-06-01,89.30
1982-07-01,90.60
1982-08-01,91.20
1982-09-01,91.20
1982-10-01,91.80
1982-11-01,93.00
1982-12-01,93.60
1983-01-01,93.10
1983-02-01,92.60
1983-03-01,92.60
1983-04-01,93.60
1983-05-01,95.00
1983-06-01,96.60
1983-07-01,98.70
1983-08-01,100.90
1983-09-01,103.00
1983-10-01,104.90
1983-11-01,106.60
1983-12-01,107.10
1984-01-01,107.00
1984-02-01,107.00
1984-03-01,108.50
1984-04-01,110.80
1984-05-01,113.20
1984-06-01,114.40
1984-07-01,114.70
1984-08-01,114.90
1984-09-01,115.00
1984-10-01,115.20
1984-11-01,114.90
1984-12-01,114.60
1985-01-01,114.60
1985-02-01,115.20
1985-03-01,115.60
1985-04-01,115.70
1985-05-01,115.00
1985-06-01,113.90
1985-07-01,112.80
1985-08-01,112.00
1985-09-01,112.10
1985-10-01,112.40
1985-11-01,112.70
1985-12-01,112.50
1986-01-01,112.00
1986-02-01,111.00
1986-03-01,110.00
1986-04-01,109.20
1986-05-01,108.90
1986-06-01,108.60
1986-07-01,107.90
1986-08-01,107.20
1986-09-01,107.70
1986-10-01,108.00
1986-11-01,108.10
1986-12-01,106.80
1987-01-01,106.20
1987-02-01,106.90
1987-03-01,108.70
1987-04-01,111.30
1987-05-01,113.40
1987-06-01,114.70
1987-07-01,115.40
1987-08-01,115.50
1987-09-01,116.00
1987-10-01,116.20
1987-11-01,116.50
1987-12-01,116.30
1988-01-01,116.00
1988-02-01,116.00
1988-03-01,116.10
1988-04-01,116.60
1988-05-01,117.00
1988-06-01,117.60
1988-07-01,117.90
1988-08-01,119.20
1988-09-01,119.40
1988-10-01,119.90
1988-11-01,119.70
1988-12-01,120.20
1989-01-01,120.50
1989-02-01,120.50
1989-03-01,120.50
1989-04-01,120.70
1989-05-01,121.00
1989-06-01,121.30
1989-07-01,121.10
1989-08-01,120.30
1989-09-01,119.80
1989-10-01,119.70
1989-11-01,120.10
1989-12-01,119.70
1990-01-01,118.90
1990-02-01,117.40
1990-03-01,116.60
1990-04-01,116.20
1990-05-01,116.90
1990-06-01,117.60
1990-07-01,118.20
1990-08-01,118.30
1990-09-01,118.30
1990-10-01,118.10
1990-11-01,117.20
1990-12-01,117.10
1991-01-01,116.10
1991-02-01,115.10
1991-03-01,114.40
1991-04-01,115.00
1991-05-01,117.00
1991-06-01,118.80
1991-07-01,120.40
1991-08-01,120.00
1991-09-01,119.80
1991-10-01,120.20
1991-11-01,120.60
1991-12-01,120.10
1992-01-01,117.80
1992-02-01,116.10
1992-03-01,115.70
1992-04-01,117.90
1992-05-01,120.50
1992-06-01,123.10
1992-07-01,124.80
1992-08-01,126.40
1992-09-01,127.70
1992-10-01,129.10
1992-11-01,129.90
1992-12-01,129.00
1993-01-01,127.40
1993-02-01,126.00
1993-03-01,126.60
1993-04-01,128.70
1993-05-01,131.50
1993-06-01,134.30
1993-07-01,136.10
1993-08-01,137.50
1993-09-01,138.70
1993-10-01,139.80
1993-11-01,140.70
1993-12-01,139.30
1994-01-01,136.80
1994-02-01,134.10
1994-03-01,133.60
1994-04-01,135.30
1994-05-01,137.90
1994-06-01,140.90
1994-07-01,142.60
1994-08-01,144.00
1994-09-01,145.40
1994-10-01,147.70
1994-11-01,150.10
1994-12-01,151.50
1995-01-01,152.40
1995-02-01,153.30
1995-03-01,154.80
1995-04-01,156.70
1995-05-01,157.70
1995-06-01,158.30
1995-07-01,157.50
1995-08-01,157.00
1995-09-01,156.50
1995-10-01,157.20
1995-11-01,157.80
1995-12-01,158.20
1996-01-01,157.90
1996-02-01,157.50
1996-03-01,157.30
1996-04-01,157.40
1996-05-01,157.60
1996-06-01,157.20
1996-07-01,156.90
1996-08-01,156.60
1996-09-01,157.00
1996-10-01,157.00
1996-11-01,156.50
1996-12-01,155.60
1997-01-01,154.70
1997-02-01,154.40
1997-03-01,154.40
1997-04-01,154.30
1997-05-01,153.90
1997-06-01,151.80
1997-07-01,149.90
1997-08-01,148.50
1997-09-01,148.20
1997-10-01,147.90
1997-11-01,147.60
1997-12-01,147.90
1998-01-01,148.10
1998-02-01,148.40
1998-03-01,147.30
1998-04-01,148.20
1998-05-01,150.00
1998-06-01,150.90
1998-07-01,151.30
1998-08-01,151.10
1998-09-01,151.90
1998-10-01,153.00
1998-11-01,154.00
1998-12-01,153.10
1999-01-01,150.60
1999-02-01,148.30
1999-03-01,147.40
1999-04-01,148.30
1999-05-01,149.60
1999-06-01,150.90
1999-07-01,152.30
1999-08-01,153.80
1999-09-01,155.70
1999-10-01,156.40
1999-11-01,156.10
1999-12-01,155.00
2000-01-01,153.90
2000-02-01,153.00
2000-03-01,153.00
2000-04-01,154.00
2000-05-01,155.40
2000-06-01,155.70
2000-07-01,155.30
2000-08-01,155.20
2000-09-01,156.20
2000-10-01,157.90
2000-11-01,159.30
2000-12-01,160.20
2001-01-01,160.40
2001-02-01,160.40
2001-03-01,159.90
2001-04-01,159.70
2001-05-01,159.10
2001-06-01,158.90
2001-07-01,158.30
2001-08-01,158.00
2001-09-01,157.30
2001-10-01,157.80
2001-11-01,157.40
2001-12-01,157.20
2002-01-01,155.60
2002-02-01,153.90
2002-03-01,152.10
2002-04-01,151.80
2002-05-01,151.80
2002-06-01,152.20
2002-07-01,152.70
2002-08-01,153.40
2002-09-01,152.20
2002-10-01,150.70
2002-11-01,148.80
2002-12-01,148.50
2003-01-01,148.30
2003-02-01,148.40
2003-03-01,148.50
2003-04-01,148.40
2003-05-01,147.90
2003-06-01,147.40
2003-07-01,145.70
2003-08-01,143.30
2003-09-01,139.00
2003-10-01,135.10
2003-11-01,132.00
2003-12-01,131.00
2004-01-01,130.80
2004-02-01,131.00
2004-03-01,131.20
2004-04-01,131.30
2004-05-01,131.80
2004-06-01,130.60
2004-07-01,132.10
2004-08-01,133.80
2004-09-01,136.50
2004-10-01,136.80
2004-11-01,136.70
2004-12-01,137.30
2005-01-01,137.50
2005-02-01,137.60
2005-03-01,137.70
2005-04-01,138.10
2005-05-01,138.80
2005-06-01,139.90
2005-07-01,141.00
2005-08-01,142.00
2005-09-01,141.50
2005-10-01,140.60
2005-11-01,139.40
2005-12-01,139.20
2006-01-01,139.30
2006-02-01,139.50
2006-03-01,140.00
2006-04-01,140.40
2006-05-01,140.90
2006-06-01,141.50
2006-07-01,142.10
2006-08-01,142.40
2006-09-01,141.00
2006-10-01,139.30
2006-11-01,137.30
2006-12-01,136.20
2007-01-01,135.26
2007-02-01,134.60
2007-03-01,134.38
2007-04-01,134.36
2007-05-01,134.48
2007-06-01,135.07
2007-07-01,136.02
2007-08-01,137.14
2007-09-01,137.14
2007-10-01,136.95
2007-11-01,136.62
2007-12-01,136.94
2008-01-01,137.20
2008-02-01,137.25
2008-03-01,137.23
2008-04-01,136.79
2008-05-01,136.33
2008-06-01,135.98
2008-07-01,135.84
2008-08-01,135.41
2008-09-01,132.92
2008-10-01,129.73
2008-11-01,126.87
2008-12-01,125.88
2009-01-01,124.86
2009-02-01,122.84
2009-03-01,121.06
2009-04-01,121.21
2009-05-01,122.65
2009-06-01,124.32
2009-07-01,125.06
2009-08-01,128.03
2009-09-01,129.37
2009-10-01,132.69
2009-11-01,134.17
2009-12-01,137.41
2010-01-01,139.17
2010-02-01,140.22
2010-03-01,140.80
2010-04-01,141.32
2010-05-01,142.54
2010-06-01,144.40
2010-07-01,146.38
2010-08-01,147.91
2010-09-01,146.07
2010-10-01,144.04
2010-11-01,142.25
2010-12-01,142.45
2011-01-01,142.56
2011-02-01,142.94
2011-03-01,144.07
2011-04-01,145.97
2011-05-01,148.36
2011-06-01,151.78
2011-07-01,154.18
2011-08-01,155.82
2011-09-01,153.59
2011-10-01,151.49
2011-11-01,149.23
2011-12-01,148.14
2012-01-01,147.14
2012-02-01,147.01
2012-03-01,148.68
2012-04-01,151.09
2012-05-01,153.57
2012-06-01,155.31
2012-07-01,155.82
2012-08-01,154.85
2012-09-01,151.12
2012-10-01,148.29
2012-11-01,145.86
2012-12-01,145.23
2013-01-01,145.26
2013-02-01,146.72
2013-03-01,148.75
2013-04-01,150.16
2013-05-01,151.10
2013-06-01,151.76
2013-07-01,152.55
2013-08-01,153.25
2013-09-01,151.75
2013-10-01,150.41
2013-11-01,148.74
2013-12-01,148.18
2014-01-01,147.39
2014-02-01,147.62
2014-03-01,148.92
2014-04-01,150.50
2014-05-01,151.44
2014-06-01,151.98
2014-07-01,152.86
2014-08-01,153.28
2014-09-01,151.15
2014-10-01,147.89
2014-11-01,144.15
2014-12-01,141.96
2015-01-01,141.46
2015-02-01,143.39
2015-03-01,147.02
2015-04-01,149.79
2015-05-01,150.71
2015-06-01,150.97
2015-07-01,151.12
2015-08-01,150.91
2015-09-01,148.52
2015-10-01,145.82
2015-11-01,143.25
2015-12-01,142.47
2016-01-01,142.67
2016-02-01,144.02
2016-03-01,146.18
2016-04-01,147.49
2016-05-01,147.22
2016-06-01,146.30
2016-07-01,145.46
2016-08-01,144.86
2016-09-01,142.48
2016-10-01,139.91
2016-11-01,137.79
2016-12-01,137.48
2017-01-01,137.40
2017-02-01,137.90
2017-03-01,139.37
2017-04-01,140.65
2017-05-01,140.88
2017-06-01,140.02
2017-07-01,139.52
2017-08-01,139.35
2017-09-01,137.14
2017-10-01,135.87
2017-11-01,134.90
2017-12-01,136.12
2018-01-01,136.56
2018-02-01,137.77
2018-03-01,139.89
2018-04-01,139.37
2018-05-01,138.51
