Date,CAPUTLGMFOS
1972-01-01,85.76
1972-02-01,86.44
1972-03-01,86.70
1972-04-01,85.71
1972-05-01,84.60
1972-06-01,85.34
1972-07-01,84.96
1972-08-01,84.90
1972-09-01,86.58
1972-10-01,86.27
1972-11-01,86.00
1972-12-01,84.01
1973-01-01,84.66
1973-02-01,86.18
1973-03-01,85.96
1973-04-01,85.50
1973-05-01,85.25
1973-06-01,84.81
1973-07-01,84.32
1973-08-01,84.33
1973-09-01,83.34
1973-10-01,83.37
1973-11-01,84.09
1973-12-01,84.74
1974-01-01,84.91
1974-02-01,85.14
1974-03-01,83.56
1974-04-01,82.61
1974-05-01,84.67
1974-06-01,83.85
1974-07-01,83.56
1974-08-01,83.73
1974-09-01,80.78
1974-10-01,80.58
1974-11-01,80.23
1974-12-01,78.66
1975-01-01,78.68
1975-02-01,77.41
1975-03-01,77.05
1975-04-01,76.32
1975-05-01,77.58
1975-06-01,78.08
1975-07-01,77.82
1975-08-01,77.74
1975-09-01,76.97
1975-10-01,76.98
1975-11-01,75.61
1975-12-01,77.01
1976-01-01,76.67
1976-02-01,75.42
1976-03-01,75.16
1976-04-01,76.25
1976-05-01,76.96
1976-06-01,76.52
1976-07-01,77.62
1976-08-01,78.25
1976-09-01,78.87
1976-10-01,79.59
1976-11-01,79.80
1976-12-01,80.04
1977-01-01,79.03
1977-02-01,80.22
1977-03-01,81.10
1977-04-01,83.12
1977-05-01,83.57
1977-06-01,84.07
1977-07-01,83.66
1977-08-01,83.91
1977-09-01,85.32
1977-10-01,84.99
1977-11-01,84.53
1977-12-01,84.68
1978-01-01,84.18
1978-02-01,85.28
1978-03-01,86.80
1978-04-01,86.93
1978-05-01,86.14
1978-06-01,86.02
1978-07-01,85.71
1978-08-01,84.48
1978-09-01,82.93
1978-10-01,83.37
1978-11-01,83.81
1978-12-01,84.61
1979-01-01,84.10
1979-02-01,85.09
1979-03-01,85.54
1979-04-01,84.16
1979-05-01,85.00
1979-06-01,85.03
1979-07-01,85.86
1979-08-01,86.54
1979-09-01,86.17
1979-10-01,85.82
1979-11-01,87.29
1979-12-01,86.43
1980-01-01,86.39
1980-02-01,87.18
1980-03-01,85.92
1980-04-01,84.98
1980-05-01,86.34
1980-06-01,86.31
1980-07-01,87.88
1980-08-01,87.62
1980-09-01,87.01
1980-10-01,86.24
1980-11-01,87.05
1980-12-01,87.79
1981-01-01,86.94
1981-02-01,86.05
1981-03-01,86.09
1981-04-01,86.44
1981-05-01,87.77
1981-06-01,87.54
1981-07-01,87.32
1981-08-01,87.90
1981-09-01,88.20
1981-10-01,87.97
1981-11-01,88.61
1981-12-01,88.94
1982-01-01,86.88
1982-02-01,88.78
1982-03-01,88.57
1982-04-01,86.79
1982-05-01,87.11
1982-06-01,86.75
1982-07-01,86.66
1982-08-01,87.25
1982-09-01,87.36
1982-10-01,87.02
1982-11-01,87.55
1982-12-01,87.69
1983-01-01,88.84
1983-02-01,87.90
1983-03-01,87.59
1983-04-01,88.15
1983-05-01,87.93
1983-06-01,87.63
1983-07-01,86.99
1983-08-01,87.87
1983-09-01,87.74
1983-10-01,88.58
1983-11-01,88.46
1983-12-01,87.27
1984-01-01,88.00
1984-02-01,88.85
1984-03-01,89.09
1984-04-01,89.21
1984-05-01,89.05
1984-06-01,89.23
1984-07-01,89.21
1984-08-01,89.88
1984-09-01,89.88
1984-10-01,90.34
1984-11-01,90.28
1984-12-01,90.01
1985-01-01,90.65
1985-02-01,91.35
1985-03-01,92.21
1985-04-01,91.42
1985-05-01,91.17
1985-06-01,91.22
1985-07-01,90.64
1985-08-01,90.68
1985-09-01,89.78
1985-10-01,88.49
1985-11-01,88.17
1985-12-01,88.21
1986-01-01,88.58
1986-02-01,87.03
1986-03-01,86.67
1986-04-01,90.14
1986-05-01,90.58
1986-06-01,89.48
1986-07-01,89.34
1986-08-01,88.76
1986-09-01,88.47
1986-10-01,88.61
1986-11-01,88.65
1986-12-01,88.64
1987-01-01,88.29
1987-02-01,89.44
1987-03-01,89.84
1987-04-01,89.84
1987-05-01,90.06
1987-06-01,90.57
1987-07-01,91.03
1987-08-01,91.49
1987-09-01,91.16
1987-10-01,90.55
1987-11-01,91.71
1987-12-01,90.88
1988-01-01,91.16
1988-02-01,90.65
1988-03-01,89.77
1988-04-01,89.66
1988-05-01,88.87
1988-06-01,88.19
1988-07-01,87.36
1988-08-01,87.03
1988-09-01,87.23
1988-10-01,88.01
1988-11-01,87.33
1988-12-01,87.71
1989-01-01,87.11
1989-02-01,87.04
1989-03-01,87.30
1989-04-01,86.71
1989-05-01,86.61
1989-06-01,85.71
1989-07-01,85.15
1989-08-01,84.41
1989-09-01,83.64
1989-10-01,83.75
1989-11-01,84.06
1989-12-01,83.63
1990-01-01,84.11
1990-02-01,84.59
1990-03-01,84.30
1990-04-01,83.94
1990-05-01,84.04
1990-06-01,83.88
1990-07-01,84.12
1990-08-01,84.28
1990-09-01,83.54
1990-10-01,83.08
1990-11-01,82.39
1990-12-01,82.44
1991-01-01,81.76
1991-02-01,81.70
1991-03-01,80.18
1991-04-01,80.31
1991-05-01,80.48
1991-06-01,80.42
1991-07-01,80.08
1991-08-01,80.93
1991-09-01,80.99
1991-10-01,81.10
1991-11-01,80.79
1991-12-01,80.38
1992-01-01,79.72
1992-02-01,79.25
1992-03-01,79.75
1992-04-01,79.93
1992-05-01,80.39
1992-06-01,80.50
1992-07-01,80.95
1992-08-01,80.29
1992-09-01,79.83
1992-10-01,79.87
1992-11-01,79.90
1992-12-01,80.13
1993-01-01,81.24
1993-02-01,81.75
1993-03-01,81.70
1993-04-01,81.72
1993-05-01,81.43
1993-06-01,81.87
1993-07-01,81.50
1993-08-01,80.41
1993-09-01,80.55
1993-10-01,80.61
1993-11-01,81.12
1993-12-01,80.91
1994-01-01,80.97
1994-02-01,80.70
1994-03-01,81.32
1994-04-01,81.66
1994-05-01,81.21
1994-06-01,80.63
1994-07-01,79.93
1994-08-01,81.24
1994-09-01,82.11
1994-10-01,81.72
1994-11-01,82.11
1994-12-01,82.50
1995-01-01,82.62
1995-02-01,83.00
1995-03-01,83.21
1995-04-01,82.15
1995-05-01,82.62
1995-06-01,82.98
1995-07-01,82.27
1995-08-01,82.04
1995-09-01,82.38
1995-10-01,81.53
1995-11-01,81.24
1995-12-01,80.17
1996-01-01,79.33
1996-02-01,80.09
1996-03-01,80.14
1996-04-01,80.43
1996-05-01,80.73
1996-06-01,80.37
1996-07-01,79.97
1996-08-01,80.69
1996-09-01,80.64
1996-10-01,80.77
1996-11-01,81.43
1996-12-01,82.41
1997-01-01,82.83
1997-02-01,83.93
1997-03-01,83.93
1997-04-01,84.28
1997-05-01,84.66
1997-06-01,85.54
1997-07-01,86.18
1997-08-01,86.33
1997-09-01,87.03
1997-10-01,87.86
1997-11-01,87.45
1997-12-01,86.72
1998-01-01,86.03
1998-02-01,86.49
1998-03-01,86.77
1998-04-01,87.01
1998-05-01,87.04
1998-06-01,86.62
1998-07-01,87.39
1998-08-01,87.41
1998-09-01,86.05
1998-10-01,86.67
1998-11-01,87.07
1998-12-01,86.56
1999-01-01,86.36
1999-02-01,86.04
1999-03-01,86.22
1999-04-01,86.00
1999-05-01,86.47
1999-06-01,85.68
1999-07-01,85.28
1999-08-01,87.48
1999-09-01,87.91
1999-10-01,88.43
1999-11-01,89.10
1999-12-01,89.37
2000-01-01,88.88
2000-02-01,87.98
2000-03-01,88.24
2000-04-01,88.51
2000-05-01,87.42
2000-06-01,87.80
2000-07-01,87.90
2000-08-01,86.80
2000-09-01,86.91
2000-10-01,85.66
2000-11-01,85.35
2000-12-01,84.73
2001-01-01,84.24
2001-02-01,82.22
2001-03-01,81.57
2001-04-01,82.11
2001-05-01,82.62
2001-06-01,82.65
2001-07-01,83.63
2001-08-01,82.77
2001-09-01,82.81
2001-10-01,82.51
2001-11-01,81.89
2001-12-01,82.47
2002-01-01,82.32
2002-02-01,81.75
2002-03-01,81.20
2002-04-01,80.83
2002-05-01,80.78
2002-06-01,80.97
2002-07-01,81.18
2002-08-01,81.47
2002-09-01,81.33
2002-10-01,81.20
2002-11-01,81.27
2002-12-01,82.50
2003-01-01,82.48
2003-02-01,82.66
2003-03-01,82.62
2003-04-01,81.52
2003-05-01,81.72
2003-06-01,82.17
2003-07-01,81.63
2003-08-01,80.40
2003-09-01,80.47
2003-10-01,81.14
2003-11-01,81.06
2003-12-01,81.11
2004-01-01,81.00
2004-02-01,81.89
2004-03-01,81.84
2004-04-01,82.28
2004-05-01,82.67
2004-06-01,83.14
2004-07-01,83.91
2004-08-01,84.32
2004-09-01,83.13
2004-10-01,81.89
2004-11-01,81.91
2004-12-01,81.79
2005-01-01,82.31
2005-02-01,81.83
2005-03-01,81.57
2005-04-01,81.94
2005-05-01,82.67
2005-06-01,81.82
2005-07-01,81.64
2005-08-01,81.78
2005-09-01,81.76
2005-10-01,81.86
2005-11-01,81.57
2005-12-01,81.47
2006-01-01,81.87
2006-02-01,81.87
2006-03-01,82.43
2006-04-01,82.55
2006-05-01,81.60
2006-06-01,80.66
2006-07-01,79.38
2006-08-01,78.30
2006-09-01,77.77
2006-10-01,77.35
2006-11-01,77.18
2006-12-01,76.87
2007-01-01,76.53
2007-02-01,76.47
2007-03-01,76.15
2007-04-01,76.47
2007-05-01,76.28
2007-06-01,76.27
2007-07-01,76.02
2007-08-01,75.90
2007-09-01,76.29
2007-10-01,76.21
2007-11-01,76.36
2007-12-01,76.80
2008-01-01,77.05
2008-02-01,77.68
2008-03-01,77.69
2008-04-01,77.52
2008-05-01,76.98
2008-06-01,77.45
2008-07-01,77.91
2008-08-01,77.99
2008-09-01,78.23
2008-10-01,76.99
2008-11-01,76.09
2008-12-01,75.14
2009-01-01,73.74
2009-02-01,72.57
2009-03-01,70.39
2009-04-01,69.58
2009-05-01,69.16
2009-06-01,69.20
2009-07-01,68.48
2009-08-01,68.34
2009-09-01,68.64
2009-10-01,69.27
2009-11-01,69.26
2009-12-01,69.37
2010-01-01,68.14
2010-02-01,66.96
2010-03-01,66.68
2010-04-01,66.05
2010-05-01,66.47
2010-06-01,66.58
