Date,UMTMVS
1992-01-01,209438000000.00
1992-02-01,232679000000.00
1992-03-01,249673000000.00
1992-04-01,239666000000.00
1992-05-01,243231000000.00
1992-06-01,262854000000.00
1992-07-01,222832000000.00
1992-08-01,240299000000.00
1992-09-01,260216000000.00
1992-10-01,252272000000.00
1992-11-01,245261000000.00
1992-12-01,245603000000.00
1993-01-01,223258000000.00
1993-02-01,246941000000.00
1993-03-01,264886000000.00
1993-04-01,249181000000.00
1993-05-01,250870000000.00
1993-06-01,271047000000.00
1993-07-01,224077000000.00
1993-08-01,248963000000.00
1993-09-01,269227000000.00
1993-10-01,263075000000.00
1993-11-01,256142000000.00
1993-12-01,252830000000.00
1994-01-01,234097000000.00
1994-02-01,259041000000.00
1994-03-01,277243000000.00
1994-04-01,261755000000.00
1994-05-01,267573000000.00
1994-06-01,287336000000.00
1994-07-01,239931000000.00
1994-08-01,276947000000.00
1994-09-01,291357000000.00
1994-10-01,282489000000.00
1994-11-01,280455000000.00
1994-12-01,279888000000.00
1995-01-01,260175000000.00
1995-02-01,286290000000.00
1995-03-01,303201000000.00
1995-04-01,283129000000.00
1995-05-01,289257000000.00
1995-06-01,310201000000.00
1995-07-01,255163000000.00
1995-08-01,293605000000.00
1995-09-01,313228000000.00
1995-10-01,301301000000.00
1995-11-01,293164000000.00
1995-12-01,290963000000.00
1996-01-01,263041000000.00
1996-02-01,290317000000.00
1996-03-01,306595000000.00
1996-04-01,294667000000.00
1996-05-01,303878000000.00
1996-06-01,319275000000.00
1996-07-01,270709000000.00
1996-08-01,304070000000.00
1996-09-01,323521000000.00
1996-10-01,312818000000.00
1996-11-01,307398000000.00
1996-12-01,300899000000.00
1997-01-01,280870000000.00
1997-02-01,310543000000.00
1997-03-01,329048000000.00
1997-04-01,316494000000.00
1997-05-01,316308000000.00
1997-06-01,341587000000.00
1997-07-01,290346000000.00
1997-08-01,321433000000.00
1997-09-01,347510000000.00
1997-10-01,334742000000.00
1997-11-01,322424000000.00
1997-12-01,323394000000.00
1998-01-01,290004000000.00
1998-02-01,324545000000.00
1998-03-01,347313000000.00
1998-04-01,322621000000.00
1998-05-01,322996000000.00
1998-06-01,345174000000.00
1998-07-01,287703000000.00
1998-08-01,323246000000.00
1998-09-01,349182000000.00
1998-10-01,336238000000.00
1998-11-01,324932000000.00
1998-12-01,325859000000.00
1999-01-01,293222000000.00
1999-02-01,325775000000.00
1999-03-01,352735000000.00
1999-04-01,328363000000.00
1999-05-01,332825000000.00
1999-06-01,360090000000.00
1999-07-01,300148000000.00
1999-08-01,343497000000.00
1999-09-01,362479000000.00
1999-10-01,348259000000.00
1999-11-01,342120000000.00
1999-12-01,342374000000.00
2000-01-01,314656000000.00
2000-02-01,342744000000.00
2000-03-01,374859000000.00
2000-04-01,344093000000.00
2000-05-01,356402000000.00
2000-06-01,383228000000.00
2000-07-01,314885000000.00
2000-08-01,355114000000.00
2000-09-01,377093000000.00
2000-10-01,356771000000.00
2000-11-01,344370000000.00
2000-12-01,344369000000.00
2001-01-01,313393000000.00
2001-02-01,333448000000.00
2001-03-01,362498000000.00
2001-04-01,324116000000.00
2001-05-01,346311000000.00
2001-06-01,353005000000.00
2001-07-01,297903000000.00
2001-08-01,340571000000.00
2001-09-01,334783000000.00
2001-10-01,332093000000.00
2001-11-01,317373000000.00
2001-12-01,315005000000.00
2002-01-01,294008000000.00
2002-02-01,306665000000.00
2002-03-01,337877000000.00
2002-04-01,325061000000.00
2002-05-01,338430000000.00
2002-06-01,343532000000.00
2002-07-01,300402000000.00
2002-08-01,337490000000.00
2002-09-01,345682000000.00
2002-10-01,343614000000.00
2002-11-01,324259000000.00
2002-12-01,317703000000.00
2003-01-01,305102000000.00
2003-02-01,317506000000.00
2003-03-01,352641000000.00
2003-04-01,323894000000.00
2003-05-01,334938000000.00
2003-06-01,351090000000.00
2003-07-01,312163000000.00
2003-08-01,337448000000.00
2003-09-01,357845000000.00
2003-10-01,356066000000.00
2003-11-01,329062000000.00
2003-12-01,337633000000.00
2004-01-01,311470000000.00
2004-02-01,330954000000.00
2004-03-01,378915000000.00
2004-04-01,349906000000.00
2004-05-01,356301000000.00
