Date,FCEXPSAMFRBDAL
2004-06-01,47.10
2004-07-01,45.90
2004-08-01,41.90
2004-09-01,38.50
2004-10-01,48.00
2004-11-01,44.10
2004-12-01,38.60
2005-01-01,49.10
2005-02-01,39.00
2005-03-01,34.50
2005-04-01,36.00
2005-05-01,36.10
2005-06-01,36.50
2005-07-01,30.40
2005-08-01,41.10
2005-09-01,34.10
2005-10-01,28.90
2005-11-01,31.50
2005-12-01,35.50
2006-01-01,39.70
2006-02-01,41.60
2006-03-01,29.70
2006-04-01,47.50
2006-05-01,47.30
2006-06-01,32.10
2006-07-01,40.70
2006-08-01,37.40
2006-09-01,28.50
2006-10-01,25.90
2006-11-01,32.00
2006-12-01,25.50
2007-01-01,21.40
2007-02-01,36.40
2007-03-01,29.00
2007-04-01,31.60
2007-05-01,27.40
2007-06-01,30.00
2007-07-01,24.90
2007-08-01,27.40
2007-09-01,17.90
2007-10-01,16.80
2007-11-01,12.70
2007-12-01,7.00
2008-01-01,-1.00
2008-02-01,3.30
2008-03-01,9.20
2008-04-01,2.90
2008-05-01,9.80
2008-06-01,0.30
2008-07-01,3.30
2008-08-01,5.90
2008-09-01,1.60
2008-10-01,-16.20
2008-11-01,-19.10
2008-12-01,-25.70
2009-01-01,-27.90
2009-02-01,-29.80
2009-03-01,-15.40
2009-04-01,-6.90
2009-05-01,-17.50
2009-06-01,-7.40
2009-07-01,-0.20
2009-08-01,1.00
2009-09-01,0.40
2009-10-01,-0.40
2009-11-01,-8.60
2009-12-01,7.70
2010-01-01,17.90
2010-02-01,1.90
2010-03-01,8.80
2010-04-01,10.20
2010-05-01,13.20
2010-06-01,5.10
2010-07-01,5.30
2010-08-01,5.10
2010-09-01,7.70
2010-10-01,9.50
2010-11-01,20.10
2010-12-01,19.70
2011-01-01,20.80
2011-02-01,23.60
2011-03-01,17.90
2011-04-01,22.30
2011-05-01,17.90
2011-06-01,24.80
2011-07-01,14.90
2011-08-01,21.90
2011-09-01,14.80
2011-10-01,17.50
2011-11-01,8.10
2011-12-01,17.90
2012-01-01,25.20
2012-02-01,26.10
2012-03-01,27.60
2012-04-01,21.40
2012-05-01,17.50
2012-06-01,16.70
2012-07-01,14.80
2012-08-01,19.20
2012-09-01,22.10
2012-10-01,20.90
2012-11-01,19.70
2012-12-01,16.80
2013-01-01,29.70
2013-02-01,20.50
2013-03-01,20.80
2013-04-01,13.60
2013-05-01,14.20
2013-06-01,22.00
2013-07-01,18.80
2013-08-01,22.40
2013-09-01,17.60
2013-10-01,17.20
2013-11-01,17.60
2013-12-01,26.40
2014-01-01,24.10
2014-02-01,20.50
2014-03-01,17.80
2014-04-01,18.00
2014-05-01,23.40
2014-06-01,20.40
2014-07-01,19.10
2014-08-01,18.20
2014-09-01,25.00
2014-10-01,19.90
2014-11-01,17.60
2014-12-01,15.70
2015-01-01,2.90
2015-02-01,9.30
2015-03-01,9.40
2015-04-01,9.10
2015-05-01,9.80
2015-06-01,16.10
2015-07-01,17.80
2015-08-01,11.40
2015-09-01,18.80
2015-10-01,19.30
2015-11-01,10.70
2015-12-01,14.70
2016-01-01,8.80
2016-02-01,17.20
2016-03-01,15.30
2016-04-01,8.70
2016-05-01,2.20
2016-06-01,10.70
2016-07-01,23.00
2016-08-01,16.60
2016-09-01,15.00
2016-10-01,13.40
2016-11-01,26.90
2016-12-01,33.00
2017-01-01,26.50
2017-02-01,28.70
2017-03-01,25.40
2017-04-01,26.40
2017-05-01,24.20
2017-06-01,28.30
2017-07-01,31.30
2017-08-01,21.50
2017-09-01,31.30
2017-10-01,29.30
2017-11-01,30.50
2017-12-01,39.40
2018-01-01,36.30
2018-02-01,34.90
2018-03-01,37.80
2018-04-01,31.00
2018-05-01,32.20
2018-06-01,33.90
