Date,ALTSALES
1999-10-01,17139000.00
1999-11-01,17072000.00
1999-12-01,17793000.00
2000-01-01,18114000.00
2000-02-01,18879000.00
2000-03-01,17822000.00
2000-04-01,17442000.00
2000-05-01,17467000.00
2000-06-01,17078000.00
2000-07-01,16851000.00
2000-08-01,17090000.00
2000-09-01,18245000.00
2000-10-01,17117000.00
2000-11-01,16259000.00
2000-12-01,15831000.00
2001-01-01,17251000.00
2001-02-01,17433000.00
2001-03-01,16868000.00
2001-04-01,16531000.00
2001-05-01,16503000.00
2001-06-01,17104000.00
2001-07-01,16123000.00
2001-08-01,16016000.00
2001-09-01,16056000.00
2001-10-01,21709000.00
2001-11-01,17725000.00
2001-12-01,16147000.00
2002-01-01,16220000.00
2002-02-01,17006000.00
2002-03-01,16788000.00
2002-04-01,17343000.00
2002-05-01,15844000.00
2002-06-01,16626000.00
2002-07-01,17829000.00
2002-08-01,18105000.00
2002-09-01,16326000.00
2002-10-01,15923000.00
2002-11-01,16195000.00
2002-12-01,17593000.00
2003-01-01,16425000.00
2003-02-01,15814000.00
2003-03-01,16173000.00
2003-04-01,16433000.00
2003-05-01,16152000.00
2003-06-01,16686000.00
2003-07-01,16776000.00
2003-08-01,17932000.00
2003-09-01,16945000.00
2003-10-01,16143000.00
2003-11-01,17197000.00
2003-12-01,16992000.00
2004-01-01,16305000.00
2004-02-01,16634000.00
2004-03-01,16837000.00
2004-04-01,16493000.00
2004-05-01,17759000.00
2004-06-01,15761000.00
2004-07-01,16870000.00
2004-08-01,16717000.00
2004-09-01,17432000.00
2004-10-01,17056000.00
2004-11-01,16912000.00
2004-12-01,17627000.00
2005-01-01,16370000.00
2005-02-01,16402000.00
2005-03-01,16929000.00
2005-04-01,17274000.00
2005-05-01,16928000.00
2005-06-01,17968000.00
2005-07-01,20607000.00
2005-08-01,16917000.00
2005-09-01,16427000.00
2005-10-01,14847000.00
2005-11-01,16022000.00
2005-12-01,16688000.00
2006-01-01,17572000.00
2006-02-01,16515000.00
2006-03-01,16409000.00
2006-04-01,16568000.00
2006-05-01,16170000.00
2006-06-01,16352000.00
2006-07-01,17125000.00
2006-08-01,15902000.00
2006-09-01,16420000.00
2006-10-01,16323000.00
2006-11-01,16127000.00
2006-12-01,16569000.00
2007-01-01,16401000.00
2007-02-01,16704000.00
2007-03-01,16015000.00
2007-04-01,16215000.00
2007-05-01,16296000.00
2007-06-01,15823000.00
2007-07-01,15498000.00
2007-08-01,16034000.00
2007-09-01,16199000.00
2007-10-01,16127000.00
2007-11-01,16038000.00
2007-12-01,15718000.00
2008-01-01,15383000.00
2008-02-01,15166000.00
2008-03-01,14795000.00
2008-04-01,14268000.00
2008-05-01,14364000.00
2008-06-01,14065000.00
2008-07-01,12715000.00
2008-08-01,13834000.00
2008-09-01,12688000.00
2008-10-01,10666000.00
2008-11-01,10255000.00
2008-12-01,10141000.00
2009-01-01,9574000.00
2009-02-01,9023000.00
2009-03-01,9552000.00
2009-04-01,9197000.00
2009-05-01,9996000.00
2009-06-01,9956000.00
2009-07-01,11370000.00
2009-08-01,14567000.00
2009-09-01,9346000.00
2009-10-01,10370000.00
2009-11-01,10817000.00
2009-12-01,11060000.00
2010-01-01,10668000.00
2010-02-01,10108000.00
2010-03-01,11553000.00
2010-04-01,11249000.00
2010-05-01,11822000.00
2010-06-01,11385000.00
2010-07-01,11715000.00
2010-08-01,11802000.00
2010-09-01,11703000.00
2010-10-01,12199000.00
2010-11-01,12070000.00
2010-12-01,12383000.00
2011-01-01,12547000.00
2011-02-01,12815000.00
2011-03-01,12984000.00
2011-04-01,13037000.00
2011-05-01,11980000.00
2011-06-01,11581000.00
2011-07-01,12419000.00
2011-08-01,12277000.00
2011-09-01,13026000.00
2011-10-01,13391000.00
2011-11-01,13406000.00
2011-12-01,13455000.00
2012-01-01,14058000.00
2012-02-01,14617000.00
2012-03-01,14237000.00
2012-04-01,14408000.00
2012-05-01,14135000.00
2012-06-01,14118000.00
2012-07-01,14027000.00
2012-08-01,14092000.00
2012-09-01,14759000.00
2012-10-01,14514000.00
2012-11-01,15130000.00
2012-12-01,15121000.00
2013-01-01,15415000.00
2013-02-01,15614000.00
2013-03-01,15541000.00
2013-04-01,15447000.00
2013-05-01,15339000.00
2013-06-01,15695000.00
2013-07-01,15646000.00
2013-08-01,15661000.00
2013-09-01,15153000.00
2013-10-01,15283000.00
2013-11-01,16108000.00
2013-12-01,15453000.00
2014-01-01,15345000.00
2014-02-01,15596000.00
2014-03-01,16788000.00
2014-04-01,16289000.00
2014-05-01,16693000.00
2014-06-01,16969000.00
2014-07-01,16529000.00
2014-08-01,17218000.00
2014-09-01,16237000.00
2014-10-01,16261000.00
2014-11-01,16788000.00
2014-12-01,16714000.00
2015-01-01,16663000.00
2015-02-01,16399000.00
2015-03-01,17495000.00
2015-04-01,16928000.00
2015-05-01,17686000.00
2015-06-01,17287000.00
2015-07-01,17495000.00
2015-08-01,17758000.00
2015-09-01,17972000.00
2015-10-01,17911000.00
2015-11-01,17966000.00
2015-12-01,17195000.00
2016-01-01,17640000.00
2016-02-01,17515000.00
2016-03-01,16770000.00
2016-04-01,17494000.00
2016-05-01,17221000.00
2016-06-01,16992000.00
2016-07-01,17752000.00
2016-08-01,17130000.00
2016-09-01,17650000.00
2016-10-01,17803000.00
2016-11-01,17561000.00
2016-12-01,18048000.00
2017-01-01,17337000.00
2017-02-01,17331000.00
2017-03-01,16721000.00
2017-04-01,16968000.00
2017-05-01,16701000.00
2017-06-01,16608000.00
2017-07-01,16688000.00
2017-08-01,16020000.00
2017-09-01,18485000.00
2017-10-01,18006000.00
2017-11-01,17418000.00
2017-12-01,17754000.00
2018-01-01,17083000.00
2018-02-01,16966000.00
2018-03-01,17396000.00
2018-04-01,17113000.00
2018-05-01,16807000.00
