Date,ALTSALES
1976-01-01,12512000.00
1976-02-01,13044000.00
1976-03-01,13085000.00
1976-04-01,12915000.00
1976-05-01,12645000.00
1976-06-01,12727000.00
1976-07-01,13122000.00
1976-08-01,12594000.00
1976-09-01,13209000.00
1976-10-01,12537000.00
1976-11-01,13006000.00
1976-12-01,14197000.00
1977-01-01,14019000.00
1977-02-01,14335000.00
1977-03-01,14782000.00
1977-04-01,14753000.00
1977-05-01,14605000.00
1977-06-01,14571000.00
1977-07-01,14306000.00
1977-08-01,14488000.00
1977-09-01,14274000.00
1977-10-01,14511000.00
1977-11-01,14396000.00
1977-12-01,14789000.00
1978-01-01,13334000.00
1978-02-01,13969000.00
1978-03-01,14714000.00
1978-04-01,15757000.00
1978-05-01,15830000.00
1978-06-01,15868000.00
1978-07-01,15086000.00
1978-08-01,15676000.00
1978-09-01,14195000.00
1978-10-01,15391000.00
1978-11-01,15015000.00
1978-12-01,14839000.00
1979-01-01,14626000.00
1979-02-01,14856000.00
1979-03-01,14839000.00
1979-04-01,14304000.00
1979-05-01,13966000.00
1979-06-01,12363000.00
1979-07-01,13712000.00
1979-08-01,13999000.00
1979-09-01,13953000.00
1979-10-01,12733000.00
1979-11-01,12667000.00
1979-12-01,13198000.00
1980-01-01,14115000.00
1980-02-01,12967000.00
1980-03-01,11797000.00
1980-04-01,10198000.00
1980-05-01,9310000.00
1980-06-01,10181000.00
1980-07-01,11381000.00
1980-08-01,10860000.00
1980-09-01,10622000.00
1980-10-01,11146000.00
1980-11-01,11014000.00
1980-12-01,10718000.00
1981-01-01,11036000.00
1981-02-01,12116000.00
1981-03-01,12185000.00
1981-04-01,10212000.00
1981-05-01,10136000.00
1981-06-01,10205000.00
1981-07-01,10206000.00
1981-08-01,12457000.00
1981-09-01,10863000.00
1981-10-01,9209000.00
1981-11-01,9294000.00
1981-12-01,8849000.00
1982-01-01,10075000.00
1982-02-01,10725000.00
1982-03-01,10457000.00
1982-04-01,9541000.00
1982-05-01,10900000.00
1982-06-01,9420000.00
1982-07-01,9585000.00
1982-08-01,9779000.00
1982-09-01,10958000.00
1982-10-01,9981000.00
1982-11-01,11866000.00
1982-12-01,11073000.00
1983-01-01,10688000.00
1983-02-01,10441000.00
1983-03-01,10832000.00
1983-04-01,11507000.00
1983-05-01,11865000.00
1983-06-01,12785000.00
1983-07-01,12733000.00
1983-08-01,12048000.00
1983-09-01,12258000.00
1983-10-01,13103000.00
1983-11-01,12899000.00
1983-12-01,14278000.00
1984-01-01,13998000.00
1984-02-01,14130000.00
1984-03-01,13967000.00
1984-04-01,14094000.00
1984-05-01,14569000.00
1984-06-01,14394000.00
1984-07-01,14455000.00
1984-08-01,14006000.00
1984-09-01,13662000.00
1984-10-01,14342000.00
1984-11-01,14444000.00
1984-12-01,14306000.00
1985-01-01,15265000.00
1985-02-01,15432000.00
1985-03-01,15049000.00
1985-04-01,15224000.00
1985-05-01,15270000.00
1985-06-01,14800000.00
1985-07-01,15222000.00
1985-08-01,16633000.00
1985-09-01,18809000.00
1985-10-01,13887000.00
1985-11-01,14333000.00
1985-12-01,15387000.00
1986-01-01,15781000.00
1986-02-01,15126000.00
1986-03-01,13900000.00
1986-04-01,15579000.00
1986-05-01,16038000.00
1986-06-01,15637000.00
1986-07-01,15471000.00
1986-08-01,17010000.00
1986-09-01,21221000.00
1986-10-01,14516000.00
1986-11-01,14545000.00
1986-12-01,17782000.00
1987-01-01,12155000.00
1987-02-01,14830000.00
1987-03-01,15017000.00
1987-04-01,15167000.00
1987-05-01,14283000.00
1987-06-01,15341000.00
1987-07-01,15372000.00
1987-08-01,16786000.00
1987-09-01,15820000.00
1987-10-01,13975000.00
1987-11-01,14227000.00
1987-12-01,15354000.00
1988-01-01,15770000.00
1988-02-01,16172000.00
1988-03-01,15848000.00
1988-04-01,15201000.00
1988-05-01,15606000.00
1988-06-01,15525000.00
1988-07-01,15375000.00
1988-08-01,15078000.00
1988-09-01,14710000.00
1988-10-01,14815000.00
1988-11-01,15038000.00
1988-12-01,16098000.00
1989-01-01,15017000.00
1989-02-01,14668000.00
1989-03-01,14362000.00
1989-04-01,15698000.00
1989-05-01,14942000.00
1989-06-01,14065000.00
1989-07-01,14389000.00
1989-08-01,16234000.00
1989-09-01,15361000.00
1989-10-01,13270000.00
1989-11-01,13068000.00
1989-12-01,13273000.00
1990-01-01,16010000.00
1990-02-01,14066000.00
1990-03-01,14203000.00
1990-04-01,14009000.00
1990-05-01,13743000.00
1990-06-01,13867000.00
1990-07-01,13789000.00
1990-08-01,13582000.00
1990-09-01,14025000.00
1990-10-01,13483000.00
1990-11-01,12877000.00
1990-12-01,12702000.00
1991-01-01,11596000.00
1991-02-01,12175000.00
1991-03-01,12616000.00
1991-04-01,11825000.00
1991-05-01,12270000.00
1991-06-01,12505000.00
1991-07-01,12742000.00
1991-08-01,12352000.00
1991-09-01,12890000.00
1991-10-01,12015000.00
1991-11-01,12364000.00
1991-12-01,12420000.00
1992-01-01,12367000.00
1992-02-01,12698000.00
1992-03-01,12592000.00
1992-04-01,12310000.00
1992-05-01,12860000.00
1992-06-01,13317000.00
1992-07-01,12600000.00
1992-08-01,12620000.00
1992-09-01,13114000.00
1992-10-01,13368000.00
1992-11-01,12958000.00
1992-12-01,13514000.00
1993-01-01,13193000.00
1993-02-01,12698000.00
1993-03-01,13041000.00
1993-04-01,14235000.00
1993-05-01,14212000.00
1993-06-01,14188000.00
1993-07-01,14143000.00
1993-08-01,13276000.00
1993-09-01,13676000.00
1993-10-01,14603000.00
1993-11-01,14539000.00
1993-12-01,14679000.00
1994-01-01,15035000.00
1994-02-01,15194000.00
1994-03-01,14974000.00
1994-04-01,15680000.00
1994-05-01,14249000.00
1994-06-01,14763000.00
1994-07-01,14522000.00
1994-08-01,14989000.00
1994-09-01,14911000.00
1994-10-01,15517000.00
1994-11-01,15500000.00
1994-12-01,15196000.00
1995-01-01,14363000.00
1995-02-01,14457000.00
1995-03-01,14865000.00
1995-04-01,13980000.00
1995-05-01,14418000.00
1995-06-01,15019000.00
1995-07-01,14326000.00
1995-08-01,15006000.00
1995-09-01,14959000.00
1995-10-01,14470000.00
1995-11-01,15012000.00
1995-12-01,15862000.00
1996-01-01,14449000.00
1996-02-01,15215000.00
1996-03-01,15679000.00
1996-04-01,15112000.00
1996-05-01,15624000.00
1996-06-01,14864000.00
1996-07-01,14700000.00
1996-08-01,15128000.00
1996-09-01,15184000.00
1996-10-01,14972000.00
1996-11-01,15392000.00
1996-12-01,14849000.00
1997-01-01,15332000.00
1997-02-01,14916000.00
1997-03-01,15444000.00
1997-04-01,14694000.00
1997-05-01,14717000.00
1997-06-01,14180000.00
1997-07-01,15194000.00
1997-08-01,15765000.00
1997-09-01,14711000.00
1997-10-01,15036000.00
1997-11-01,15421000.00
1997-12-01,16059000.00
1998-01-01,14400000.00
1998-02-01,14839000.00
1998-03-01,15001000.00
1998-04-01,15521000.00
1998-05-01,16649000.00
1998-06-01,16378000.00
1998-07-01,14255000.00
1998-08-01,14358000.00
1998-09-01,15862000.00
1998-10-01,16679000.00
1998-11-01,15631000.00
1998-12-01,16943000.00
1999-01-01,16094000.00
1999-02-01,16566000.00
1999-03-01,16332000.00
1999-04-01,16422000.00
1999-05-01,17059000.00
1999-06-01,16839000.00
1999-07-01,17171000.00
1999-08-01,17121000.00
1999-09-01,17116000.00
