Date,UDXTTI
1992-01-01,170139000000.00
1992-02-01,171452000000.00
1992-03-01,171852000000.00
1992-04-01,173166000000.00
1992-05-01,174458000000.00
1992-06-01,172139000000.00
1992-07-01,173225000000.00
1992-08-01,174316000000.00
1992-09-01,172552000000.00
1992-10-01,171708000000.00
1992-11-01,171060000000.00
1992-12-01,167180000000.00
1993-01-01,168667000000.00
1993-02-01,170862000000.00
1993-03-01,171113000000.00
1993-04-01,173329000000.00
1993-05-01,174739000000.00
1993-06-01,172703000000.00
1993-07-01,173836000000.00
1993-08-01,174843000000.00
1993-09-01,172533000000.00
1993-10-01,173565000000.00
1993-11-01,172962000000.00
1993-12-01,169883000000.00
1994-01-01,174282000000.00
1994-02-01,177415000000.00
1994-03-01,176897000000.00
1994-04-01,178841000000.00
1994-05-01,180639000000.00
1994-06-01,179865000000.00
1994-07-01,183039000000.00
1994-08-01,184982000000.00
1994-09-01,183043000000.00
1994-10-01,184588000000.00
1994-11-01,185770000000.00
1994-12-01,183370000000.00
1995-01-01,189524000000.00
1995-02-01,193895000000.00
1995-03-01,193554000000.00
1995-04-01,197293000000.00
1995-05-01,199849000000.00
1995-06-01,198742000000.00
1995-07-01,201732000000.00
1995-08-01,202856000000.00
1995-09-01,201115000000.00
1995-10-01,203125000000.00
1995-11-01,203064000000.00
1995-12-01,198946000000.00
1996-01-01,204907000000.00
1996-02-01,207527000000.00
1996-03-01,204589000000.00
1996-04-01,206669000000.00
1996-05-01,207699000000.00
1996-06-01,204098000000.00
1996-07-01,206154000000.00
1996-08-01,207363000000.00
1996-09-01,204375000000.00
1996-10-01,204729000000.00
1996-11-01,205087000000.00
1996-12-01,199243000000.00
1997-01-01,203693000000.00
1997-02-01,206491000000.00
1997-03-01,204365000000.00
1997-04-01,207722000000.00
1997-05-01,209738000000.00
1997-06-01,207447000000.00
1997-07-01,210716000000.00
1997-08-01,212221000000.00
1997-09-01,208809000000.00
1997-10-01,210271000000.00
1997-11-01,211449000000.00
1997-12-01,206916000000.00
1998-01-01,211389000000.00
1998-02-01,215224000000.00
1998-03-01,212655000000.00
1998-04-01,215203000000.00
1998-05-01,216383000000.00
1998-06-01,212659000000.00
1998-07-01,214476000000.00
1998-08-01,215433000000.00
1998-09-01,212090000000.00
1998-10-01,212600000000.00
1998-11-01,213016000000.00
1998-12-01,205684000000.00
1999-01-01,209386000000.00
1999-02-01,212191000000.00
1999-03-01,210234000000.00
1999-04-01,212651000000.00
1999-05-01,214316000000.00
1999-06-01,210302000000.00
1999-07-01,213013000000.00
1999-08-01,214237000000.00
1999-09-01,211525000000.00
1999-10-01,213323000000.00
1999-11-01,215163000000.00
1999-12-01,211581000000.00
2000-01-01,216954000000.00
2000-02-01,221266000000.00
2000-03-01,218074000000.00
2000-04-01,223187000000.00
2000-05-01,225513000000.00
2000-06-01,224011000000.00
2000-07-01,228306000000.00
2000-08-01,231583000000.00
2000-09-01,227380000000.00
2000-10-01,231442000000.00
2000-11-01,234090000000.00
2000-12-01,229033000000.00
2001-01-01,235211000000.00
2001-02-01,237310000000.00
2001-03-01,230866000000.00
2001-04-01,230892000000.00
2001-05-01,229643000000.00
2001-06-01,223649000000.00
2001-07-01,222167000000.00
2001-08-01,220184000000.00
2001-09-01,212829000000.00
2001-10-01,211135000000.00
2001-11-01,208361000000.00
2001-12-01,198206000000.00
2002-01-01,201799000000.00
2002-02-01,202777000000.00
2002-03-01,198818000000.00
2002-04-01,199766000000.00
2002-05-01,199375000000.00
2002-06-01,196304000000.00
2002-07-01,197971000000.00
2002-08-01,198501000000.00
2002-09-01,195540000000.00
2002-10-01,196416000000.00
2002-11-01,196934000000.00
2002-12-01,192000000000.00
2003-01-01,195015000000.00
2003-02-01,199219000000.00
2003-03-01,195389000000.00
2003-04-01,195448000000.00
2003-05-01,194975000000.00
2003-06-01,189634000000.00
2003-07-01,189759000000.00
2003-08-01,188473000000.00
2003-09-01,183906000000.00
2003-10-01,185123000000.00
2003-11-01,184519000000.00
2003-12-01,180163000000.00
2004-01-01,183572000000.00
2004-02-01,186436000000.00
2004-03-01,185429000000.00
2004-04-01,187550000000.00
2004-05-01,189944000000.00
2004-06-01,189180000000.00
2004-07-01,192497000000.00
2004-08-01,194892000000.00
2004-09-01,193365000000.00
2004-10-01,196667000000.00
2004-11-01,198426000000.00
2004-12-01,194346000000.00
2005-01-01,202398000000.00
2005-02-01,206868000000.00
2005-03-01,206026000000.00
2005-04-01,209020000000.00
2005-05-01,211057000000.00
2005-06-01,208149000000.00
2005-07-01,212282000000.00
2005-08-01,213482000000.00
2005-09-01,210827000000.00
2005-10-01,213047000000.00
2005-11-01,215753000000.00
2005-12-01,211455000000.00
2006-01-01,219131000000.00
2006-02-01,222042000000.00
2006-03-01,221289000000.00
2006-04-01,225575000000.00
2006-05-01,228223000000.00
2006-06-01,226768000000.00
2006-07-01,232123000000.00
2006-08-01,235525000000.00
2006-09-01,234893000000.00
2006-10-01,238227000000.00
2006-11-01,239249000000.00
2006-12-01,234898000000.00
2007-01-01,242340000000.00
2007-02-01,245534000000.00
2007-03-01,242672000000.00
2007-04-01,244547000000.00
2007-05-01,245739000000.00
2007-06-01,242598000000.00
2007-07-01,244689000000.00
2007-08-01,245010000000.00
2007-09-01,243350000000.00
2007-10-01,245729000000.00
2007-11-01,246713000000.00
2007-12-01,242324000000.00
2008-01-01,248305000000.00
2008-02-01,250719000000.00
2008-03-01,249006000000.00
2008-04-01,251366000000.00
2008-05-01,252512000000.00
2008-06-01,249674000000.00
2008-07-01,254105000000.00
2008-08-01,256032000000.00
2008-09-01,253230000000.00
2008-10-01,253507000000.00
2008-11-01,251749000000.00
2008-12-01,242241000000.00
2009-01-01,245495000000.00
2009-02-01,243234000000.00
2009-03-01,234336000000.00
2009-04-01,231523000000.00
2009-05-01,227816000000.00
2009-06-01,220071000000.00
2009-07-01,217967000000.00
2009-08-01,216423000000.00
2009-09-01,213247000000.00
2009-10-01,213102000000.00
2009-11-01,213469000000.00
2009-12-01,208297000000.00
2010-01-01,212657000000.00
2010-02-01,214716000000.00
2010-03-01,212997000000.00
2010-04-01,216102000000.00
2010-05-01,219117000000.00
2010-06-01,219385000000.00
2010-07-01,223041000000.00
2010-08-01,224492000000.00
2010-09-01,222905000000.00
2010-10-01,226138000000.00
2010-11-01,227965000000.00
2010-12-01,223074000000.00
2011-01-01,231003000000.00
2011-02-01,235967000000.00
2011-03-01,236570000000.00
2011-04-01,241612000000.00
2011-05-01,245992000000.00
2011-06-01,243662000000.00
2011-07-01,248294000000.00
2011-08-01,250416000000.00
2011-09-01,246624000000.00
2011-10-01,249269000000.00
2011-11-01,250829000000.00
2011-12-01,243357000000.00
2012-01-01,250995000000.00
2012-02-01,254165000000.00
2012-03-01,252605000000.00
2012-04-01,256234000000.00
2012-05-01,257567000000.00
2012-06-01,253874000000.00
2012-07-01,257438000000.00
2012-08-01,258228000000.00
2012-09-01,255106000000.00
2012-10-01,256675000000.00
2012-11-01,256409000000.00
2012-12-01,249200000000.00
2013-01-01,255127000000.00
2013-02-01,256763000000.00
2013-03-01,253315000000.00
2013-04-01,254856000000.00
2013-05-01,254968000000.00
2013-06-01,251399000000.00
2013-07-01,254265000000.00
2013-08-01,254299000000.00
2013-09-01,251749000000.00
2013-10-01,252619000000.00
2013-11-01,253160000000.00
2013-12-01,247905000000.00
2014-01-01,254190000000.00
2014-02-01,258497000000.00
2014-03-01,256563000000.00
2014-04-01,259208000000.00
2014-05-01,262666000000.00
2014-06-01,259708000000.00
2014-07-01,264217000000.00
2014-08-01,266227000000.00
2014-09-01,263300000000.00
2014-10-01,263714000000.00
2014-11-01,264678000000.00
2014-12-01,258847000000.00
2015-01-01,266988000000.00
2015-02-01,268607000000.00
2015-03-01,265812000000.00
2015-04-01,267692000000.00
2015-05-01,267698000000.00
2015-06-01,264262000000.00
2015-07-01,267136000000.00
2015-08-01,266003000000.00
2015-09-01,261036000000.00
2015-10-01,260554000000.00
2015-11-01,260215000000.00
2015-12-01,253437000000.00
2016-01-01,257145000000.00
2016-02-01,257898000000.00
2016-03-01,254696000000.00
2016-04-01,255372000000.00
2016-05-01,255612000000.00
2016-06-01,252029000000.00
2016-07-01,255769000000.00
2016-08-01,256723000000.00
2016-09-01,253056000000.00
2016-10-01,252970000000.00
2016-11-01,253540000000.00
2016-12-01,247396000000.00
2017-01-01,254672000000.00
2017-02-01,257719000000.00
2017-03-01,256240000000.00
2017-04-01,259508000000.00
2017-05-01,261393000000.00
2017-06-01,260237000000.00
2017-07-01,264813000000.00
2017-08-01,266663000000.00
2017-09-01,264698000000.00
2017-10-01,266213000000.00
2017-11-01,266969000000.00
2017-12-01,262112000000.00
2018-01-01,269205000000.00
2018-02-01,273057000000.00
2018-03-01,271757000000.00
2018-04-01,274765000000.00
2018-05-01,276184000000.00
