3UIS	Nx09100w 190601
5OT	Singapore Medical Group Ltd
5OU	China Environment Ltd.
5OX	Mary Chia Holdings Limited
5OY	Latitude Tree Intl Group Ltd.
5PC	Goodland Group Limited
5PD	Hengyang Petrochem Log Limited
5PF	Jason Marine Group Limited
5PI	Plato Capital Limited
5PL	Sbi Offshore Limited
5PO	Hiap Tong Corporation Ltd.
5QR	Mann Seng Metal Intl Limited
5QT	China Enersave Ltd
5QY	Net Pacific Fin Hldgs Ltd
5RA	Asia-pacific Strategic Inv Ltd
5RC	Es Group (holdings) Limited
5RE	Smartflex Holdings Ltd
5RF	Friven & Co. Ltd.
5RJ	We Holdings Ltd.
5SO	Duty Free Internationallimited
5SR	Zhongmin Baihui Retail Grp Ltd
5SUW	Duty Free Intl Ltd W160106
5SXW	Goodland Group Limited W160217
5SY	Chew's Group Limited
5TG	800 Super Holdings Limited
5TI	Kitchen Culture Holdings Ltd.
5TJ	Far East Group Limited
5TN	Iev Holdings Limited
5TP	Cnmc Goldmine Holdings Limited
5TR	Libra Group Limited
5TS	Jk Tech Holdings Limited
5TT	Keong Hong Holdings Limited
5TW	Chaswood Resources Hldgs Ltd.
5TY	Advanced Systems Automation
5UA	Starland Holdings Limited
5UE	Shc Capital Asia Limited
5UF	Maxi-cash Fin Svcs Corp Ltd
5UJ	Neo Group Limited
5UL	Atlantic Navigation Hldg(s)ltd
5UN	Sincap Group Limited
5UO	Sysma Holdings Limited
5UQW	Metal Component Engg W170908
5UV	P99 Holdings Limited
5UX	Oxley Holdings Limited
5UZ	Declout Limited
5VC	Kori Holdings Limited
5VFW	Asiatravel.com Holdingsw160715
5VI	Logistics Holdings Limited
5VJ	Halcyon Agri Corporation Ltd
5VNW	Albedo Limited W180329
5VOW	Viking Offshore And Ma W180425
5VP	Gds Global Limited
5VS	Hafary Holdings Limited
5VU	Elektromotive Group Limited
5VVW	Ntegrator Intl Ltd W160603
5VZW	Asia-pacific Strategic W180716
5WA	Intl Healthway Corp Limited
5WD	Ps Group Holdings Ltd.
5WE	Moya Holdings Asia Limited
5WF	Isoteam Ltd.
5WG	Singapore Kitchen Equipmentltd
5WH	Rex International Holding Ltd
5WJ	Moneymax Financial Servicesltd
5WR	Xyec Holdings Co., Ltd.
5WV	Asiaphos Limited
600	Hyflux Ltd
6SUS	Ny05100n 200901
7PMS	Ny07100x 220901
7QQS	Nz07100s 270301
A02	Achieva Limited
A04	Asl Marine Holdings Ltd
A05	Avjennings Limited
A0P	Macarthurcook Prop Sec Fund
A0W	Lyxor Commodities Crb Fund 10
A13	Allied Technologies Limited
A17U	Ascendas Real Estate Inv Trust
A23	Auric Pacific Group Limited
A26	Sinarmas Land Limited
