HJK17     	High Grade Copper(F) {May 17}                     	COMEX     
HJK18     	High Grade Copper(F) {May 18}                     	COMEX     
HJM17     	High Grade Copper(F) {Jun 17}                     	COMEX     
HJM18     	High Grade Copper(F) {Jun 18}                     	COMEX     
HJN17     	High Grade Copper(F) {Jul 17}                     	COMEX     
HJN18     	High Grade Copper(F) {Jul 18}                     	COMEX     
HJQ17     	High Grade Copper(F) {Aug 17}                     	COMEX     
HJQ18     	High Grade Copper(F) {Aug 18}                     	COMEX     
HJU17     	High Grade Copper(F) {Sep 17}                     	COMEX     
HJU18     	High Grade Copper(F) {Sep 18}                     	COMEX     
HJV16     	High Grade Copper(F) {Oct 16}                     	COMEX     
HJV17     	High Grade Copper(F) {Oct 17}                     	COMEX     
HJX16     	High Grade Copper(F) {Nov 16}                     	COMEX     
HJX17     	High Grade Copper(F) {Nov 17}                     	COMEX     
HJZ16     	High Grade Copper(F) {Dec 16}                     	COMEX     
HJZ17     	High Grade Copper(F) {Dec 17}                     	COMEX     
LD.C      	Lead Continuation                                 	COMEX     
LDF17     	Lead {Jan 17}                                     	COMEX     
LDG17     	Lead {Feb 17}                                     	COMEX     
LDH17     	Lead {Mar 17}                                     	COMEX     
LDJ17     	Lead {Apr 17}                                     	COMEX     
LDK17     	Lead {May 17}                                     	COMEX     
LDM17     	Lead {Jun 17}                                     	COMEX     
LDN17     	Lead {Jul 17}                                     	COMEX     
LDQ17     	Lead {Aug 17}                                     	COMEX     
LDU17     	Lead {Sep 17}                                     	COMEX     
LDV16     	Lead {Oct 16}                                     	COMEX     
LDV17     	Lead {Oct 17}                                     	COMEX     
LDX16     	Lead {Nov 16}                                     	COMEX     
LDZ16     	Lead {Dec 16}                                     	COMEX     
QC.C      	E-Mini Copper Continuation                        	COMEX     
QCF17     	E-Mini Copper {Jan 17}                            	COMEX     
QCF18     	E-Mini Copper {Jan 18}                            	COMEX     
QCG17     	E-Mini Copper {Feb 17}                            	COMEX     
QCG18     	E-Mini Copper {Feb 18}                            	COMEX     
QCH17     	E-Mini Copper {Mar 17}                            	COMEX     
QCH18     	E-Mini Copper {Mar 18}                            	COMEX     
QCH19     	E-Mini Copper {Mar 19}                            	COMEX     
QCH20     	E-Mini Copper {Mar 20}                            	COMEX     
QCH21     	E-Mini Copper {Mar 21}                            	COMEX     
QCJ17     	E-Mini Copper {Apr 17}                            	COMEX     
QCJ18     	E-Mini Copper {Apr 18}                            	COMEX     
QCK17     	E-Mini Copper {May 17}                            	COMEX     
QCK18     	E-Mini Copper {May 18}                            	COMEX     
QCK19     	E-Mini Copper {May 19}                            	COMEX     
