AUDILS    	Australian Dollar / New Israeli Sheqel            	FOREX     
AUDINR    	Australian Dollar / Indian Rupee                  	FOREX     
AUDJPY    	Australian Dollar / Japanese Yen                  	FOREX     
AUDKRW    	Australian Dollar / Korean Won                    	FOREX     
AUDMXN    	Australian Dollar / Mexican Peso                  	FOREX     
AUDMYR    	Australian Dollar / Malaysian Ringgit             	FOREX     
AUDNOK    	Australian Dollar / Norwegian Krone               	FOREX     
AUDNZD    	Australian Dollar / New Zealand Dollar            	FOREX     
AUDPHP    	Australian Dollar / Philippine Peso               	FOREX     
AUDPKR    	Australian Dollar / Pakistan Rupee                	FOREX     
AUDPLN    	Australian Dollar / Polish Zloty                  	FOREX     
AUDSEK    	Australian Dollar / Swedish Krona                 	FOREX     
AUDSGD    	Australian Dollar / Singapore Dollar              	FOREX     
AUDTHB    	Australian Dollar / Thai Baht                     	FOREX     
AUDTRY    	Australian Dollar / Turkish Lira                  	FOREX     
AUDTWD    	Australian Dollar / New Taiwan Dollar             	FOREX     
AUDUSD    	Australian Dollar / US Dollar                     	FOREX     
AUDZAR    	Australian Dollar / South African Rand            	FOREX     
AWGUSD    	Aruban Guilder / US Dollar                        	FOREX     
BDTGBP    	Taka / Pound Sterling                             	FOREX     
BDTJPY    	Taka / Japanese Yen                               	FOREX     
BGNCNY    	Bulgarian Lev / Yuan Renminbi                     	FOREX     
BGNDKK    	Bulgarian Lev / Danish Krone                      	FOREX     
BGNPLN    	Bulgarian Lev / Polish Zloty                      	FOREX     
BGNUSD    	Bulgarian Lev / US Dollar                         	FOREX     
BHDEUR    	Bahraini Dinar / Euro Dollar                      	FOREX     
BHDPKR    	Bahraini Dinar / Pakistan Rupee                   	FOREX     
BHDUSD    	Bahraini Dinar / US Dollar                        	FOREX     
BNDGBP    	Brunei Dollar / Pound Sterling                    	FOREX     
BRLARS    	Brazilian Real / Argentine Peso                   	FOREX     
BRLAUD    	Brazilian Real / Australian Dollar                	FOREX     
BRLCAD    	Brazilian Real / Canadian Dollar                  	FOREX     
BRLCHF    	Brazilian Real / Swiss Franc                      	FOREX     
BRLEUR    	Brazilian Real / Euro Dollar                      	FOREX     
BRLHKD    	Brazilian Real / Hong Kong Dollar                 	FOREX     
BRLJPY    	Brazilian Real / Japanese Yen                     	FOREX     
BRLKRW    	Brazilian Real / Korean Won                       	FOREX     
BRLMXN    	Brazilian Real / Mexican Peso                     	FOREX     
BRLRUB    	Brazilian Real / Russian Ruble                    	FOREX     
BRLSEK    	Brazilian Real / Swedish Krona                    	FOREX     
BRLSGD    	Brazilian Real / Singapore Dollar                 	FOREX     
BRLUSD    	Brazilian Real / US Dollar                        	FOREX     
BRLZAR    	Brazilian Real / South African Rand               	FOREX     
BWPCHF    	Pula / Swiss Franc                                	FOREX     
BWPEUR    	Pula / Euro Dollar                                	FOREX     
BWPGBP    	Pula / Pound Sterling                             	FOREX     
BWPUSD    	Pula / US Dollar                                  	FOREX     
BWPZAR    	Pula / South African Rand                         	FOREX     
CADAED    	Canadian Dollar / UAE Dirham                      	FOREX     
CADARS    	Canadian Dollar / Argentine Peso                  	FOREX     
CADAUD    	Canadian Dollar / Australian Dollar               	FOREX     
CADBRL    	Canadian Dollar / Brazilian Real                  	FOREX     
CADCHF    	Canadian Dollar / Swiss Franc                     	FOREX     
CADCNH    	Canadian Dollar / Renminbi (Offshore)             	FOREX     
CADCNY    	Canadian Dollar / Yuan Renminbi                   	FOREX     
