ADCF      	Advanced Defense                                  	OTCBB     
ADDDF     	Adidas Ag                                         	OTCBB     
ADDLP     	Anr Inc Pfd Series B                              	OTCBB     
ADDXF     	Addex Pharms Ltd Ord                              	OTCBB     
ADDYY     	Adidas Ag                                         	OTCBB     
ADENF     	Adira Energy Ltd                                  	OTCBB     
ADEXF     	Advanced Exploration                              	OTCBB     
ADFJF     	Adf Group Inc                                     	OTCBB     
ADFS      	American Defense Systems Inc                      	OTCBB     
ADFT      	Adfitech Inc                                      	OTCBB     
ADGL      	Alldigital Holdings                               	OTCBB     
ADHC      	American Diversified                              	OTCBB     
ADHLF     	Applied Intl Holding                              	OTCBB     
ADHLY     	Applied Dev Hldgs Ltd                             	OTCBB     
ADIA      	Adia Nutrition Inc                                	OTCBB     
ADLI      	Amer Medical Tech                                 	OTCBB     
ADLS      	Advanced Life Scienc                              	OTCBB     
ADMD      	Advanced Medical Iso                              	OTCBB     
ADMG      	Adamant Dri Processi                              	OTCBB     
ADMT      	Adm Tronics Unlimited Inc                         	OTCBB     
ADNY      	Adino Energy Corp                                 	OTCBB     
ADOOY     	Pt Adaro Energy Tbk ADR                           	OTCBB     
ADPAS     	Adelphia Recovery TR                              	OTCBB     
ADPTQ     	Adeptus Health Inc                                	OTCBB     
ADPXY     	Audio Pixels Hl ADR                               	OTCBB     
ADRGF     	Amador Gold Corp. New                             	OTCBB     
ADRNY     	Koninklijke Ahold                                 	OTCBB     
ADRZF     	Andritz Ag                                        	OTCBB     
ADRZY     	Andritz Ag ADR                                    	OTCBB     
ADSV      	Allied Security Inno                              	OTCBB     
ADTC      	Advanced Dep Tech                                 	OTCBB     
ADTFF     	Imetal Resources Inc                              	OTCBB     
ADTM      	Adaptive Medias Inc                               	OTCBB     
ADTR      	Alliance Distributors Holding Inc                 	OTCBB     
ADTY      	Adtegrity.Com Intl Inc                            	OTCBB     
ADVC      	Advant-E Corporation                              	OTCBB     
ADVOF     	Adva Optical Ntwkng                               	OTCBB     
ADVT      	Advantis Corp                                     	OTCBB     
ADWPF     	Andrew Peller Ltd Cl                              	OTCBB     
ADXDF     	Adex Mining Inc.                                  	OTCBB     
ADYNF     	Algae Dynamics Corp.                              	OTCBB     
AEBZY     	Anadolu Efes Birck                                	OTCBB     
AEEI      	American Environment                              	OTCBB     
AEEX      	Asia Equity Exchange Group Inc.                   	OTCBB     
AEGG      	American Energy New                               	OTCBB     
AEGOF     	Aegon Nv Ord Shs                                  	OTCBB     
AEGXF     	Aecon Group Inc                                   	OTCBB     
AEGY      	Alternative Energy                                	OTCBB     
AELTF     	Adacel Technologies                               	OTCBB     
