14D       	1414 Degrees Limited                              	ASX       
AHR       	Anchor Resources Ltd                              	ASX       
AHX       	Apiam Animal Health Limited                       	ASX       
AHY       	Asaleo Care Limited                               	ASX       
AHZ       	Allied Healthcare Group Ltd                       	ASX       
AHZO      	Admedus Ltd                                       	ASX       
AHZRA     	Admedus Ltd                                       	ASX       
AIA       	Auckland International Airport Ltd                	ASX       
AIB       	Aurora Infrastructure Buy Write Income Trust      	ASX       
AIQ       	Alternative Investment Trust                      	ASX       
AIR       	Astivita Renewables Limited                       	ASX       
AIS       	Automotive Industrial & Mining Supplies           	ASX       
AIV       	Activex Ltd                                       	ASX       
AIY       	Authorised Investment Fund Ltd                    	ASX       
AIYOB     	Authorised Investment Fund Limited                	ASX       
AIZ       	Air New Zealand Ltd                               	ASX       
AJC       	Acacia Coal Limited                               	ASX       
AJD       	Asia Pacific Data Centre Group                    	ASX       
AJJ       	Asian Centre For Liver Diseases And Transplantation Limited	ASX       
AJL       	AJ Lucas Group Ltd                                	ASX       
AJM       	Altura Mining Limited                             	ASX       
AJQ       	Armour Energy Limited                             	ASX       
AJX       	Alexium International Group Limited               	ASX       
AJY       	Asaplus Resources Limited                         	ASX       
AKG       	AKG                                               	ASX       
AKM       	Aspire Mining Limited                             	ASX       
AKMOA     	Aspire Mining Limited                             	ASX       
AKN       	Auking Mining Limited                             	ASX       
AKP       	Audio Pixels Holdings Limited                     	ASX       
AL8       	Alderan Resources Limited                         	ASX       
ALC       	Alcidion Group Limited                            	ASX       
ALF       	Australian Leaders Fund Ltd                       	ASX       
ALG       	Applied Learning Ltd t/over                       	ASX       
ALGKOA    	Ardent Leisure Group Limited                      	ASX       
ALI       	Argo Global Listed Infrastructure Limited         	ASX       
ALK       	Alkane Exploration Ltd                            	ASX       
ALL       	Aristocrat Leisure Ltd                            	ASX       
ALLKOA    	Aristocrat Leisure Limited                        	ASX       
ALLKOB    	Aristocrat Leisure Limited                        	ASX       
ALLKOC    	Aristocrat Leisure Limited                        	ASX       
ALLKOG    	Aristocrat Leisure Limited                        	ASX       
ALLKOI    	Aristocrat Leisure Limited                        	ASX       
ALLKOP    	Aristocrat Leisure Limited                        	ASX       
ALLKOS    	Aristocrat Leisure Limited                        	ASX       
ALLKOT    	Aristocrat Leisure Limited                        	ASX       
ALLKOW    	Aristocrat Leisure Limited                        	ASX       
ALQ       	Als Limited                                       	ASX       
ALQKOA    	Als Limited                                       	ASX       
ALQKOB    	Als Limited                                       	ASX       
ALQKOE    	Als Limited                                       	ASX       
ALQKOP    	Als Limited                                       	ASX       
ALQKOR    	Als Limited                                       	ASX       
ALQKOT    	Als Limited                                       	ASX       
ALQKOU    	Als Limited                                       	ASX       
ALT       	Analytica Ltd                                     	ASX       
ALU       	Altium Ltd                                        	ASX       
ALUKOA    	Altium Limited                                    	ASX       
ALUKOB    	Altium Limited                                    	ASX       
ALUKOP    	Altium Limited                                    	ASX       
ALUKOQ    	Altium Limited                                    	ASX       
ALX       	Allstate Explorations NL                          	ASX       
ALXKOA    	Atlas Arteria                                     	ASX       
ALXKOQ    	Atlas Arteria                                     	ASX       
ALY       	Alchemy Resources Ltd                             	ASX       
AMA       	Allomak Ltd                                       	ASX       
AMB       	Ambition Group Ltd                                	ASX       
AMC       	Amcor Ltd                                         	ASX       
AMCBOD    	Amcor Limited                                     	ASX       
AMCBOR    	Amcor Limited                                     	ASX       
AMCKOA    	Amcor Limited                                     	ASX       
AMCKOC    	Amcor Limited                                     	ASX       
AMCKOF    	Amcor Limited                                     	ASX       
AMCKOQ    	Amcor Limited                                     	ASX       
AMCKOS    	Amcor Limited                                     	ASX       
AMD       	Arrow Minerals Ltd                                	ASX       
AMDOA     	Arrow Minerals Ltd                                	ASX       
AME       	Austmet Resources Ltd                             	ASX       
AMG       	Alcaston Mining NL                                	ASX       
AMH       	AMCIL Ltd                                         	ASX       
AMI       	Aurelia Metals Limited                            	ASX       
AML       	AMRAD Corporation Ltd                             	ASX       
AMN       	Agrimin Limited                                   	ASX       
AMO       	Ambertech Ltd                                     	ASX       
AMP       	AMP Ltd                                           	ASX       
AMPBOB    	Amp Limited                                       	ASX       
AMPBOD    	Amp Limited                                       	ASX       
AMPBOE    	Amp Limited                                       	ASX       
AMPBOF    	Amp Limited                                       	ASX       
AMPBOG    	Amp Limited                                       	ASX       
AMPBOH    	Amp Limited                                       	ASX       
AMPBOY    	Amp Limited                                       	ASX       
AMPHA     	Amp Limited                                       	ASX       
AMPKOA    	Amp Limited                                       	ASX       
AMPKOC    	Amp Limited                                       	ASX       
AMPKOD    	Amp Limited                                       	ASX       
AMPKOJ    	Amp Limited                                       	ASX       
AMPKOQ    	Amp Limited                                       	ASX       
AMPKOS    	Amp Limited                                       	ASX       
AMPKOT    	Amp Limited                                       	ASX       
AMPKOV    	Amp Limited                                       	ASX       
AMPLOA    	Amp Limited                                       	ASX       
AMPLOB    	Amp Limited                                       	ASX       
AMPLOD    	Amp Limited                                       	ASX       
AMPLOQ    	Amp Limited                                       	ASX       
AMPLOR    	Amp Limited                                       	ASX       
AMPLOU    	Amp Limited                                       	ASX       
AMPLOV    	Amp Limited                                       	ASX       
AMPPA     	Amp Limited                                       	ASX       
AMT       	Advanced Surgical Design & Manufacture Ltd        	ASX       
ANG       	Austin Engineering Ltd                            	ASX       
ANL       	Anaconda Nickel Nl                                	ASX       
ANN       	Ansell Ltd                                        	ASX       
ANNKOA    	Ansell Limited                                    	ASX       
ANNKOB    	Ansell Limited                                    	ASX       
ANNKOP    	Ansell Limited                                    	ASX       
ANNKOQ    	Ansell Limited                                    	ASX       
ANO       	Advanced Nanotechnology Ltd                       	ASX       
ANP       	Antisense Therapeutics Ltd                        	ASX       
ANPOB     	Antisense Therapeutics Limited                    	ASX       
ANQ       	Anaeco Ltd                                        	ASX       
ANR       	Anatara Lifesciences Ltd                          	ASX       
ANS       	Austsino Resources Group Limited                  	ASX       
ANW       	Ausnico Limited                                   	ASX       
ANZ       	Australia & NZ Banking Group Ltd                  	ASX       
ANZBOA    	Australia And New Zealand Banking Group Limited   	ASX       
ANZBOB    	Australia And New Zealand Banking Group Limited   	ASX       
ANZBOC    	Australia And New Zealand Banking Group Limited   	ASX       
ANZBOE    	Australia And New Zealand Banking Group Limited   	ASX       
ANZBOF    	Australia And New Zealand Banking Group Limited   	ASX       
ANZBOG    	Australia And New Zealand Banking Group Limited   	ASX       
ANZBOH    	Australia And New Zealand Banking Group Limited   	ASX       
ANZBOI    	Australia And New Zealand Banking Group Limited   	ASX       
ANZBOJ    	Australia And New Zealand Banking Group Limited   	ASX       
ANZBOK    	Australia And New Zealand Banking Group Limited   	ASX       
ANZBOR    	Australia And New Zealand Banking Group Limited   	ASX       
ANZBOY    	Australia And New Zealand Banking Group Limited   	ASX       
ANZKOB    	Australia And New Zealand Banking Group Limited   	ASX       
ANZKOD    	Australia And New Zealand Banking Group Limited   	ASX       
ANZKOE    	Australia And New Zealand Banking Group Limited   	ASX       
ANZKOG    	Australia And New Zealand Banking Group Limited   	ASX       
ANZKOH    	Australia And New Zealand Banking Group Limited   	ASX       
ANZKOL    	Australia And New Zealand Banking Group Limited   	ASX       
ANZKOM    	Australia And New Zealand Banking Group Limited   	ASX       
ANZKON    	Australia And New Zealand Banking Group Limited   	ASX       
ANZKOQ    	Australia And New Zealand Banking Group Limited   	ASX       
ANZKOR    	Australia And New Zealand Banking Group Limited   	ASX       
ANZKOU    	Australia And New Zealand Banking Group Limited   	ASX       
ANZKOV    	Australia And New Zealand Banking Group Limited   	ASX       
ANZKOW    	Australia And New Zealand Banking Group Limited   	ASX       
ANZKOX    	Australia And New Zealand Banking Group Limited   	ASX       
ANZLOA    	Australia And New Zealand Banking Group Limited   	ASX       
ANZLOC    	Australia And New Zealand Banking Group Limited   	ASX       
ANZLOE    	Australia And New Zealand Banking Group Limited   	ASX       
ANZLOF    	Australia And New Zealand Banking Group Limited   	ASX       
ANZLOG    	Australia And New Zealand Banking Group Limited   	ASX       
ANZLOH    	Australia And New Zealand Banking Group Limited   	ASX       
ANZLOP    	Australia And New Zealand Banking Group Limited   	ASX       
ANZLOR    	Australia And New Zealand Banking Group Limited   	ASX       
ANZLOT    	Australia And New Zealand Banking Group Limited   	ASX       
ANZLOU    	Australia And New Zealand Banking Group Limited   	ASX       
ANZLOV    	Australia And New Zealand Banking Group Limited   	ASX       
ANZLOW    	Australia And New Zealand Banking Group Limited   	ASX       
ANZMOR    	Australia And New Zealand Banking Group Limited   	ASX       
ANZMOS    	Australia And New Zealand Banking Group Limited   	ASX       
ANZMOT    	Australia And New Zealand Banking Group Limited   	ASX       
ANZPD     	Australia And New Zealand Banking Group Limited   	ASX       
ANZPE     	Australia And New Zealand Banking Group Limited   	ASX       
ANZPF     	Australia And New Zealand Banking Group Limited   	ASX       
ANZPG     	Australia And New Zealand Banking Group Limited   	ASX       
ANZPH     	Australia And New Zealand Banking Group Limited   	ASX       
AO1       	Assetowl Limited                                  	ASX       
AO1OA     	Assetowl Limited                                  	ASX       
AOA       	                                                  	ASX       
AOD       	Aurora Sandringham Dividend Income Trust          	ASX       
AOF       	AMP Office Trust                                  	ASX       
AOG       	Aveo Group                                        	ASX       
AOGKOA    	Aveo Group                                        	ASX       
AOK       	Austex Oil Ltd                                    	ASX       
AON       	Apollo Minerals Ltd                               	ASX       
AOP       	Apollo Life Sciences Ltd                          	ASX       
AOU       	Auroch Minerals Nl                                	ASX       
AOW       	American Patriot Oil & Gas Limited                	ASX       
AOWOB     	American Patriot Oil & Gas Limited                	ASX       
APA       	Australian Pipeline Trust                         	ASX       
APABOD    	Apa Group                                         	ASX       
APAKOR    	Apa Group                                         	ASX       
APC       	Australian Potash Limited                         	ASX       
APCOA     	Australian Potash Limited                         	ASX       
APD       	APN Property Group Ltd                            	ASX       
APE       	AP Eagers Holdings Ltd                            	ASX       
APG       	Austpac Gold Resources NL                         	ASX       
API       	Australian Pharmaceutical Ind Ltd                 	ASX       
APL       	Australian Plantation Timber Ltd                  	ASX       
APT       	Afterpay Touch Group Limited                      	ASX       
APTKOH    	Afterpay Touch Group Limited                      	ASX       
APW       	Aims Property Securities Fund                     	ASX       
APX       	Appen Limited                                     	ASX       
APXKOE    	Appen Limited                                     	ASX       
APXKOF    	Appen Limited                                     	ASX       
APXKOG    	Appen Limited                                     	ASX       
APZ       	Aspen Group                                       	ASX       
AQC       	Australian Pacific Coal Limited                   	ASX       
AQD       	AusQuest Ltd                                      	ASX       
AQG       	Alacer Gold Corp                                  	ASX       
AQI       	Alicanto Minerals Limited                         	ASX       
AQIO      	Alicanto Minerals Limited                         	ASX       
AQS       	Aquis Entertainment Limited                       	ASX       
AQX       	Alice Queen Limited                               	ASX       
AQZ       	Alliance Aviation Services Limited                	ASX       
AR9       	Archtis Limited                                   	ASX       
ARA       	Ariadne Australia Ltd                             	ASX       
ARB       	Arb Corporation Limited.                          	ASX       
ARC       	Amalg Resources Nl                                	ASX       
ARCO      	Australian Rural Capital Limited                  	ASX       
ARD       	Argent Minerials Lts                              	ASX       
ARDO      	Argent Minerials Lts                              	ASX       
ARDOA     	Argent Minerals Limited                           	ASX       
ARE       	Argonaut Resources NL                             	ASX       
ARF       	Arena Reit                                        	ASX       
ARG       	Argo Investments Ltd                              	ASX       
ARI       	Arrium Limited                                    	ASX       
ARL       	Austrim                                           	ASX       
ARM       	Aurora Minerals Ltd                               	ASX       
ARN       	Arnotts Ltd t/over Campbell Soup Co               	ASX       
ARO       	Astro Diamond Mines NL                            	ASX       
ARQ       	ARC Energy Ltd                                    	ASX       
ARS       	Alt Resources Limited                             	ASX       
ARU       	Arafura Resources NL                              	ASX       
ARV       	Artemis Resources Ltd                             	ASX       
ARX       	Austindo Resources Corporation NL                 	ASX       
AS1       	Angel Seafood Holdings Ltd                        	ASX       
ASB       	Austal Ltd                                        	ASX       
ASG       	Autosports Group Limited.                         	ASX       
ASH       	Ashley Services Group Limited                     	ASX       
ASIA      	ASIA                                              	ASX       
ASL       	Ausdrill Ltd                                      	ASX       
ASN       	Anson Resources Limited                           	ASX       
ASP       	Aspermont Ltd                                     	ASX       
AST       	Ausnet Services                                   	ASX       
ASTKOA    	Ausnet Services Limited                           	ASX       
ASTKOB    	Ausnet Services Limited                           	ASX       
ASW       	Advanced Share Registry Ltd                       	ASX       
ASX       	Australian Stock Exchange Ltd                     	ASX       
ASXKOA    	Asx Limited                                       	ASX       
ASXKOD    	Asx Limited                                       	ASX       
ASXKOP    	Asx Limited                                       	ASX       
ASXKOR    	Asx Limited                                       	ASX       
ASXKOT    	Asx Limited                                       	ASX       
ATA       	Atc Alloys Ltd                                    	ASX       
ATC       	Advantage Telecommunications Ltd                  	ASX       
ATL       	Auto Enterprises Ltd                              	ASX       
ATM       	Aneka Tambang (Persero) Tbk (Indo)                	ASX       
ATP       	Atlas Pacific Ltd                                 	ASX       
ATR       	Astron Ltd                                        	ASX       
ATS       	Australis Oil & Gas Limited                       	ASX       
ATT       	Amnett Ltd                                        	ASX       
ATU       	Atrum Coal Nl                                     	ASX       
ATUO      	Atrum Coal Limited                                	ASX       
ATX       	Austminex Ltd                                     	ASX       
AU1       	Ausnet Financial Services Limited                 	ASX       
AU1O      	Ausnet Financial Services Limited                 	ASX       
AU8       	Aumake International Limited                      	ASX       
AUB       	Austbrokers Holdings Ltd                          	ASX       
AUC       	Ausgold Limited                                   	ASX       
AUH       	Australian Healthcare Technology Ltd              	ASX       
AUI       	Australian United Investment Ltd                  	ASX       
AUL       	Australian United Gold Ltd                        	ASX       
AULOD     	Austar Gold Limited                               	ASX       
AUMF      	AUMF                                              	ASX       
AUP       	Aurora Property Income Trust                      	ASX       
AUQ       	Alara Uranium Ltd                                 	ASX       
AUR       	Auris Minerals Limited                            	ASX       
AUROC     	Auris Minerals Limited                            	ASX       
AUST      	AUST                                              	ASX       
AUT       	Aurora Oil & Gas Ltd                              	ASX       
AUZ       	Australian Mines Ltd                              	ASX       
AV1       	Adveritas Limited                                 	ASX       
AV1O      	Adveritas Limited                                 	ASX       
AVA       	Aviva Corporation Ltd                             	ASX       
AVC       	Australian Visual Communications                  	ASX       
AVG       	Australian Vintage Ltd t/over by SWS              	ASX       
AVH       	Avita Medical Ltd                                 	ASX       
AVJ       	AV Jennings Homes Ltd                             	ASX       
AVL       	Anvil Mining Nl                                   	ASX       
AVLO      	                                                  	ASX       
AVN       	Avon Resources Ltd                                	ASX       
AVQ       	Axiom Mining Ltd                                  	ASX       
AVQO      	Axiom Mining Limited                              	ASX       
AVW       	Avira Energy Limited                              	ASX       
AVZ       	Avonlea Minerals Ltd                              	ASX       
AVZO      	Avz Minerals Limited                              	ASX       
AWC       	Alumina Ltd                                       	ASX       
AWCKOA    	Alumina Limited                                   	ASX       
AWCKOC    	Alumina Limited                                   	ASX       
AWCKOD    	Alumina Limited                                   	ASX       
AWCKOE    	Alumina Limited                                   	ASX       
AWCKOG    	Alumina Limited                                   	ASX       
AWCKOQ    	Alumina Limited                                   	ASX       
AWCKOS    	Alumina Limited                                   	ASX       
AWCKOT    	Alumina Limited                                   	ASX       
AWCKOU    	Alumina Limited                                   	ASX       
AWCKOX    	Alumina Limited                                   	ASX       
AWN       	Arowana International Limited                     	ASX       
AWV       	Anova Metals Limited                              	ASX       
AWY       	Australian Whisky Holdings Limited                	ASX       
AX1       	Accent Group Limited                              	ASX       
AX8       	Accelerate Resources Limited                      	ASX       
AXE       	Archer Exploration Ltd                            	ASX       
AXI       	Axiom Properties Ltd                              	ASX       
AXL       	Aucxis                                            	ASX       
AXLHA     	Axsesstoday Limited                               	ASX       
AXP       	Airxpanders Inc                                   	ASX       
AXT       	Argo Exploration Ltd                              	ASX       
AYF       	Australian Enhanced Income Fund                   	ASX       
AYI       	A1 Investments & Resources Ltd                    	ASX       
AYK       	Australian Masters Yield Fund No 4 Limited        	ASX       
AYM       	Altius Mining Limited                             	ASX       
AYR       	Alloy Resources Ltd                               	ASX       
AYS       	Amaysim Australia Limited                         	ASX       
AYUHB     	Australian Unity Limited                          	ASX       
AYZ       	Australian Masters Yield Fund No 5 Limited        	ASX       
AZI       	Alta Zinc Limited                                 	ASX       
AZJ       	Aurizon Holdings Limited                          	ASX       
AZJKOA    	Aurizon Holdings Limited                          	ASX       
AZJKOB    	Aurizon Holdings Limited                          	ASX       
AZJKOE    	Aurizon Holdings Limited                          	ASX       
AZJKOP    	Aurizon Holdings Limited                          	ASX       
AZJKOQ    	Aurizon Holdings Limited                          	ASX       
AZJKOR    	Aurizon Holdings Limited                          	ASX       
AZJKOS    	Aurizon Holdings Limited                          	ASX       
AZM       	Azumah Resources Ltd                              	ASX       
AZS       	Azure Minerals Ltd                                	ASX       
AZV       	Azure Healthcare Limited                          	ASX       
AZY       	Antipa Minerals Limited                           	ASX       
B2Y       	Bounty Mining Limited                             	ASX       
