BRFI      	Blackrock Frontiers Investment Trust Plc          	LSE       
BRGE      	Blackrock Greater Europe Investment Trus          	LSE       
BRH       	Braveheart Investment Group Plc                   	LSE       
BRIC      	Ishares II Plc                                    	LSE       
BRICUL2X  	FTSE BRIC 50 2X Daily Su                          	LSE       
BRICUL3X  	FTSE BRIC 50 3X Daily Le                          	LSE       
BRICUS1X  	FTSE BRIC 50 Daily Short                          	LSE       
BRICUS2X  	FTSE BRIC 50 2X Daily Sh                          	LSE       
BRICUS3X  	FTSE BRIC 50 3X Daily Sh                          	LSE       
BRIG      	Blackrock Income and Growth Investment T          	LSE       
BRK       	Brooks Macdonald Group Plc                        	LSE       
BRLA      	Blackrock Latin American Investment Trus          	LSE       
BRNA      	Blackrock North American                          	LSE       
BRND      	Boost Issuer Public Limi                          	LSE       
BRNT      	ETFS Commodity Securities Limited                 	LSE       
BRSC      	Blackrock Smaller Co Trust Plc                    	LSE       
BRSN      	Berendsen Plc                                     	LSE       
BRU1      	Bruntwood Investments Pl                          	LSE       
BRW       	Brewin Dolphin Holdings Plc                       	LSE       
BRWM      	Blackrock World Mining Trust Plc                  	LSE       
BRY       	Brady Plc                                         	LSE       
BRZ       	Amundi Investment Solutions                       	LSE       
BSC       	British Smaller Companies Vct2 Plc                	LSE       
BSE       	Base Resources Limited                            	LSE       
BSIF      	Bluefield Solar Income F                          	LSE       
BSRT      	Baker Steel Resources Trust Limited               	LSE       
BSV       	British Smaller Companies Vct Plc                 	LSE       
BT.A      	Bt Group Plc                                      	LSE       
BTEM      	British Empire Securities & General Trus          	LSE       
BTG       	Btg Plc                                           	LSE       
BULL      	ETFS Commodity Securities Limited                 	LSE       
BULP      	ETFS Commodity Securities Limited                 	LSE       
BUPF      	Bupa Finance Plc                                  	LSE       
BUR       	Burford Capital Limited                           	LSE       
BUR1      	Burford Capital Plc                               	LSE       
BUR2      	Burford Capital Plc                               	LSE       
BUT       	Brunner Investment Trust Plc                      	LSE       
BUYB      	Powershares Glbal Funds                           	LSE       
BVA       	Banco Bilbao Vizcaya Argentaria Sa                	LSE       
BVC       	Batm Advanced Communications Ld                   	LSE       
BVIC      	Britvic Plc                                       	LSE       
BVM       	Belgravium Technologies Plc                       	LSE       
BVS       	Bovis Homes Group Plc                             	LSE       
BVT       	Baronsmead Vct 2 Plc                              	LSE       
BVXP      	Bioventix Plc                                     	LSE       
BWNG      	Brown [N] Group Plc                               	LSE       
BWRA      	Bristol Water Plc                                 	LSE       
BWSA      	Bristol & West Plc                                	LSE       
BWY       	Bellway Plc                                       	LSE       
BXP       	Beximco Pharmaceuticals Limited                   	LSE       
BYBG      	Amundi ETF                                        	LSE       
BYBU      	Amundi ETF                                        	LSE       
BYG       	Big Yellow Group Plc                              	LSE       
BYOT      	Byotrol Plc                                       	LSE       
BZM       	Bellzone Mining Plc                               	LSE       
BZT       	Bezant Resources Plc                              	LSE       
C21       	21St Century Technology                           	LSE       
C4XD      	C4X Discovery Holdings P                          	LSE       
CACX      	Lyxor International Asse                          	LSE       
CAD       	Cadogan Petroleum Plc                             	LSE       
CADP      	ETFS Foreign Exchange Limited                     	LSE       
CAF       	China Africa Resources Plc                        	LSE       
CAF1      	Retail Charity Bonds Plc                          	LSE       
CAKE      	Patisserie Holdings Plc                           	LSE       
CAL       	Capital & Regional Plc                            	LSE       
CALL      	Cloudcall Group Plc                               	LSE       
CAM       	Camellia Plc                                      	LSE       
CAMB      	Cambria Automobiles Plc                           	LSE       
CAML      	Central Asia Metals Plc                           	LSE       
CAPC      	Capital & Counties Properties Plc                 	LSE       
CAPD      	Capital Drilling Limited                          	LSE       
CAPU      	Ossiam Lux                                        	LSE       
CAR       	Carclo Plc                                        	LSE       
CARD      	Card Factory Plc                                  	LSE       
CARR      	Carr's Group Plc                                  	LSE       
CASE      	Go Ucits ETF Solutions P                          	LSE       
CASH      	Go Ucits ETF Solutions P                          	LSE       
CAT       	Catco Reinsurance Opportunities Fund Lim          	LSE       
CATC      	Catco Reinsurance Opportunities Fund Lim          	LSE       
CATL      	ETFS Commodity Securities Limited                 	LSE       
CAU       	Centaur Media Plc                                 	LSE       
CAY       	Charles Stanley Group Plc                         	LSE       
CAZA      	Caza Oil & Gas Inc                                	LSE       
CB5       	Amundi ETF                                        	LSE       
CBE3      	Ishares Vii Plc                                   	LSE       
CBE7      	Ishares Vii Plc                                   	LSE       
CBG       	Close Brothers Group Plc                          	LSE       
CBKD      	Commercial International                          	LSE       
CBP       	Curtis Banks Group Plc                            	LSE       
CBQS      	The Commercial Bank of Q                          	LSE       
CBR1      	Ishares Vii Plc                                   	LSE       
CBU0      	Ishares Vii Plc                                   	LSE       
CBU3      	Ishares Vii Plc                                   	LSE       
CBU7      	Ishares Vii Plc                                   	LSE       
CBUY      	Cloudbuy Plc                                      	LSE       
CC1U      	Amundi ETF                                        	LSE       
CCAP      	Charlemagne Capital Limited                       	LSE       
CCAU      	Ishares Vii Plc                                   	LSE       
CCC       	Computacenter Plc                                 	LSE       
CCH       	Coca-Cola Hbc Ag                                  	LSE       
CCJI      	CC Japan Income & Growth Trust Plc                	LSE       
CCL       	Carnival Plc                                      	LSE       
CCP       	Celtic Plc                                        	LSE       
CCPA      	Celtic Plc                                        	LSE       
CCPC      	Celtic Plc                                        	LSE       
CCPE      	Cvc Credit Partners Euro                          	LSE       
CCPG      	Cvc Credit Partners Euro                          	LSE       
CCR       	C&C Group Plc                                     	LSE       
CCSL      	Chenavari Capital Soluti                          	LSE       
CCT       	Character Group Plc                               	LSE       
CD6       	Amundi ETF                                        	LSE       
CDFF      	Cardiff Property Plc                              	LSE       
CDI       	Candover Investments Plc                          	LSE       
CDIS      	SSGA SPDR ETFS Europe II                          	LSE       
CDOG      	Cdialogues Plc                                    	LSE       
CE01      	Ishares Vii Plc                                   	LSE       
CE31      	Ishares Vii Plc                                   	LSE       
CE71      	Ishares Vii Plc                                   	LSE       
CE9G      	Amundi ETF                                        	LSE       
CE9U      	Amundi ETF                                        	LSE       
CEA1      	Ishares Vii Plc                                   	LSE       
CECD      	Lyxor International Asse                          	LSE       
CECL      	Lyxor International Asse                          	LSE       
CEIR      	Compal Electronics Inc                            	LSE       
CEMA      	CS ETF [Ie] Plc                                   	LSE       
CEPS      	Ceps Plc                                          	LSE       
CER       	Cerillion Plc                                     	LSE       
CES1      	Ishares Vii Plc                                   	LSE       
CEU       	CS ETF [Ie] Plc                                   	LSE       
CEU1      	Ishares Vii Plc                                   	LSE       
CEUR      	Amundi Investment Solutions                       	LSE       
CEUS      	CS ETF [Ie] Plc                                   	LSE       
CEY       	Centamin Plc                                      	LSE       
CFHS      	Cathay Financial Holding                          	LSE       
CFX       	Colefax Group Plc                                 	LSE       
CFYN      	Caffyns Plc                                       	LSE       
CG1       	Amundi ETF                                        	LSE       
CGB       	DB X-Trackers II                                  	LSE       
CGH       	Chaarat Gold Holdings Ltd                         	LSE       
CGI       	Canadian General Investments Ld                   	LSE       
CGLO      	Chagala Group Limited                             	LSE       
CGNR      	Conroy Gold & Natural Resources Plc               	LSE       
CGS       	Castings Plc                                      	LSE       
CGT       	Capital Gearing Trust Plc                         	LSE       
CGW       	Chelverton Growth Trust Plc                       	LSE       
CH1       	Amundi ETF                                        	LSE       
CH5       	Amundi ETF                                        	LSE       
CH80      	FTSE China Index                                  	LSE       
CHA       	Concha Plc                                        	LSE       
CHAL      	Challenger Acquisitions                           	LSE       
CHAR      	Chariot Oil & Gas Limited                         	LSE       
CHE       	Ojsc Cherkizovo Group                             	LSE       
CHFP      	ETFS Foreign Exchange Limited                     	LSE       
CHG       	Chemring Group Plc                                	LSE       
CHGB      	ETFS Foreign Exchange Limited                     	LSE       
CHH       	Churchill China Plc                               	LSE       
CHL       	Churchill Mining Plc                              	LSE       
CHNA      	Source CSOP Markets Plc                           	LSE       
CHNP      	Source CSOP Markets Plc                           	LSE       
CHOC      	United Cacao Limited Sez                          	LSE       
CHOO      	Jimmy Choo Plc                                    	LSE       
CHRT      	Cohort Plc                                        	LSE       
CHT       	Constellation Healthcare                          	LSE       
CHZN      	Jsc Chelyabinsk Zinc Pla                          	LSE       
CI1       	Amundi ETF                                        	LSE       
CI2U      	Amundi ETF                                        	LSE       
CIC       	Conygar Investment Company Plc [The]              	LSE       
CICZ      	Conygar Zdp Plc                                   	LSE       
CID1      	Ishares Vii Plc                                   	LSE       
CIFU      	Carador Income Fund Plc                           	LSE       
CIN       	City of London Group Plc                          	LSE       
CIND      	CS ETF [Ie] Plc                                   	LSE       
CINE      	Cineworld Group Plc                               	LSE       
CIR       	Circassia Pharmaceutical                          	LSE       
CIRC      	Circle Holdings Plc                               	LSE       
CITY      	Cityfibre Infrastructure Holdings Plc             	LSE       
CIU       	Cape Plc                                          	LSE       
CJPU      	Ishares Vii Plc                                   	LSE       
CKN       	Clarkson Plc                                      	LSE       
CKR1      	Ishares Vii Plc                                   	LSE       
CLDN      	Caledonia Investments Plc                         	LSE       
CLG       	Clipper Logistics Plc                             	LSE       
CLI       	Cls Holdings Plc                                  	LSE       
CLIG      	City of London Investment Group Plc               	LSE       
CLIN      	Clinigen Group Plc                                	LSE       
CLL       	Cello Group Plc                                   	LSE       
CLLN      	Carillion Plc                                     	LSE       
CLNR      	Cluff Natural Resources Plc                       	LSE       
CLON      	Clontarf Energy Plc                               	LSE       
CLP       	Clear Leisure Plc                                 	LSE       
CLS1      	Cls Holdings Plc                                  	LSE       
CLST      	Clearstar Inc.                                    	LSE       
CLSU      	Clearstar Inc.                                    	LSE       
CLTV      	Cellcast Plc                                      	LSE       
CMB       	Cambria Africa Plc                                	LSE       
CMB1      	Ishares Vii Plc                                   	LSE       
CMBN      	Cambian Group Plc                                 	LSE       
CMCL      	Caledonia Mining Corporation                      	LSE       
CMCX      	Cmc Markets Plc                                   	LSE       
CMFP      	Etfx Fund Company Plc                             	LSE       
CMH       	Chamberlin Plc                                    	LSE       
CMHY      	City Merchants High Yield Trust Limited           	LSE       
CMIB      	CS ETF [Ie] Plc                                   	LSE       
CML       	Cml Microsystems Plc                              	LSE       
CMS       	Communisis Plc                                    	LSE       
CMU       	Amundi Investment Solutions                       	LSE       
CMX       	Catalyst Media Group Plc                          	LSE       
CMX1      	Ishares Vii Plc                                   	LSE       
CMXC      	CS ETF [Ie] Plc                                   	LSE       
CN1       	Amundi ETF                                        	LSE       
CNA       	Centrica Plc                                      	LSE       
CNAA      	Multi Units France                                	LSE       
CNC       	Concurrent Technologies Plc                       	LSE       
CNCT      	Connect Group Plc                                 	LSE       
CNDX      	CS ETF [Ie] Plc                                   	LSE       
CNE       	Cairn Energy Plc                                  	LSE       
CNEL      	China New Energy Limited                          	LSE       
CNG       	China Nonferrous Gold Li                          	LSE       
CNIC      	Centralnic Group Plc                              	LSE       
CNKS      	Cenkos Securities Plc                             	LSE       
CNKY      	CS ETF [Ie] Plc                                   	LSE       
CNMI      	Camper & Nicholsons Marina Investments L          	LSE       
CNN       	Caledonian Trust Plc                              	LSE       
CNR       	Condor Gold Plc                                   	LSE       
CNS       	Corero Network Security Plc                       	LSE       
CNSD      	China Steel Corporation                           	LSE       
CNX1      	Ishares Vii Plc                                   	LSE       
CNYA      	Ishares IV Plc                                    	LSE       
COA       	Coats Group Plc                                   	LSE       
COB       	Cobham Plc                                        	LSE       
COBN      	Cobham Plc                                        	LSE       
COCO      	ETFS Commodity Securities Limited                 	LSE       
COD       	Compagnie De Saint Gobain Sa                      	LSE       
COFF      	ETFS Commodity Securities Limited                 	LSE       
COG       	Cambridge Cognition Hold                          	LSE       
COGG      	Go Ucits ETF Solutions P                          	LSE       
COMF      	Etfx Fund Company Plc                             	LSE       
COMS      	Coms Plc                                          	LSE       
CON       	Connemara Mining Company Plc                      	LSE       
COP       	Circle Oil Plc                                    	LSE       
COPA      	ETFS Commodity Securities Limited                 	LSE       
COPL      	Canadian Overseas Petrol                          	LSE       
COR       	Coretx Holdings Plc                               	LSE       
CORE      	Go Ucits ETF Solutions P                          	LSE       
CORG      	Go Ucits ETF Solutions P                          	LSE       
CORN      	ETFS Commodity Securities Limited                 	LSE       
CORP      	Ishares Plc                                       	LSE       
COS       	Collagen Solutions Plc                            	LSE       
COST      	Costain Group Plc                                 	LSE       
COTN      	ETFS Commodity Securities Limited                 	LSE       
COUK      	Multi Units France                                	LSE       
CPG       	Compass Group Plc                                 	LSE       
CPI       	Capita Plc                                        	LSE       
CPJ1      	Ishares Vii Plc                                   	LSE       
CPP       	Cppgroup Plc                                      	LSE       
CPR       	Carpetright Plc                                   	LSE       
CPS       	Cpl Resources Plc                                 	LSE       
CPX       	Cap-Xx Limited                                    	LSE       
CPXJ      	CS ETF [Ie] Plc                                   	LSE       
CRAW      	Crawshaw Group Plc                                	LSE       
CRBL      	Lyxor International Asse                          	LSE       
CRBU      	Lyxor International Asse                          	LSE       
CRC       	Circle Property Plc                               	LSE       
CRDA      	Croda International Plc                           	LSE       
CRE       	Creston Plc                                       	LSE       
CRED      	Go Ucits ETF Solutions P                          	LSE       
CREG      	Go Ucits ETF Solutions P                          	LSE       
CREI      	Custodian REIT Plc                                	LSE       
CRGH      	Go Ucits ETF Solutions Plc                        	LSE       
CRH       	CRH Plc                                           	LSE       
CRL       	Creightons Plc                                    	LSE       
CRN       	Cairn Homes Plc                                   	LSE       
CRND      	Central Rand Gold Limited                         	LSE       
CRNL      	Lyxor International Asse                          	LSE       
CRON      	Cronin Group Plc                                  	LSE       
CROS      	Crossrider Plc                                    	LSE       
CRPH      	Ishares Vi Plc (The Comp                          	LSE       
CRPR      	Cropper [James] Plc                               	LSE       
CRPS      	Ishares Plc                                       	LSE       
CRPX      	Lyxor International Asse                          	LSE       
CRRY      	Lam Zyfin Global Markets Ucits ETF Plc            	LSE       
CRS       	Crystal Amber Fund Limited                        	LSE       
CRST      	Crest Nicholson Holdings                          	LSE       
CRU       	Coral Products Plc                                	LSE       
CRU1      	Ishares Vii Plc                                   	LSE       
CRUD      	ETFS Commodity Securities Limited                 	LSE       
CRV       	Craven House Capital Plc                          	LSE       
CRW       	Craneware Plc                                     	LSE       
CRWN      	Crown Place Vct Plc                               	LSE       
CRWU      	Ossiam Lux                                        	LSE       
CRX       	Cyprotex Plc                                      	LSE       
CS1       	Amundi ETF                                        	LSE       
CS5       	Amundi ETF                                        	LSE       
CS51      	Ishares Vii Plc                                   	LSE       
CSBR      	CS ETF [Ie] Plc                                   	LSE       
CSCA      	CS ETF [Ie] Plc                                   	LSE       
CSFG      	Csf Group Plc                                     	LSE       
CSG       	Sweett Group Plc                                  	LSE       
CSH2      	Lyxor Index Fund                                  	LSE       
CSHD      	Lyxor International Asse                          	LSE       
CSIA      	Multi Units France                                	LSE       
CSIL      	Multi Units France                                	LSE       
CSJP      	CS ETF [Ie] Plc                                   	LSE       
CSKR      	CS ETF [Ie] Plc                                   	LSE       
CSN       	Chesnara Plc                                      	LSE       
CSP       	Countryside Properties Plc                        	LSE       
CSP1      	Ishares Vii Plc                                   	LSE       
CSPX      	CS ETF [Ie] Plc                                   	LSE       
CSRT      	Consort Medical Plc                               	LSE       
CSRU      	CS ETF [Ie] Plc                                   	LSE       
CSSG      	Croma Security Solutions Group Plc                	LSE       
CSTP      	SSGA SPDR ETFS Europe II                          	LSE       
CSUK      	CS ETF [Ie] Plc                                   	LSE       
CSUS      	CS ETF [Ie] Plc                                   	LSE       
CSWG      	Amundi ETF                                        	LSE       
CSWU      	Amundi ETF                                        	LSE       
CSX5      	Ishares Vii Plc                                   	LSE       
CT5       	Amundi ETF                                        	LSE       
CTAG      	Cloudtag Inc                                      	LSE       
CTG       	Christie Group Plc                                	LSE       
CTH       	Caretech Holdings Plc                             	LSE       
CTI       	Cathay International Holdings Ld                  	LSE       
CTO       	Clarke [T.] Plc                                   	LSE       
CTP       	Castleton Technology Plc                          	LSE       
CTR       	Charles Taylor Plc                                	LSE       
CTY       	City of London Investment Trust Plc               	LSE       
CTYA      	City of London Investment Trust Plc               	LSE       
CU01      	Ishares Vii Plc                                   	LSE       
CU1       	Ishares Vii Plc                                   	LSE       
CU2G      	Amundi ETF                                        	LSE       
CU2U      	Amundi ETF                                        	LSE       
CU31      	Ishares Vii Plc                                   	LSE       
CU71      	Ishares Vii Plc                                   	LSE       
CUK       	Amundi Investment Solutions                       	LSE       
CUKL      	CS ETF [Ie] Plc                                   	LSE       
CUKS      	CS ETF [Ie] Plc                                   	LSE       
CUKX      	CS ETF [Ie] Plc                                   	LSE       
CURY      	Lam Zyfin Global Markets Ucits ETF Plc            	LSE       
CUS1      	Ishares Vii Plc                                   	LSE       
CUSS      	CS ETF [Ie] Plc                                   	LSE       
CVB       	Coventry Building Society                         	LSE       
CVBP      	Coventry Building Society                         	LSE       
CVR       	Conviviality Retail Plc                           	LSE       
CVSG      	CVS Group Plc                                     	LSE       
CW8U      	Amundi ETF                                        	LSE       
CWC       	Cable & Wireless Communications Plc               	LSE       
CWD       	Countrywide Plc                                   	LSE       
CWEG      	Amundi ETF                                        	LSE       
CWEU      	Amundi ETF                                        	LSE       
CWFG      	Amundi ETF                                        	LSE       
CWFU      	Amundi ETF                                        	LSE       
CWK       	Cranswick Plc                                     	LSE       
CWR       	Ceres Power Holdings Plc                          	LSE       
CYAN      	Cyan Holdings Plc                                 	LSE       
CYBG      	Cybg Plc                                          	LSE       
CYN       	City Natural Resources High Yield Trust           	LSE       
CYS       	Chrysalis Vct Plc                                 	LSE       
CZA       	Coal of Africa Limited                            	LSE       
CZB       	Commerzbank Ag                                    	LSE       
D467      	Downing Four Vct Plc                              	LSE       
D4OO      	Downing Four Vct Plc                              	LSE       
D4SO      	Downing Four Vct Plc                              	LSE       
DAIP      	Daily Internet Plc                                	LSE       
DAL       	Dalata Hotel Group Plc                            	LSE       
DALR      	Dalradian Resources Inc.                          	LSE       
DATA      	Globaldata Plc                                    	LSE       
DAXX      	Multi Units Luxembourg                            	LSE       
DBRC      	Ishares II Plc                                    	LSE       
DC        	Dixons Carphone                                   	LSE       
DCC       	Dcc Plc                                           	LSE       
DCD       	Dcd Media Plc                                     	LSE       
DCG       	Dairy Crest Group Plc                             	LSE       
DCI       	Dolphin Capital Investors Limited                 	LSE       
DCP       	Diamondcorp Plc                                   	LSE       
DCTA      	Directa Plus Plc                                  	LSE       
DDD       	DDD Group Plc                                     	LSE       
DDDD      	4D Pharma Plc                                     	LSE       
DDV1      	Downing One Vct Plc                               	LSE       
DEB       	Debenhams Plc                                     	LSE       
DEGOV01   	FTSE Germany Government                           	LSE       
DEIN      	Ishares II Plc                                    	LSE       
DEL2      	Go Ucits ETF Solutions P                          	LSE       
DEM       	Wisdomtree Issuer Plc                             	LSE       
DEMA      	Wisdomtree Issuer Plc                             	LSE       
DEMAEIV   	Wisdomtree Emerging Asia Equity Income U          	LSE       
DEMD      	Wisdomtree Issuer Plc                             	LSE       
DEMEIV    	Wisdomtree Emerging Mark                          	LSE       
DEMG      	Deltex Medical Group Plc                          	LSE       
DEMP      	Wisdomtree Issuer Plc                             	LSE       
DES2      	Go Ucits ETF Solutions P                          	LSE       
DESD      	Wisdomtree Issuer Plc                             	LSE       
DESE      	Wisdomtree Issuer Plc                             	LSE       
DESEEIV   	Wisdomtree US Smallcap D                          	LSE       
DFE       	Wisdomtree Issuer Plc                             	LSE       
DFEE      	Wisdomtree Issuer Plc                             	LSE       
DFEIV     	Wisdomtree Europe Smallc                          	LSE       
DFS       	Dfs Furniture Plc                                 	LSE       
DFX       	Defenx Plc                                        	LSE       
DGB       	Digital Barriers Plc                              	LSE       
DGE       	Diageo Plc                                        	LSE       
DGED      	Diageo Plc                                        	LSE       
DGS       	Digital Globe Services                            	LSE       
DGSD      	Wisdomtree Issuer Plc                             	LSE       
DGSE      	Wisdomtree Issuer Plc                             	LSE       
DGSEEIV   	Wisdomtree Emerging Mark                          	LSE       
DH2O      	Ishares II Plc                                    	LSE       
DHS       	Wisdomtree Issuer Plc                             	LSE       
DHSD      	Wisdomtree Issuer Plc                             	LSE       
DHSEIV    	Wisdomtree US Equity Inc                          	LSE       
DIA       	Dialight Plc                                      	LSE       
DIG       	Dunedin Income Growth Investment Trust P          	LSE       
DIGS      	Gcp Student Living Plc                            	LSE       
DIL2      	Damille Investments II L                          	LSE       
DIS       	Distil Plc                                        	LSE       
DISG      	Multi Units Luxembourg                            	LSE       
DISW      	Multi Units Luxembourg                            	LSE       
DIVI      	Diverse Income Trust [The] Plc                    	LSE       
DJAN      	Daejan Holdings Plc                               	LSE       
DJEL      	Lyxor International Asse                          	LSE       
DJEU      	Lyxor International Asse                          	LSE       
DJI       	Dji Holdings Plc                                  	LSE       
DJMC      	Ishares Plc                                       	LSE       
DJSC      	Ishares Plc                                       	LSE       
DKL       	Dekeloil Public Limited                           	LSE       
DKUS      	FTSE Nasdaq Dubai Kuwait 15 Shariah Inde          	LSE       
DKUW      	FTSE Nasdaq Dubai Kuwait 15 Index                 	LSE       
DL2P      	Go Ucits ETF Solutions P                          	LSE       
DLAR      	De La Rue Plc                                     	LSE       
DLG       	Direct Line Insurance Gr                          	LSE       
DLN       	Derwent London Plc                                	LSE       
DLTM      	Ishares II Plc                                    	LSE       
DMGT      	Daily Mail & General Trust Plc                    	LSE       
DNA       	Doric Nimrod Air One Limited                      	LSE       
DNA2      	Doric Nimrod Air Two Lim                          	LSE       
DNA3      	Doric Nimrod Air Three L                          	LSE       
DNDL      	Dunedin Smaller Companies Investment Tru          	LSE       
DNE       	Dunedin Enterprise Investment Trust Plc           	LSE       
DNLM      	Dunelm Group Plc                                  	LSE       
DNRG      	Ishares II Plc                                    	LSE       
DODS      	Dods [Group] Plc                                  	LSE       
DOM       	Domino's Pizza Group Plc                          	LSE       
DOTD      	Dotdigital Group Plc                              	LSE       
DP2F      	Downing Two Vct Plc                               	LSE       
DPA       	Dp Aircraft I Limited                             	LSE       
DPH       	Dechra Pharmaceuticals Plc                        	LSE       
DPLM      	Diploma Plc                                       	LSE       
DPP       	Dp Poland Plc                                     	LSE       
DQAS      	FTSE Nasdaq Dubai Qatar 10 Shariah Index          	LSE       
DQAT      	FTSE Nasdaq Dubai Qatar 10 Index                  	LSE       
DREF      	Duet Real Estate Finance Limited                  	LSE       
DRG       	Draganfly Investments Limited                     	LSE       
DRIP      	Drum Income Plus REIT Pl                          	LSE       
DRS       	Drs Data & Research Services Plc                  	LSE       
DRTY      	Darty Plc                                         	LSE       
DRV       	Driver Group Plc                                  	LSE       
DRX       	Drax Group Plc                                    	LSE       
DS2P      	Go Ucits ETF Solutions P                          	LSE       
DSG       	Dillistone Group Plc                              	LSE       
DSUK      	Multi Units France                                	LSE       
DSUS      	Multi Units France                                	LSE       
DTC       	Datatec Limited                                   	LSE       
DTG       	Dart Group Plc                                    	LSE       
DTY       	Dignity Plc                                       	LSE       
DUAE      	FTSE Nasdaq Dubai UAE 20 Index USD                	LSE       
DUAED     	FTSE Nasdaq Dubai UAE 20 Index Aed                	LSE       
DUKE      	Duke Royalty Limited                              	LSE       
DUPD      	Dragon-Ukrainian Properties & Developmen          	LSE       
DVO       	Devro Plc                                         	LSE       
DVT       	Davictus Plc                                      	LSE       
DVUK      	Source Markets II Plc                             	LSE       
DVUS      	Source Markets II Plc                             	LSE       
DVW       	Dee Valley Group Plc                              	LSE       
DVWA      	Dee Valley Group Plc                              	LSE       
DWCG      	DW Catalyst Fund Limited                          	LSE       
DWHA      	Dewhurst Plc                                      	LSE       
DWHT      	Dewhurst Plc                                      	LSE       
DWOD      	Ishares II Plc                                    	LSE       
DX        	DX Group                                          	LSE       
DXGEEIV   	Wt Geequcetfusdhine                               	LSE       
DXGP      	Wisdomtree Issuer Plc                             	LSE       
DXGPIV    	Wisdomtree Germany Equit                          	LSE       
DXGY      	Wisdomtree Issuer Plc                             	LSE       
DXGYEIV   	Wisdomtree Germany Equity Ucits ETF - EU          	LSE       
DXGZ      	Wisdomtree Issuer Plc                             	LSE       
DXJ       	Wisdomtree Issuer Plc                             	LSE       
DXJEIV    	Wisdomtree Japan Equity                           	LSE       
DXJFEIV   	Wisdomtree Japan Equity Ucits ETF - EUR           	LSE       
DXJP      	Wisdomtree Issuer Plc                             	LSE       
DXJPEIV   	Wt Jpequcetfgbphine                               	LSE       
DXJZEIV   	Wisdomtree Japan Equity Ucits ETF - Jpy           	LSE       
E0500     	FTSE Eurofirst Oil & Gas                          	LSE       
E0EU      	FTSE Epra/Nareit Euro Zo                          	LSE       
E0RA      	FTSE Epra/Nareit Europe                           	LSE       
E0UK      	FTSE Epra/Nareit Europe                           	LSE       
E1300     	FTSE Eurofirst Chemicals                          	LSE       
E1700     	FTSE Eurofirst Basic Res                          	LSE       
E1X       	FTSE Eurotop 100                                  	LSE       
E20Y      	Ishares IV Plc                                    	LSE       
E2300     	FTSE Eurofirst Construct                          	LSE       
E2700     	FTSE Eurofirst Industria                          	LSE       
E2V       	E2V Technologies Plc                              	LSE       
E3300     	FTSE Eurofirst Automobil                          	LSE       
E3500     	FTSE Eurofirst Food & BE                          	LSE       
E3700     	FTSE Eurofirst Personal                           	LSE       
E3X       	FTSE Eurofirst 300                                	LSE       
E3X0001   	FTSE Efst300 Oil & Gas                            	LSE       
E3X0530   	FTSE Efst300 Oil & Gas P                          	LSE       
E3X0580   	Ftseurofirst 300 Alterna                          	LSE       
E3X1000   	FTSE Efst300 Basic Mater                          	LSE       
E3X1350   	FTSE Efst300 Chemicals                            	LSE       
E3X1730   	FTSE Efst300 Forestry &                           	LSE       
E3X1750   	FTSE Efst300 Industrial                           	LSE       
E3X1770   	FTSE Efst300 Mining                               	LSE       
E3X2000   	FTSE Efst300 Industrials                          	LSE       
E3X2350   	FTSE Efst300 Constructio                          	LSE       
E3X2710   	FTSE Efst300 Aerospace &                          	LSE       
E3X2720   	FTSE Efst300 General Ind                          	LSE       
E3X2730   	FTSE Efst300 Electronic&                          	LSE       
E3X2750   	FTSE Efst300 Industrial                           	LSE       
E3X2770   	FTSE Efst300 Industrial                           	LSE       
E3X2790   	FTSE Efst300 Support Ser                          	LSE       
E3X3000   	FTSE Efst300 Consumer Go                          	LSE       
E3X3350   	FTSE Efst300 Automobiles                          	LSE       
E3X3530   	FTSE Efst300 Beverages                            	LSE       
E3X3570   	FTSE Efst300 Food Produc                          	LSE       
E3X3720   	FTSE Efst300 Household G                          	LSE       
E3X3760   	FTSE Efst300 Personal Go                          	LSE       
E3X3780   	FTSE Efst300 Tobacco                              	LSE       
E3X4000   	FTSE Efst300 Health Care                          	LSE       
E3X4530   	FTSE Efst300 Health Care                          	LSE       
E3X4570   	FTSE Efst300 Pharmaceuti                          	LSE       
E3X5000   	FTSE Efst300 Consumer Se                          	LSE       
E3X5330   	FTSE Efst300 Food & Drug                          	LSE       
E3X5370   	FTSE Efst300 General Ret                          	LSE       
E3X5550   	FTSE Efst300 Media                                	LSE       
E3X5750   	FTSE Efst300 Travel & Le                          	LSE       
E3X6000   	FTSE Efst300 Telecommuni                          	LSE       
E3X6530   	FTSE Efst300 Fixed Line                           	LSE       
E3X6570   	FTSE Efst300 Mobile Tele                          	LSE       
E3X7000   	FTSE Efst300 Utilities                            	LSE       
E3X7530   	FTSE Efst300 Electricity                          	LSE       
E3X7570   	FTSE Efst300 Gas Water &                          	LSE       
E3X8000   	FTSE Efst300 Financials                           	LSE       
E3X8350   	FTSE Efst300 Banks                                	LSE       
E3X8530   	FTSE Efst300 Nonlife Ins                          	LSE       
E3X8570   	FTSE Efst300 Life Insura                          	LSE       
E3X8630   	Ftseurofirst 300  Real Estate Investment          	LSE       
E3X8670   	FTSE Eurofirst 300 Real                           	LSE       
E3X8770   	FTSE Efst300 General Fin                          	LSE       
E3X9000   	FTSE Efst300 Technology                           	LSE       
E3X9530   	FTSE Efst300 Software&Co                          	LSE       
