A9H19     	MSCI EAFE NTR Index {Mar 19}                      	NYBOT     
S2M19     	MSCI EMLA Index {Jun 19}                          	NYBOT     
S2U19     	MSCI EMLA Index {Sep 19}                          	NYBOT     
S2Z18     	MSCI EMLA Index {Dec 18}                          	NYBOT     
S2Z19     	MSCI EMLA Index {Dec 19}                          	NYBOT     
SB        	Sugar #11                                         	NYBOT     
SBH19     	Sugar #11 {Mar 19}                                	NYBOT     
SBH20     	Sugar #11 {Mar 20}                                	NYBOT     
SBH21     	Sugar #11 {Mar 21}                                	NYBOT     
SBK19     	Sugar #11 {May 19}                                	NYBOT     
SBK20     	Sugar #11 {May 20}                                	NYBOT     
SBK21     	Sugar #11 {May 21}                                	NYBOT     
SBN19     	Sugar #11 {Jul 19}                                	NYBOT     
SBN20     	Sugar #11 {Jul 20}                                	NYBOT     
SBN21     	Sugar #11 {Jul 21}                                	NYBOT     
SBV19     	Sugar #11 {Oct 19}                                	NYBOT     
SBV20     	Sugar #11 {Oct 20}                                	NYBOT     
SBV21     	Sugar #11 {Oct 21}                                	NYBOT     
SDF19     	Sugar #16 {Jan 19}                                	NYBOT     
SDF20     	Sugar #16 {Jan 20}                                	NYBOT     
SDH19     	Sugar #16 {Mar 19}                                	NYBOT     
SDH20     	Sugar #16 {Mar 20}                                	NYBOT     
SDK19     	Sugar #16 {May 19}                                	NYBOT     
SDK20     	Sugar #16 {May 20}                                	NYBOT     
SDN19     	Sugar #16 {Jul 19}                                	NYBOT     
SDN20     	Sugar #16 {Jul 20}                                	NYBOT     
SDU19     	Sugar #16 {Sep 19}                                	NYBOT     
SDU20     	Sugar #16 {Sep 20}                                	NYBOT     
SDX19     	Sugar #16 {Nov 19}                                	NYBOT     
SDX20     	Sugar #16 {Nov 20}                                	NYBOT     
SS        	Pound/Swiss                                       	NYBOT     
SSH19     	Pound/Swiss {Mar 19}                              	NYBOT     
SSM19     	Pound/Swiss {Jun 19}                              	NYBOT     
SSU19     	Pound/Swiss {Sep 19}                              	NYBOT     
SSZ18     	Pound/Swiss {Dec 18}                              	NYBOT     
SY        	Pound/Yen                                         	NYBOT     
SYH19     	Pound/Yen {Mar 19}                                	NYBOT     
SYM19     	Pound/Yen {Jun 19}                                	NYBOT     
SYU19     	Pound/Yen {Sep 19}                                	NYBOT     
SYZ18     	Pound/Yen {Dec 18}                                	NYBOT     
UY        	Dollar/Forint                                     	NYBOT     
UYH19     	Dollar/Forint {Mar 19}                            	NYBOT     
UYM19     	Dollar/Forint {Jun 19}                            	NYBOT     
UYU19     	Dollar/Forint {Sep 19}                            	NYBOT     
UYZ18     	Dollar/Forint {Dec 18}                            	NYBOT     
UZ        	Dollar/Koruna                                     	NYBOT     
UZH19     	Dollar/Koruna {Mar 19}                            	NYBOT     
UZM19     	Dollar/Koruna {Jun 19}                            	NYBOT     
UZU19     	Dollar/Koruna {Sep 19}                            	NYBOT     
UZZ18     	Dollar/Koruna {Dec 18}                            	NYBOT     
YA        	Aussie/Yen                                        	NYBOT     
YAH19     	Aussie/Yen {Mar 19}                               	NYBOT     
YAM19     	Aussie/Yen {Jun 19}                               	NYBOT     
YAU19     	Aussie/Yen {Sep 19}                               	NYBOT     
YAZ18     	Aussie/Yen {Dec 18}                               	NYBOT     
YGF19     	Gold mini-sized {Jan 19}                          	NYBOT     
YGG19     	Gold mini-sized {Feb 19}                          	NYBOT     
YGG20     	Gold mini-sized {Feb 20}                          	NYBOT     
YGJ19     	Gold mini-sized {Apr 19}                          	NYBOT     
YGJ20     	Gold mini-sized {Apr 20}                          	NYBOT     
YGM19     	Gold mini-sized {Jun 19}                          	NYBOT     
YGM20     	Gold mini-sized {Jun 20}                          	NYBOT     
YGM21     	Gold mini-sized {Jun 21}                          	NYBOT     
YGM22     	Gold mini-sized {Jun 22}                          	NYBOT     
YGM23     	Gold mini-sized {Jun 23}                          	NYBOT     
YGQ19     	Gold mini-sized {Aug 19}                          	NYBOT     
YGQ20     	Gold mini-sized {Aug 20}                          	NYBOT     
YGV19     	Gold mini-sized {Oct 19}                          	NYBOT     
YGV20     	Gold mini-sized {Oct 20}                          	NYBOT     
YGX18     	Gold mini-sized {Nov 18}                          	NYBOT     
YGZ18     	Gold mini-sized {Dec 18}                          	NYBOT     
YGZ19     	Gold mini-sized {Dec 19}                          	NYBOT     
YGZ20     	Gold mini-sized {Dec 20}                          	NYBOT     
YGZ21     	Gold mini-sized {Dec 21}                          	NYBOT     
YGZ22     	Gold mini-sized {Dec 22}                          	NYBOT     
YIF19     	Silver mini-sized {Jan 19}                        	NYBOT     
YIF20     	Silver mini-sized {Jan 20}                        	NYBOT     
YIG19     	Silver mini-sized {Feb 19}                        	NYBOT     
YIH19     	Silver mini-sized {Mar 19}                        	NYBOT     
YIH20     	Silver mini-sized {Mar 20}                        	NYBOT     
YIK19     	Silver mini-sized {May 19}                        	NYBOT     
YIK20     	Silver mini-sized {May 20}                        	NYBOT     
YIN19     	Silver mini-sized {Jul 19}                        	NYBOT     
YIN20     	Silver mini-sized {Jul 20}                        	NYBOT     
YIN21     	Silver mini-sized {Jul 21}                        	NYBOT     
YIN22     	Silver mini-sized {Jul 22}                        	NYBOT     
YIN23     	Silver mini-sized {Jul 23}                        	NYBOT     
YIU19     	Silver mini-sized {Sep 19}                        	NYBOT     
YIU20     	Silver mini-sized {Sep 20}                        	NYBOT     
YIX18     	Silver mini-sized {Nov 18}                        	NYBOT     
YIZ18     	Silver mini-sized {Dec 18}                        	NYBOT     
YIZ19     	Silver mini-sized {Dec 19}                        	NYBOT     
YIZ20     	Silver mini-sized {Dec 20}                        	NYBOT     
YIZ21     	Silver mini-sized {Dec 21}                        	NYBOT     
YIZ22     	Silver mini-sized {Dec 22}                        	NYBOT     
YNH19     	Colombian Peso {Mar 19}                           	NYBOT     
YNM19     	Colombian Peso {Jun 19}                           	NYBOT     
YNU19     	Colombian Peso {Sep 19}                           	NYBOT     
YNZ18     	Colombian Peso {Dec 18}                           	NYBOT     
YNZ19     	Colombian Peso {Dec 19}                           	NYBOT     
YO        	Mexican Peso                                      	NYBOT     
YOH19     	Mexican Peso {Mar 19}                             	NYBOT     
YOM19     	Mexican Peso {Jun 19}                             	NYBOT     
YOU19     	Mexican Peso {Sep 19}                             	NYBOT     
YOZ18     	Mexican Peso {Dec 18}                             	NYBOT     
YP        	Pound/Dollar                                      	NYBOT     
YPH19     	Pound/Dollar {Mar 19}                             	NYBOT     
YPM19     	Pound/Dollar {Jun 19}                             	NYBOT     
YPU19     	Pound/Dollar {Sep 19}                             	NYBOT     
YPZ18     	Pound/Dollar {Dec 18}                             	NYBOT     
ZGF19     	ICE Gold 100-oz {Jan 19}                          	NYBOT     
ZGG19     	ICE Gold 100-oz {Feb 19}                          	NYBOT     
ZGG20     	ICE Gold 100-oz {Feb 20}                          	NYBOT     
ZGJ19     	ICE Gold 100-oz {Apr 19}                          	NYBOT     
ZGJ20     	ICE Gold 100-oz {Apr 20}                          	NYBOT     
ZGM19     	ICE Gold 100-oz {Jun 19}                          	NYBOT     
ZGM20     	ICE Gold 100-oz {Jun 20}                          	NYBOT     
ZGM21     	ICE Gold 100-oz {Jun 21}                          	NYBOT     
ZGM22     	ICE Gold 100-oz {Jun 22}                          	NYBOT     
ZGM23     	ICE Gold 100-oz {Jun 23}                          	NYBOT     
ZGQ19     	ICE Gold 100-oz {Aug 19}                          	NYBOT     
ZGQ20     	ICE Gold 100-oz {Aug 20}                          	NYBOT     
ZGV19     	ICE Gold 100-oz {Oct 19}                          	NYBOT     
ZGV20     	ICE Gold 100-oz {Oct 20}                          	NYBOT     
ZGX18     	ICE Gold 100-oz {Nov 18}                          	NYBOT     
ZGZ18     	ICE Gold 100-oz {Dec 18}                          	NYBOT     
ZGZ19     	ICE Gold 100-oz {Dec 19}                          	NYBOT     
ZGZ20     	ICE Gold 100-oz {Dec 20}                          	NYBOT     
ZGZ21     	ICE Gold 100-oz {Dec 21}                          	NYBOT     
ZGZ22     	ICE Gold 100-oz {Dec 22}                          	NYBOT     
ZIF19     	ICE Silver 5000-oz {Jan 19}                       	NYBOT     
ZIF20     	ICE Silver 5000-oz {Jan 20}                       	NYBOT     
ZIG19     	ICE Silver 5000-oz {Feb 19}                       	NYBOT     
ZIH19     	ICE Silver 5000-oz {Mar 19}                       	NYBOT     
ZIH20     	ICE Silver 5000-oz {Mar 20}                       	NYBOT     
ZIK19     	ICE Silver 5000-oz {May 19}                       	NYBOT     
ZIK20     	ICE Silver 5000-oz {May 20}                       	NYBOT     
ZIN19     	ICE Silver 5000-oz {Jul 19}                       	NYBOT     
ZIN20     	ICE Silver 5000-oz {Jul 20}                       	NYBOT     
ZIN21     	ICE Silver 5000-oz {Jul 21}                       	NYBOT     
ZIN22     	ICE Silver 5000-oz {Jul 22}                       	NYBOT     
ZIN23     	ICE Silver 5000-oz {Jul 23}                       	NYBOT     
ZIU19     	ICE Silver 5000-oz {Sep 19}                       	NYBOT     
ZIU20     	ICE Silver 5000-oz {Sep 20}                       	NYBOT     
ZIX18     	ICE Silver 5000-oz {Nov 18}                       	NYBOT     
ZIZ18     	ICE Silver 5000-oz {Dec 18}                       	NYBOT     
ZIZ19     	ICE Silver 5000-oz {Dec 19}                       	NYBOT     
ZIZ20     	ICE Silver 5000-oz {Dec 20}                       	NYBOT     
ZIZ21     	ICE Silver 5000-oz {Dec 21}                       	NYBOT     
ZIZ22     	ICE Silver 5000-oz {Dec 22}                       	NYBOT     
ZJ        	New Zealand/Yen                                   	NYBOT     
ZJH19     	New Zealand/Yen {Mar 19}                          	NYBOT     
ZJM19     	New Zealand/Yen {Jun 19}                          	NYBOT     
ZJU19     	New Zealand/Yen {Sep 19}                          	NYBOT     
ZJZ18     	New Zealand/Yen {Dec 18}                          	NYBOT     
ZY        	Swiss/Yen                                         	NYBOT     
ZYH19     	Swiss/Yen {Mar 19}                                	NYBOT     
ZYM19     	Swiss/Yen {Jun 19}                                	NYBOT     
ZYU19     	Swiss/Yen {Sep 19}                                	NYBOT     
ZYZ18     	Swiss/Yen {Dec 18}                                	NYBOT     
